"DeptCode","VoteNumberModified","VoteStatType","DescE","DescF","TotalAuthorityCurrent","ExpenditureatquarterendCurrent","TotalExpenditureCurrent","TotalAuthorityPrevious","ExpenditureatquarterendPrevious","TotalExpenditurePrevious"
"VAC","S",999,"Minister's Salary and Motor Car Allowance","Traitement et allocation pour automobile du ministre",84000,21000,21000,84000,7000,7000
"VAC","S",999,"Statutory Authority – Contributions to Employee Benefit Plans – Program","Autorisation législative – Contributions aux régimes d’avantages sociaux des employés – Programme",30920000,7730000,7730000,31891000,7973000,7973000
"VAC","S",999,"Statutory Authority – Court Award – Crown Liability and Proceeding Act","Montant accordé par le tribunal – Loi sur la responsabilité civile de l’État et le contentieux administratif",0,5000,5000,0,0,0
"VAC","S",999,"Statutory Authority – Re-establishment credits under Section 8 of the War Services Grants Act","Autorisation législative – Crédits de réadaptation en vertu de l’article 8 de la Loi sur les indemnités de service de guerre",2000,0,0,2000,0,0
"VAC","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",0,1000,1000,0,30000,30000
"VAC","S",999,"Statutory Authority – Repayments under Section 15 of the War Services Grants Act","Autorisation législative – Remboursements en vertu de l’article 15 de la Loi sur les indemnités de service de guerre",10000,0,0,10000,0,0
"VAC","S",999,"Statutory Authority – Returned Soldiers Insurance Actuarial Liability Adjustment","Autorisation législative – Redressement de la provision actuarielle de l’assurance des soldats de retour au pays",10000,0,0,10000,0,0
"VAC","S",999,"Statutory Authority – Veterans Insurance Actuarial Liability Adjustment","Autorisation législative – Redressement de la provision actuarielle de l’assurance des vétérans",175000,0,0,175000,0,0
"VRAB",1,1,"Operating and Program","Fonctionnement et Programme",9449000,1707000,1707000,9451000,2114000,2114000
"VRAB","S",999,"Statutory authorities - Contributions to Employee Benefit Plans - Program","Contributions aux régimes d'avantages sociaux des employées et employés",1342000,335000,335000,1470000,368000,368000
"WDO",1,1,"Operating and Program","Fonctionnement et Programme",35746000,8507000,8507000,34871000,7824000,7824000
"WDO",5,3,"Grants & Contributions","Subventions et Contributions",173158000,20459000,20459000,157533000,17409000,17409000
"WDO","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",3751000,925000,925000,4088000,1022000,1022000

