"RMCID","ParentID","Title_fr","Description_fr","PlannedSpending1718","PlannedSpending1819","PlannedSpending1920","PlannedFTE1718","PlannedFTE1819","PlannedFTE1920","ExpNoPlanSpend_FR","ExpSpendTrend_FR","ExpNoPlanFTE_FR","ExpFTETrend_FR","PlannedSpending1617","ActualSpending1617","Expl_Spending_fr","PlannedFTE1617","ActualFTE1617","Expl_FTE_fr"
"P1088-0013","PSEP-AYK00","Intervention en cas d’urgence","Le sous-programme dirige et coordonne les activités de soutien des partenaires dans toutes les régions, ainsi que la mise en œuvre d’une intervention fédérale intégrée tous risques en cas d’événements qui menacent la sécurité des Canadiens ou l’intégrité des infrastructures essentielles du Canada. Au nom du gouvernement du Canada, le sous-programme assure une surveillance en tout temps et des alertes rapides et la coordination des interventions stratégiques, à l’appui des mandats des partenaires. Le programme fournit une connaissance réelle de la situation à l’échelle nationale (p. ex. alertes, rapports de situation, produits de renseignement, documents d’information) aux partenaires et aux principaux décideurs, aux gouvernements provinciaux ou au secteur privé. Il surveille la capacité d’intervention pangouvernementale, planifie et coordonne la réponse fédérale aux événements touchant les intérêts nationaux, élabore des recommandations pour le déploiement et l’utilisation des ressources fédérales et traite les demandes d’aide aux interventions d’urgence provenant des autorités fédérales, provinciales ou territoriales. En collaboration avec les provinces, les territoires et les partenaires internationaux, le programme appuie les SM et les SMA pour intervenir en cas d’événements en leur fournissant des renseignements sur l’évolution de la situation et un mécanisme pour la mise en œuvre des directives, en plus de déterminer les problèmes dont la résolution nécessite leur participation. Le programme contribue à l’utilisation efficace des biens stratégiques du gouvernement et, au besoin, des ressources des gouvernements provinciaux et territoriaux. Le programme coordonne également les activités des bureaux régionaux pour aider les partenaires provinciaux et territoriaux à faire face aux urgences.",11498210.00,11498210.00,11498210.00,107.00,107.00,107.00,"","","","",10633010.00,132669978.00,"L'écart est principalement attribué par un investissement de 104.5 millions pour le jumelage de dons à la Croix-rouge canadienne pour l'appui des efforts de secours des feux de forêt de Fort McMurray.",107.00,104.00,""
"P1088-0014","PSEP-AYK00","Rétablissement en cas d’urgence","Le sous programme vise à appuyer le rétablissement rapide et efficace des Canadiens et des collectivités en cas de catastrophes. Ceci implique la prestation d’une aide financière aux provinces et aux territoires, suite à leur demande, pour les aider à se rétablir à la suite de catastrophes de grande envergure, comme dans le cadre des Accords d’aide financière en cas de catastrophe. Compte tenu de l’interconnectivité entre les fonctions de gestion des mesures d’urgence, les premières étapes de la reprise après catastrophe sont intégrées à la planification de la gestion des événements, afin de favoriser une transition sans heurts de l’étape d’intervention à l’étape de rétablissement; l’inclusion de l’atténuation des catastrophes est encouragée pendant l’étape de rétablissement afin de réduire la possibilité que ces risques et catastrophes ne se reproduisent pas à l’avenir, ainsi que les éventuelles répercussions. Le sous programme a comme objectif d’exercer un leadership et de fournir des directives à tous les échelons, afin que les personnes, les entreprises et les collectivités touchées par la catastrophe aient les ressources et soutien dont ils ont besoin pour se rétablir complètement. Les efforts déployés visent non seulement la reconstruction de collectivités plus sécuritaires et plus résilientes, mais également la planification du rétablissement avant catastrophe, et ce, dans le but d’aider les personnes et les collectivités touchées à avoir un accès plus rapide aux ressources nécessaires pour commencer à rebâtir leurs vies et leurs collectivités. À l’échelon fédéral, le sous programme vise à collaborer avec d’autres ministères pour favoriser l’uniformité, la cohérence et l’harmonisation de l’aide fédérale en cas de catastrophe, fournie aux provinces, aux territoires et à d’autres intervenants. Le programme utilise et administre un financement issu des paiements de transfert suivants : contributions aux provinces et aux territoires pour l’aide relative aux catastrophes naturelles.",681245838.00,610945838.00,101945838.00,15.00,15.00,15.00,"","Rétablissement en cas d'urgence - Les diminutions de 70,3 millions de dollars en 2018-2019 et de 509,0 millions de dollars en 2019-2020  sont attribuées à une diminution des dépenses prévues actuellement pour le programme de contributions aux mesures d'aide financière aux catastrophes pour les besoins non discrétionnaires pour répondre aux besoins actuels et futurs Obligations découlant de l'AAFC.","","",730251371.00,753299123.00,"",14.00,17.00,"L'écart des ETP est attribué par des initiatives de dotation résultant en un nombre de ETP réel plus élevé que prévu."
"P1119-0001","CSA-ANX00","Missions et technologies de satellites en orbite terrestre","Ce sous-programme englobe le développement de systèmes de satellites canadiens complets ou de sous-systèmes, de charges utiles, d’instruments ou d’autres éléments destinés à des satellites canadiens et étrangers. Ce sous-programme vise aussi le développement de technologies de pointe susceptibles de façonner ou de déterminer la nature de nouvelles missions éventuelles de satellites en orbite terrestre. Ce sous-programme est nécessaire parce que les organismes du gouvernement du Canada (GC) utilisent des données, des informations et des services satellitaires pour réaliser leur mandat. Le milieu universitaire en a besoin aussi pour mener ses propres recherches. Ce sous-programme est mené en collaboration avec les organismes du GC et avec la participation de l’industrie spatiale canadienne, des universités et d’agences spatiales étrangères. Cet effort de collaboration est officialisé par des contrats, des subventions, des contributions et des ententes de partenariats avec des organismes nationaux, publics-privés et internationaux.",92766759.00,97242950.00,52412284.00,84.10,74.50,74.40,"","","","",192962272.00,146982007.00,"L'écart significatif de 46 millions de dollars est principalement attribuable au report de fonds de la mission de la Constellation RADARSAT (MCR) afin de respecter les jalons révisés du projet puisque les difficultés liées à l'achèvement du logiciel de vol ont retardé d'environ six mois celui de la première plateforme.",77.70,76.24,""
"P1119-0002","CSA-ANX00","Infrastructure au sol","Ce sous-programme vise le développement, l’installation et l’utilisation d’un système national intégré et coordonné d’infrastructure au sol permettant de recevoir les données transmises par des satellites canadiens ou étrangers. De plus, l’infrastructure au sol abrite et utilise le matériel requis pour l’exploitation de satellites. Ce sous-programme est nécessaire pour exploiter les satellites ainsi que pour traiter et rendre disponibles les données spatiales reçues par l’Agence spatiale canadienne afin d’aider les organismes du gouvernement du Canada (GC) à réaliser leur mandat. Enfin, ce sous-programme met à profit l’avantage géographique du Canada pour capter des données spatiales envoyées par les satellites de plus en plus nombreux qui survolent l’Arctique et assurer l’installation de stations à cet endroit stratégique. Ce sous-programme est mené avec la participation de l’industrie, d’organismes du GC et d’agences spatiales étrangères. Cet effort de collaboration est officialisé par des contrats, des subventions, des contributions et des ententes de partenariats avec des organismes nationaux, publics-privés et internationaux.",11284645.00,12335947.00,28738198.00,19.10,25.50,25.70,"","","","",10957596.00,12108440.00,"L'écart de 1,1 million de dollars est principalement attribuable à du travail planifié en 2015-2016 qui a été effectué en 2016-2017. Ce travail incluait les modifications aux antennes requises pour les opérations satellitaires et la livraison de certains éléments du transpondeur.",19.40,17.23,"L’écart de 2,17 ETP entre les dépenses prévues et les dépenses réelles s'explique principalement par la réaffectation des ressources prévues dans le sous-sous-programme Manipulation de données au sous-sous-programme Exploitation de satellites pour RADARSAT-2 et RADARSAT-1."
"P1119-0003","CSA-ANX00","Développement de l’utilisation des données, des images et des services spatiaux","Ce sous-programme vise à élargir l’utilisation des données, images et informations spatiales ainsi que des services de communications disponibles sur les biens spatiaux au profit de la collectivité d’utilisateurs, surtout les organismes du gouvernement du Canada (GC) et le milieu universitaire. Ce sous-programme est nécessaire pour stimuler le développement d’une industrie canadienne à valeur ajoutée qui transforme des données et des informations spatiales en produits directement utilisables ainsi que pour accroître la capacité des organismes du GC à utiliser des solutions spatiales (données, informations et services) pour réaliser leur mandat. Elle aide aussi le milieu universitaire à mener ses recherches. Ce sous-programme fait appel à la participation de l’industrie spatiale et du milieu universitaire du Canada. Il est officialisé par des contrats, des subventions, des contributions et des ententes de partenariats avec des organismes nationaux, publics-privés et internationaux.",11189239.00,10999331.00,8681074.00,11.40,11.00,6.50,"","","","",11166304.00,11542482.00,"",6.00,11.17,"L’écart de 5,17 ETP est principalement attribuable à des ressources supplémentaires de 1,05 ETP pour la gestion d'EOADP et de 2 ETP pour une activité SOAR supplémentaire créée après la publication du Rapport sur les plans et priorités (RPP) 2016-2017 sous le sous-sous-programme Utilisation des données et des images d’observation de la Terre."
"P1119-0004","CSA-ANY00","Station spatiale internationale (ISS)","Ce sous-programme fait appel à la Station spatiale internationale (ISS) – un laboratoire unique qui orbite autour de la Terre – pour que l’on puisse apprendre à vivre et travailler dans l’espace tout en y menant des études scientifiques, médicales et techniques. Il comprend l’assemblage et l’entretien de l’ISS à l’aide du Système d’entretien mobile (MSS) canadien ainsi que la conception, le développement et l’exploitation de charges utiles. Il prévoit également des démonstrations technologiques à bord de l’ISS. Ce sous-programme est nécessaire pour comprendre certains aspects spécifiques et réaliser des percées technologiques qui permettront de se préparer aux défis de l’exploration spatiale et qui généreront aussi des avantages sur Terre. Ce sous-programme permet à l’industrie et aux universités canadiennes d’avoir un accès privilégié à l’ISS. Ce sous-programme est réalisé en collaboration avec des organismes du gouvernement du Canada (GC) et des agences spatiales étrangères. Cet effort de collaboration est concrétisé par des contrats, des contributions, des subventions ou des ententes de partenariats internationaux.",74627138.00,66793866.00,61579750.00,88.10,83.30,83.30,"","","","",74964337.00,72086996.40,"",95.00,83.88,"L'écart de 4,3  ETP est attribuable à la réaffectation révisée des flux de trésorerie  sous le sous-sous-programme Utilisation de la Station spatiale internationale."
"P1119-0005","CSA-ANY00","Missions et technologies d’exploration","Ce sous-programme englobe le développement et l’utilisation de missions d’astronomie et de missions planétaires de même que le développement de technologies d’exploration avancées. Ce sous-programme est nécessaire parce qu’il permet de fournir des technologies emblématiques canadiennes à des projets internationaux d’exploration spatiale et de mieux comprendre l’univers, le système solaire et notre planète Terre. Il peut aussi déboucher sur des transferts de technologies ayant des retombées terrestres bénéfiques. Ce sous-programme offre à l’industrie et aux universités canadiennes des possibilités uniques en leur permettant de participer à des initiatives internationales d’exploration de l’espace. Ce sous-programme est réalisé en collaboration avec des agences spatiales étrangères et des organismes du gouvernement du Canada (GC) et grâce à la participation de l’ASC à des groupes internationaux comme le Groupe international de coordination de l’exploration spatiale. Cet effort de collaboration est concrétisé par des contrats, des subventions, des contributions ou des ententes de partenariats internationaux.",14092761.00,15856734.00,16929417.00,47.20,47.20,48.20,"","","","",16208160.00,13824056.40,"L'écart de 2,4 millions de dollars est principalement attribuable à une réallocation interne du sous-sous-programme Développement de technologies d’exploration avancées vers le sous-programme Innovation spatiale et accès aux marchés afin d'améliorer l'efficacité et les résultats des programmes à l'avenir.",51.60,39.19,"L'écart de 12 ETP est principalement attribuable à une réallocation interne du sous-sous-programme Développement de technologies d’exploration avancées vers le sous-programme Innovation spatiale et accès aux marchés afin d'améliorer l'efficacité et les résultats des programmes à l'avenir."
"P1119-0006","CSA-ANY00","Missions spatiales habitées et soutien connexe","Ce sous-programme englobe les activités requises pour recruter, développer, former et entretenir un corps d’astronautes canadiens en santé et hautement qualifiés, capables de participer à des missions d’exploration spatiale. Il comprend aussi toutes les activités visant à atténuer les risques que ces missions présentent pour la santé, notamment le développement de technologies avancées destinées à appuyer les missions spatiales habitées. Ce sous-programme est nécessaire pour générer des connaissances spécialisées dans des domaines qui appuient les vols spatiaux habités, notamment les sciences de la vie et la médecine spatiale. De plus, par le biais de l’exploration de solutions techniques aux divers défis du vol spatial habité, ce sous-programme pourrait contribuer à trouver de nouveaux mécanismes de prestation de soins de santé pour des applications sur Terre. Ce sous-programme est réalisé en collaboration avec des organismes du gouvernement du Canada (GC) et des agences spatiales étrangères. Cet effort de collaboration est officialisé par des contrats, des contributions, des subventions ou des ententes de partenariats internationaux.",7735521.00,6205040.00,3961606.00,17.40,17.60,16.10,"","","","",8264864.00,6399935.20,"L’écart de 1,9 million de dollars est principalement attribuable à des économies découlant d’une entente de collaboration fructueuse avec le ministère de la Défense nationale pour la campagne de recrutement d’astronautes sous le sous-sous-programme Entraînement et missions d’astronautes.",14.00,28.01,"L’écart de 14 ETP est  est principalement attribuable à la réaffectation de ressources provenant de différents secteurs de l’ASC pour la campagne de recrutement d’astronautes qui a été annoncée après la publication des ETP prévus dans le Rapport sur les plans et priorités (RPP) de 2016-2017 sous le sous-sous-programme Entraînement et missions d’astronautes."
"P1119-0007","CSA-ANW00","Expertise et compétences spatiales","Ce sous-programme englobe le développement et le renforcement des capacités spatiales du Canada. Il appuie la recherche au sein d’organismes privés ou publics et soutient le développement de personnel hautement qualifié en science et en ingénierie. On encourage les scientifiques et les ingénieurs à mener des activités pertinentes de développement en sciences et technologies spatiales, et à développer leur savoir faire en leur offrant un soutien financier pour soutenir leur projets de recherches et l’accès à des infrastructures vouées à la recherche et à la formation de calibre mondial, dont des missions à exécution rapide et de petite envergure qui offrent des occasions fréquentes de vol. Ce sous-programme est nécessaire pour créer et maintenir un bassin de personnes qui auront l’expertise et les compétences pour former la prochaine génération de professionnels et de travailleurs du secteur spatial ainsi que pour fournir des solutions destinées aux initiatives spatiales futures du Canada. Ce sous-programme est mené avec la participation d’organismes de financement, d’organismes du gouvernement du Canada (GC), d’agences spatiales étrangères et d’organismes à but non lucratif. Cet effort de collaboration est officialisé par des ententes de partenariats nationaux et internationaux ou des contrats. Ce sous-programme utilise également des fonds du Programme global de subventions et de contributions à l’appui de la recherche, de la sensibilisation et de l’éducation.",15494699.00,14597078.00,12749690.00,44.40,50.10,52.70,"","","","",10475124.00,11194336.00,"",38.60,46.89,"L’écart de 8,3 ETP est principalement attribuable (1) à la création du Bureau de gestion de projet; (2) au transfert d’Exploration spatiale (SE) à Sciences et technologies spatiales (STS) du programme de rovers d’exploration, (3) au portefeuille accru du programme de développement des sciences, des technologies et de l’expertise dans l’enseignement de Science et (4) au recrutement d'ingénieurs juniors."
"P1119-0008","CSA-ANW00","Innovation spatiale et accès aux marchés","Ce sous-programme englobe le développement et le renforcement des capacités spatiales du Canada par le biais de l’innovation et d’un positionnement sur les marchés. Grâce à des technologies et à des installations de premier ordre ainsi qu’à des ententes internationales, ce sous-programme permet d’accroître la compétitivité industrielle du Canada et de s’assurer ainsi que les utilisateurs continueront de bénéficier de solutions spatiales optimales, rentables et constamment améliorées. Ce sous-programme est nécessaire pour stimuler l’esprit d’entreprise qui renforce le positionnement de l’industrie canadienne sur les marchés commerciaux et publics à l’échelle internationale. Ce sous-programme est réalisé en collaboration avec l’industrie et est officialisée par des contrats ou des contributions. Diverses agences spatiales étrangères étant partenaires, l’industrie canadienne peut avoir accès à des marchés étrangers dans le cadre d’ententes d’innovation ou d’arrangements internationaux.",60907982.00,55581292.00,56598920.00,28.80,28.10,28.10,"","","","",50000768.00,63460282.00,"L’écart de 13,5 millions de dollars est attribuable à l’augmentation des paiements de 7,6 millions de dollars en vertu de l’accord de coopération avec l’ESA à la suite de l’adoption du budget 2016 sous le sous-sous-programme Accès aux marchés internationaux et à 5,8  millions de dollars en fonds supplémentaires alloués au PDTS par suite de la modification des contrats déjà attribués sous le sous-sous-programme Développement de technologies habilitantes.",19.20,24.39,"L'écart de 5,2 ETP est principalement attribuable à la bonification de l'enveloppe prévue par la modification de contrats préalablement octroyés dans le cadre du Programme de développement des technologies spatiales (PDTS) sous le sous-sous-programme Développement de technologies habilitantes."
"P1119-0009","CSA-ANW00","Services de qualification et d’essais","Ce sous-programme comprend des activités et des services associés à l’assemblage, à l’intégration et à l’essai de matériel spatial. Il porte sur la spatioqualification de technologies, de sous-unités, d’unités ou d’engins spatiaux complets développés par des établissements universitaires, des entreprises et des organismes du gouvernement du Canada (GC) ainsi que des clients et des partenaires internationaux. Ce sous-programme est nécessaire pour s’assurer qu’une technologie et des systèmes entiers affectés à une mission pourront de manière fiable et sécuritaire résister aux rigueurs de l’espace, et pour démontrer le bien-fondé et l’efficacité de nouvelles technologies canadiennes comme contributions utiles à des missions spatiales. Il fournit une base efficace pour accroître les capacités du Canada à participer à des programmes spatiaux futurs. Ce sous-programme est réalisé par le Laboratoire David Florida de l’ASC contre rémunération.",10767405.00,5795579.00,7605579.00,30.20,30.00,30.00,"","","","",5618308.00,4350098.00,"L'écart de 1,3 million de dollars est principalement attribuable à des dépenses en services de qualification effectuées dans le cadre du projet de la mission de la Constellation RADARSAT (MCR), qui se trouve sous le programme Données, informations et services spatiaux, ainsi qu'à des reports dans l'attribution de contrats liés à la maintenance des équipements de tests.",33.80,34.59,""
"P1124-0001","PCA-AGW00","Création de parcs nationaux","Ce programme comprend la création d’au moins un parc national dans chacune des 39 régions naturelles du Canada, conformément au Plan du réseau des parcs nationaux. L’achèvement du réseau assurera la protection de la diversité naturelle du pays et donnera aux Canadiens des occasions de découvrir, de comprendre et d’apprécier ces endroits. La création d’un parc national comporte cinq étapes : détermination des aires représentatives d’une région naturelle; sélection d’un candidat optimal parmi les aires représentatives; évaluation de la faisabilité du projet de création d’un parc au moyen d’études et de consultations; négociation de nouvelles ententes de parc, notamment avec des peuples ou des organisations autochtones; et création officielle du parc national dans la législation. Le Programme de contributions par catégorie générale est utilisé pour fournir un financement sous forme de contribution.",7736719.00,6293250.00,9179981.00,7.00,7.00,7.00,"","La diminution des dépenses prévue de 2017-2018 à 2018-2019 est principalement due à une dépense non récurrente qui avait été prévue en 2017-2018 pour des travaux d’élargissement de la réserve de parc national Nááts’ihch’oh. L’augmentation en 2019-2020 est principalement due aux dépenses prévues en ce qui concerne les cessions de terres pour le parc urbain national de la Rouge.","","",7948366.00,4108738.00,"Cet écart est principalement attribuable aux retards dans les négociations portant sur les transferts fonciers.",4.00,8.00,"Cet écart est principalement attribuable à l’augmentation du nombre d’étudiants grâce aux fonds supplémentaires reçus en 2016-2017 pour l’accroissement de la Stratégie emploi jeunesse de l’Agence."
"P1124-0002","PCA-AGW00","Création d’aires marines nationales de conservation","Ce programme vise à établir au moins une aire marine nationale de conservation dans chacune des 29 régions marines du Canada, conformément au Plan du réseau des aires marines nationales de conservation. L’expansion et l’achèvement du réseau permettront d’assurer la protection et la conservation d’exemples représentatifs de la diversité des océans et des Grands Lacs du Canada et fourniront aux Canadiens des occasions de découvrir, de comprendre et d’apprécier ces endroits. La création d’une aire marine nationale de conservation comporte cinq étapes : la détermination des aires représentatives de la région marine; la sélection d’un candidat optimal parmi les aires représentatives; l’évaluation de la faisabilité du projet de création d’une aire marine nationale de conservation au moyen d’études et de consultations, y compris l’élaboration d’un plan directeur provisoire; la négociation de nouvelles ententes d’aires marines nationales de conservation, notamment avec des peuples et des organisations autochtones; et la création officielle de l’aire marine nationale de conservation par voie législative. Le Programme de contributions par catégorie générale est utilisé pour fournir un financement sous forme de contribution.",1555974.00,1334348.00,1318374.00,7.00,7.00,7.00,"","","","",1119937.00,1163430.00,"",3.00,11.00,"Cet écart est principalement attribuable à l'augmentation du personnel consacré à l'établissement de nouvelles aires marines de conservation ainsi que par l’augmentation du nombre d’étudiants grâce aux fonds supplémentaires reçus en 2016-2017 pour l’accroissement de la Stratégie emploi jeunesse de l’Agence."
"P1124-0003","PCA-AGW00","Désignation de lieux historiques nationaux","Ce programme implique de soutenir la Commission des lieux et monuments historiques du Canada dans la désignation de lieux, de personnes et d’événements d’importance historique nationale. Il comprend le tri des mises en candidature; la réalisation de recherches historiques et archéologiques; la préparation de dossiers de proposition et l’obtention d’une approbation ministérielle; ainsi que la planification des systèmes, la consultation des proposants et des intervenants clés et la communication d’information au grand public. Comme la plupart des suggestions de désignations proviennent du public, la participation des Canadiens à la détermination et à la commémoration de lieux, de personnes et d’événements d’importance historique nationale constitue un élément clé du programme. La Commission des lieux et monuments historiques du Canada examine les suggestions admissibles et recommande des sujets au ministre de l’Environnement et du Changement climatique, qui prend les décisions finales quant aux désignations officielles. Les lieux, personnes et événements d’importance historique nationale témoignent de la détermination et de l’ingéniosité des Canadiens et illustrent la richesse et la diversité de l’histoire de notre nation. Le Programme de contributions par catégorie générale est utilisé pour fournir un financement sous forme de contribution.",1349622.00,1349788.00,1349728.00,12.00,12.00,12.00,"","","","",1404615.00,1869836.00,"Cet écart est principalement attribuable à une augmentation des désignations patrimoniales des lieux, des personnes et événements ainsi qu'à la participation de la Commission des lieux et monuments historiques du Canada aux cérémonies de plaques commémoratives.",10.00,15.00,"Cet écart est principalement attribuable à une augmentation des ETPs responsables pour les désignations patrimoniales des lieux, des personnes et événements."
"P1124-0004","PCA-AGW00","Autres désignations de lieux patrimoniaux","Ce programme comprend la commémoration ou la désignation d’édifices fédéraux du patrimoine, de rivières du patrimoine canadien, de phares patrimoniaux et de gares ferroviaires patrimoniales. Il appuie également la mise en candidature, au Canada, de sites naturels et culturels de valeur universelle remarquable pour ajout à la Liste du patrimoine mondial. Parcs Canada collabore avec d’autres ministères fédéraux, d’autres ordres de gouvernement et un vaste éventail de partenaires pour recenser les lieux patrimoniaux importants et reconnaître leur valeur au moyen d’une désignation. Le Programme de contributions par catégorie générale est utilisé pour fournir un financement sous forme de contribution. Une subvention est aussi fournie à l’appui de la campagne de financement de la Fondation du sentier transcanadien.",1932540.00,1932779.00,1895192.00,13.00,13.00,13.00,"","","","",7808320.00,6746473.00,"Cet écart est principalement attribuable à des dépenses inférieures à ce qui avait été prévu en vertu de la subvention à la campagne de financement de la Fondation du sentier transcanadien.",16.00,15.00,""
"P1124-0005","PCA-AGV00","Conservation des parcs nationaux","Ce programme vise à maintenir ou à restaurer l’intégrité écologique des parcs nationaux grâce à des activités de protection, de conservation, de restauration ou d’atténuation, conformément à la Loi sur les parcs nationaux du Canada. Afin d’exécuter ce programme, Parcs Canada met en œuvre des activités de sciences appliquées, de surveillance, de production de rapports, de gestion active, de restauration écologique, de rétablissement d’espèces, d’évaluation d’impact environnemental, de gestion du feu et de vérification de la conformité. Certaines de ces activités sont réalisées en collaboration avec le grand public, des intervenants, des partenaires ainsi que des communautés locales et autochtones. Dans le cadre de ce programme, Parcs Canada doit aussi assumer les responsabilités légales qui lui incombent en vertu de la Loi sur les espèces en péril et de la Loi canadienne sur l’évaluation environnementale. Le Programme de contributions par catégorie générale est utilisé pour fournir un financement sous forme de contribution.",101705451.00,95892368.00,94214414.00,678.00,678.00,678.00,"","","","",92298520.00,94218265.00,"",652.00,715.00,""
"P1124-0006","PCA-AGV00","Conservation des aires marines nationales","Ce programme vise à protéger et à conserver les aires marines nationales de conservation en assurant leur gestion et leur utilisation écologiquement durables pour le bénéfice à long terme des Canadiens et des collectivités côtières, sans compromettre la structure et la fonction des écosystèmes avec lesquels elles sont associées, conformément à la Loi sur les aires marines nationales de conservation du Canada. Il comprend également d’assumer les responsabilités assignées à Parcs Canada en vertu de la Loi sur le parc marin du Saguenay–Saint Laurent, de la Loi sur les espèces en péril et de la Loi canadienne sur l’évaluation environnementale. Pour exécuter ce programme, Parcs Canada met en œuvre des activités de sciences appliquées, de surveillance, de production de rapports, de gestion de l’utilisation des ressources marines, de gestion active, de restauration écologique, de rétablissement d’espèces, d’évaluation d’impact environnemental et des activités de conformité. Certaines de ces activités sont réalisées en collaboration avec d’autres autorités fédérales ou provinciales, le grand public, des intervenants, des partenaires et des communautés locales et autochtones. Le Programme de contributions par catégorie générale est utilisé pour fournir un financement sous forme de contribution.",4852945.00,2765127.00,2777601.00,22.00,22.00,22.00,"","La variation des dépenses prévues reflète la nature et le calendrier des projets d’aménagement des infrastructures pour s’attaquer à la perte du patrimoine bâti irremplaçable d’importance nationale.","","",2897099.00,3423044.00,"Cet écart est principalement attribuable aux ressources additionnelles dédiées à la création de nouvelles aires marines de conservation.",20.00,26.00,"Cet écart est principalement attribuable au fait qu'il y a eu un plus grand nombre d'ETP que prévu dédié à la création de nouvelles aires marines de conservation."
"P1124-0007","PCA-AGV00","Conservation des lieux historiques nationaux","Ce programme vise à assurer l’intégrité commémorative des lieux historiques nationaux, y compris les canaux patrimoniaux, situés sur les terres de Parcs Canada. Il comprend l’évaluation des ressources (bâtiments, ouvrages d’ingénierie, sites archéologiques, paysages ainsi qu’objets historiques et archéologiques) pour en déterminer la valeur patrimoniale. La valeur patrimoniale des ressources est prise en considération dans toutes les décisions qui ont une incidence sur les ressources culturelles, telles que les bâtiments et ouvrages d’ingénierie. Ceci inclut l’établissement de priorités de gestion, la surveillance de l’état et l’évaluation de l’impact des interventions. Les principales activités, comme la préparation d’énoncés d’intégrité commémorative pour les lieux historiques nationaux, l’évaluation de l’intégrité commémorative, les activités de conformité et les mesures de surveillance et de conservation, visent à maintenir ou améliorer l’état des ressources culturelles et sont conformes avec le régime de gestion des lieux historiques nationaux administrés par Parcs Canada. Dans le cadre de ce programme, Parcs Canada doit aussi assumer les responsabilités légales qui lui incombent en vertu de la Loi sur les espèces en péril et de la Loi canadienne sur l’évaluation environnementale. Le Programme de contributions par catégorie générale est utilisé pour fournir un financement sous forme de contribution.",84575849.00,80484228.00,76284862.00,184.00,184.00,184.00,"","","","",83919474.00,66802853.00,"Cet écart est principalement attribuable aux fluctuations dans la nature et  l'échéancier des projets d'infrastructure devant remédier à la perte d'un patrimoine irremplaçable d'importance nationale.",178.00,180.00,""
"P1124-0008","PCA-AGV00","Conservation d’autres lieux patrimoniaux","Ce programme appuie les lieux historiques nationaux non administrés par Parcs Canada, de phares patrimoniaux administrés par Parcs Canada et de lieux de sépulture des premiers ministres du Canada. De plus, il fournit des conseils en matière de conservation relativement à d’autres aires patrimoniales protégées (édifices fédéraux du patrimoine, gares ferroviaires patrimoniales, phares patrimoniaux et rivières du patrimoine canadien). Parcs Canada vise à assurer la protection et la reconnaissance du patrimoine d’importance nationale ainsi que la sauvegarde, au pays, d’exemples représentatifs du patrimoine naturel et culturel national ou international pour que puissent en profiter les générations d’aujourd’hui et de demain. Parcs Canada est en partie responsable de la protection et de la conservation de 12 des 18 sites du patrimoine mondial au pays. L’engagement de Parcs Canada à l’égard du patrimoine mondial est régi par une convention internationale dont le Canada est signataire. Le Programme national de partage des frais pour les lieux patrimoniaux sert à accorder du financement sous forme de contributions aux lieux historiques nationaux non gérés par le gouvernement fédéral afin de favoriser leur conservation. Le Programme de contributions par catégorie générale est utilisé pour fournir un financement sous forme de contribution. Parcs Canada fournit une subvention annuelle au Jardin international de la Paix, situé aux frontières du Dakota Nord et du Manitoba, en commémoration de la paix entre le Canada et les États-Unis.",21248657.00,17090621.00,2593562.00,20.00,13.00,13.00,"","La variation des dépenses prévues reflète la nature et le calendrier des projets d’aménagement des infrastructures pour s’attaquer à la perte du patrimoine bâti irremplaçable d’importance nationale.","","",2704598.00,10109285.00,"Cet écart est principalement attribuable au financement supplémentaire reçu en 2016-17 pour élargir le Programme de partage des frais pour les lieux historiques. Ce financement a permis à Parcs Canada d’élargir le programme pour inclure les phares patrimoniaux et les gares ferroviaires patrimoniales et, conséquemment, on l’a renommé Programme national de partage des coûts pour les lieux patrimoniaux.",15.00,15.00,""
"P1124-0009","PCA-AGZ00","Promotion des lieux patrimoniaux","La promotion des lieux patrimoniaux vise à aider les Canadiens à connaître les lieux que gère Parcs Canada, leur patrimoine naturel et historique ainsi que le travail effectué pour les protéger et les mettre en valeur. Afin d’exécuter ce programme, Parcs Canada met en œuvre des initiatives ciblées pertinentes qui répondent aux besoins et aux intérêts du public et qui sont fondées sur des recherches en sciences sociales. Diverses occasions d’interaction et d’apprentissage par la musique, les arts, le cinéma sont offertes dans des cadres tels que les festivals, les événements sportifs, les musées, les zoos et les aquariums dans les grands centres urbains du pays. La portée et la pertinence de ces initiatives sont accrues par la collaboration avec des intervenants et des partenaires et grâce à la couverture médiatique positive dans les nouvelles, et les médias de masse, sociaux et spécialisés. Le Programme de contributions par catégorie générale est utilisé pour fournir un financement sous forme de contribution.",27003753.00,26436493.00,26434455.00,245.00,245.00,245.00,"","","","",28955451.00,30264997.00,"",250.00,265.00,""
