"ID","SubjectClass","subjectID","fyear1","fyear2","keys","footnote_en"
356,"program","CBSA-AWZ00","2016-17","2016-17","EXP,DRR_EXP","The actual spending is higher than the planned spending by $24.8 million mainly due to the revision of the eManifest project planned spending and timelines. The remaining variance is attributed to the increase in spending related to funding received in Supplementary Estimates (Responding to the Syrian refugee crisis and Mexico Visa Lift Initiative); and spending reimbursed through TBS central Vote 30."
357,"program","CBSA-AXB00","2016-17","2016-17","FTE,DRR_FTE","The Agency’s actual FTEs were lower than its planned FTEs by 447 FTEs. The majority of the variance is related to the revision to the implementation timelines associated with IT and Infrastructure major projects. The resulting surplus will be reinvested in the remaining development activities of those projects."
358,"program","CBSA-AXB00","2016-17","2016-17","EXP,DRR_EXP","The Agency’s actual spending was lower than its planned spending by $53.6 million. The majority of the variance is related to the revision to the implementation timelines associated with IT and Infrastructure major projects. The resulting surplus will be reinvested in the remaining development activities of those projects."
359,"program","CBSA-AXE00","2016-17","2016-17","EXP,DRR_EXP","The Agency’s actual spending is lower than its planned spending by $4.9 million. Planned Spending included a frozen amount for the funding in support of Trusted Programs. This funding was not accessed in 2016–17 therefore not spent, as some of the Trusted Traveller and Trusted Trader initiatives required additional time to be completed."
360,"program","CBSA-AXE00","2016-17","2016-17","FTE,DRR_FTE","Actual Full-Time Equivalents were higher than Planned primarily due to a realignment among programs subsequent to the production of the 2016–17 Report on Plans and Priorities."
361,"program","CBSA-AXI00","2016-17","2016-17","EXP,DRR_EXP","The Agency’s actual spending is lower than its planned spending by $10.8 million partly due to the realignment of the Single Window Initiative Program spending. The remaining variance is attributed to the realignment of the Program spending for the eManifest project as previously described under Risk assessment."
362,"program","CBSA-AXJ00","2016-17","2016-17","EXP,DRR_EXP","The Agency’s actual spending is lower than its planned spending by $1.5 million mainly due to challenges with staffing shortfalls under the Recourse program."
363,"program","CBSA-HGB00","2016-17","2016-17","FTE,DRR_FTE","Actual Full-Time Equivalents were lower than Planned primarily due to a realignment among programs subsequent to the production of the 2016–17 Report on Plans and Priorities."
364,"program","CBSA-HGC00","2016-17","2016-17","EXP,DRR_EXP","The actual spending is higher than the planned spending by $27.8 million partially due to the realignment of the Protection of classified information in immigration proceedings (Division 9) Program spending. The remaining variance is attributable to the increase in spending for funding received in Supplementary Estimates (Strengthening the National Immigration Detention Framework and Mexico Visa Lift Initiative framework) and spending reimbursed through TBS central Vote 30."
365,"program","CBSA-ISC00","2016-17","2016-17","EXP,DRR_EXP","The Agency’s actual spending is higher than its planned spending by $45.4 million due to a) higher-than-expected spending on IT and Legal services provided by external entities; b) supporting new initiatives which received funding in Supplementary Estimates (Responding to the Syrian refugee crisis, Mexico Visa Lift Initiative; Canadian Port of Entry at the Gordie Howe International Bridge; and for the 2017 Immigration Levels Plan); and c) the spending reimbursed through the TBS Central Vote 30."
366,"program","CBSA-ISC00","2016-17","2016-17","FTE,DRR_FTE","The actual number of FTEs is higher than its planned spending due to supporting new initiatives which received funding in Supplementary Estimates."
367,"program","CCMD-DAS00","2016-17","2016-17","EXP,DRR_EXP","Lower-than-planned expenditures and full-time equivalents in 2016–2017 reflect the completion of most transformation initiatives, as well as planned expenditure reductions to prepare the School for a reduced funding base in 2017–2018 and thereafter.

Lower expenditures in 2016–2017 are also due to the use of digitally enabled learning methods such as online courses and webcasting of learning events, which allow more efficient and accessible delivery of learning to a greater number of learners."
368,"program","CCMD-DAS00","2016-17","2016-17","FTE,DRR_FTE","Lower-than-planned expenditures and full-time equivalents in 2016–2017 reflect the completion of most transformation initiatives, as well as planned expenditure reductions to prepare the School for a reduced funding base in 2017–2018 and thereafter.

Lower expenditures in 2016–2017 are also due to the use of digitally enabled learning methods such as online courses and webcasting of learning events, which allow more efficient and accessible delivery of learning to a greater number of learners."
369,"program","CCMD-ISC00","2016-17","2016-17","EXP,DRR_EXP","Lower-than-planned Internal Services expenditures and actual full-time equivalent employees (FTEs) in 2016–2017 are primarily due to measures taken to streamline corporate functions."
370,"program","CCOHS-AMH00","2016-17","2016-17","FTE,DRR_FTE","The lower than target FTEs is due to staffing delays. CCOHS plans to grow the amount of products and services it offers which will result in an increase in staffing levels."
371,"program","CCOHS-AMH00","2016-17","2016-17","EXP,DRR_EXP","The targeted planned spending is a combination of voted authorities and statutory revenues. Actual spending is greater than the targeted planned spending as a result of additional cash revenues earned pursuant to section 6 (l)(g) of the CCOHS Act which are used to discharge obligations regarding salaries and other operating expenditures"
372,"program","CCOHS-ISC00","2016-17","2016-17","FTE,DRR_FTE","The lower than target FTEs is due to staffing delays. CCOHS plans to grow the amount of products and services it offers which will result in an increase in staffing levels."
373,"program","CCRA-ABY00","2016-17","2016-17","FTE,DRR_FTE","Decrease primarily due to lower than planned call volumes associated with the Canada Child Benefit program as a result of a high number of these inquiries being made through the first call resolution line, which is tracked under the Taxpayer and business assistance program."
374,"program","CCRA-ABZ00","2016-17","2016-17","EXP,DRR_EXP","Decrease primarily due to lower than planned statutory payments related to the Canada/US softwood lumber agreement partially offset by increases associated with collective bargaining adjustments and spending to implement and administer service and charities measures announced as part of Budget 2016."
375,"program","CCRA-ABZ00","2016-17","2016-17","FTE,DRR_FTE","Increase primarily due to new funding for service and charities measures announced as part of Budget 2016 as well as increased volumes in the first call resolution line associated with the Canada Child Benefit program."
376,"program","CCRA-ACB00","2016-17","2016-17","EXP,DRR_EXP","Increase primarily due to collective bargaining adjustments as well as spending to implement and administer various enhanced collection, service, and tax evasion measures announced as part of Budget 2016 and legislative and enhanced compliance measures announced as part of Budget 2015."
377,"program","CCRA-ACD00","2016-17","2016-17","EXP,DRR_EXP","Decrease primarily due to vacant positions and delays in planned staffing actions."
378,"program","CCRA-ACD00","2016-17","2016-17","FTE,DRR_FTE","Decrease primarily due to vacant positions and delays in planned staffing actions."
379,"program","CCRA-BRA09","2017-18","2017-18","PLANNED_EXP,DP_EXP","The decrease in planned spending from 2017-2018 to 2019-2020 of $3.9M is primarily due to a planned reduction in funding for the Charities Modernization project as well as the sunsetting of Budget 2016 funding for consultations on the rules governing political activities for charities."
380,"program","CCRA-ISC00","2016-17","2016-17","FTE,DRR_FTE","Explanation not required – variance under 10% threshold."
381,"program","CCRA-ISC00","2016-17","2016-17","EXP,DRR_EXP","Increase primarily due to spending on major project investments , workload transfers from other programs for information technology work and the consolidation of the financial management advisory team, as well as initiatives announced as part of Budget 2016."
382,"program","CCRA-ISS05","2017-18","2017-18","PLANNED_EXP,DP_EXP","The increase in planned spending from 2017-2018 to 2019-2020 of $22.4M is primarily due to changes in the profile of centrally held provisions to address future operational pressures."
383,"program","CEAA-AGG00","2016-17","2016-17","EXP,DRR_EXP","2016-17 Planned Spending is the expenditure authority at the beginning of the year. The Government of Canada provided additional funds during the year through Budget 2016 and Supplementary Estimates increasing the Agency’s authorities available for use to $26.2 million for the Environmental Assessment Delivery Program. The additional spending is primarily attributed to restoring robust environmental assessments and the review of environmental assessment processes."
384,"program","CEAA-AGG00","2016-17","2016-17","FTE,DRR_FTE","The increase in staffing is primarily a result of Budget 2016, restoring robust EAs, and the review of EA processes."
385,"program","CEAA-AGH00","2016-17","2016-17","EXP,DRR_EXP","2016-17 Planned Spending is the Agency’s expenditure authority at the beginning of the year. The Government of Canada provided additional funds during the year through Budget 2016 and Supplementary Estimates increasing the Agency’s authorities available for use to $8.6 million for the Environmental Assessment Policy Program. The additional spending is primarily attributed to restoring robust environmental assessments and the review of environmental assessment processes."
386,"program","CEAA-AGH00","2016-17","2016-17","FTE,DRR_FTE","The increase in staffing is primarily a result of Budget 2016, restoring robust EAs, and the review of EA processes."
387,"program","CEAA-ISC00","2016-17","2016-17","EXP,DRR_EXP","2016-17 Planned Spending is the expenditure authority at the beginning of the year. The Government of Canada provided additional funds during the year through Budget 2016 and Supplementary Estimates increasing the Agency’s authorities available for use to $6.9 million for Internal Services. The additional spending is primarily attributed to restoring robust environmental assessments and the review of environmental assessment processes."
388,"program","CEAA-ISC00","2016-17","2016-17","FTE,DRR_FTE","The decrease in staffing in Internal Services is mainly due to the attribution of direct internal services costs to program delivery."
389,"program","CEO-HGG00","2016-17","2016-17","FTE,DRR_FTE","The difference is mainly a result of the requirement for additional temporary employees to close the 42nd general election, to conduct by-elections and to support electoral operations."
390,"program","CEO-ISC00","2016-17","2016-17","FTE,DRR_FTE","The difference is mainly due to support asset renewal, to establish compensation services and to replace information technology consultants with term employees."
391,"program","CFGB-ATA00","2016-17","2016-17","EXP,DRR_EXP","The variance can be mainly attributed to the fact that the Committee had planned for new GIC-appointed members in 2016-2017, which did not take place, resulting in decreased actual spending."
392,"program","CFGB-ISC00","2016-17","2016-17","FTE,DRR_FTE","As a result of the Committee’s organizational structure review, certain positions were reallocated from Internal Services to the Independent review of military grievances program to ensure greater efficiency of service delivery."
393,"program","CFIA-AAQ00","2017-18","2017-18","PLANNED_FTE,DP_FTE","The Planned FTE's for the Food Safety Program decreases primarily due to  the sunsetting of the following initiatives and programmes in 2017-18:  the Budget 2016 improving food safety for Canadians initiative and,  the Electronic Service Delivery Platform initiative,  Bovine Spongiform Encephalopathy, and the Canadian Food Safety Information Network initiative in 2018-2019..  The Agency will assess the level of resources required and seek renewal, as required, to maintain and continuously improve Canada's strong food safety system, safe and accessible food supply, and plant and animal resource base."
394,"program","CFIA-AAQ00","2017-18","2017-18","PLANNED_EXP,DP_EXP","The Planned Spending for the Food Safety Program decreases primarily due to  the sunsetting of the following initiatives and programmes: the Federal Infrastructure Initiative, the Budget 2016 improving food safety for Canadians initiative, the Electronic Service Delivery Platform initiative, Bovine Spongiform Encephalopathy, and the Canadian Food Safety Information Network initiative.  The Agency will assess the level of resources required and seek renewal, as required, to maintain and continuously improve Canada's strong food safety system, safe and accessible food supply, and plant and animal resource base."
395,"program","CFIA-AJY00","2016-17","2016-17","EXP,DRR_EXP","Actual spending was greater than planned spending mainly due to additional in-year statutory funding to compensate Canadians for animals ordered destroyed for disease control."
396,"program","CFIA-AJY00","2017-18","2017-18","PLANNED_EXP,DP_EXP","The Planned Spending for the Animal Health and Zoonotics Program decreases  primarily due to the scheduled end of funding for  the following initiatives and programmes: the Federal Infrastructure Initiative, the Canadian agriculture and agri-food sector in seizing market opportunities and securing agriculture market access initiative, the Growing Forward 2 initiative, and Bovine Spongiform Encephalopathy The Agency will assess the level of resources required and seek renewal, as required, to maintain and continuously improve Canada's strong food safety system, safe and accessible food supply, and plant and animal resource base."
397,"program","CFIA-AJY00","2017-18","2017-18","PLANNED_FTE,DP_FTE","The Planned full time equivalents for the Animal Health and Zoonotics Program decreases  primarily due to the scheduled end of funding for  the following initiatives and programmes : the Canadian agriculture and agri-food sector in seizing market opportunities and securing agriculture market access initiative, the Growing Forward 2 initiative, and Bovine Spongiform Encephalopathy The Agency will assess the level of resources required and seek renewal, as required, to maintain and continuously improve Canada's strong food safety system, safe and accessible food supply, and plant and animal resource base."
398,"program","CFIA-AJZ00","2016-17","2016-17","EXP,DRR_EXP","Planned spending was greater than actuals mainly due to cost savings related to the Federal Infrastructure Initiative (FII) and the cancellation of a plant laboratory FII project, lapses required to fund specific Government-wide initiatives, lapsing funds transferred to the next fiscal year to support various TB approved initiatives and anticipated collective bargaining settlement payments, and other in-year adjustments."
399,"program","CFIA-AJZ00","2017-18","2017-18","PLANNED_FTE,DP_FTE","The Planned FTEs  for the Plant Resources Program decreases primarily due to the scheduled end of funding for the following initiatives and programmes: the Canadian agriculture and agri-food sector in seizing market opportunities and securing agriculture market access initiative,  the Growing Forward 2 initiative, and the Genomics Research and Development Initiative."
400,"program","CFIA-AJZ00","2017-18","2017-18","PLANNED_EXP,DP_EXP","The Planned Spending for the Plant Resources Program decreases primarily due to the scheduled end of funding for the following initiatives and programmes: the Federal Infrastructure Initiative, the Canadian agriculture and agri-food sector in seizing market opportunities and securing agriculture market access initiative,  the Growing Forward 2 initiative,  and the Genomics Research and Development Initiative."
401,"program","CFIA-HGA00","2016-17","2016-17","FTE,DRR_FTE","Planned FTEs were greater than actual FTEs mainly due to the impact of absorbing ongoing cost increases of anticipated collective bargaining settlement negotiations and other in-year adjustments."
402,"program","CFIA-HGA00","2016-17","2016-17","EXP,DRR_EXP","Planned spending was greater than actual spending mainly due to lapsing funds transferred to the next fiscal year to support anticipated payments related to collective bargaining settlements, lapses required to fund specific Government-wide initiatives, and other in-year adjustments."
403,"program","CFIA-HGA00","2017-18","2017-18","PLANNED_FTE,DP_FTE","The Planned full time equivalents for the International Agreements and Technical Collaboration Program decreases primarily due to the scheduled end of funding for the following initiatives and programmes: the Canadian agriculture and agri-food sector in seizing market opportunities and securing agriculture market access initiative, the Growing Forward 2 initiative, the improved market access for Canadian agricultural products initiative, and .Bovine Spongiform Encephalopathy. The Agency will assess the level of resources required and seek renewal, as required, to maintain and continuously improve Canada's strong food safety system, safe and accessible food supply, and plant and animal resource base."
404,"program","CFIA-HGA00","2017-18","2017-18","PLANNED_EXP,DP_EXP","The Planned spending for the International Agreements and Technical Collaboration Program decreases primarily due to the scheduled end of funding for the following initiatives and programmes: the Canadian agriculture and agri-food sector in seizing market opportunities and securing agriculture market access initiative, the Growing Forward 2 initiative, the improved market access for Canadian agricultural products initiative, and .Bovine Spongiform Encephalopathy. The Agency will assess the level of resources required and seek renewal, as required, to maintain and continuously improve Canada's strong food safety system, safe and accessible food supply, and plant and animal resource base."
405,"program","CFIA-ISC00","2016-17","2016-17","FTE,DRR_FTE","Actual FTEs were greater than planned FTEs mainly due to the in-year adjustment to realign resources from all Programs to Internal Services to comply with the amended Treasury Board Guide on Recording and Reporting of Internal Services Expenditures, and the FTE impacts of in-year funding received."
406,"program","CFIA-ISC00","2016-17","2016-17","EXP,DRR_EXP","Actual spending was greater than planned spending mainly due in-year funding received for various initiatives and the in-year adjustment to realign resources from all Programs to Internal Services to comply with the amended Treasury Board Guide on Recording and Reporting of Internal Services Expenditures."
407,"program","CFIA-ISC00","2017-18","2017-18","PLANNED_FTE,DP_FTE","The Planned full time equivalents for Internal Services decreases primarily due tot the scheduled end of funding for the following initiatives and programmes: the Budget 2016 improving food safety for Canadians initiative funding,  the Canadian agriculture and agri-food sector in seizing market opportunities and securing agriculture market access initiative, and Bovine Spongiform Encephalopathy. The Agency will assess the level of resources required and seek renewal, as required, to maintain and continuously improve Canada's strong food safety system, safe and accessible food supply, and plant and animal resource base."
408,"program","CFIA-ISC00","2017-18","2017-18","PLANNED_EXP,DP_EXP","The Planned spending for Internal Services decreases primarily due tot the scheduled end of funding for the following initiatives and programmes: the Budget 2016 improving food safety for Canadians initiative funding,  the Canadian agriculture and agri-food sector in seizing market opportunities and securing agriculture market access initiative, and Bovine Spongiform Encephalopathy. The Agency will assess the level of resources required and seek renewal, as required, to maintain and continuously improve Canada's strong food safety system, safe and accessible food supply, and plant and animal resource base."
409,"program","CGC-AAW00","2016-17","2016-17","EXP,DRR_EXP","The 2016-17 Planned Spending and 2016-17 Difference columns are blank due to the net and gross spending amounts that are presented, where the InfoBase reports only the net amount and details on gross spending amounts can be found in the Budgetary Performance Summary table in our Departmental Results Report)."
410,"program","CGC-AAW00","2017-18","2017-18","PLANNED_EXP,DP_EXP","The grain quality research program is funded by a combination of revolving fund revenue and appropriations."
411,"program","CGC-AAZ00","2016-17","2016-17","EXP,DRR_EXP","The 2016-17 Planned Spending and 2016-17 Difference columns are blank due to the net and gross spending amounts that are presented, where the InfoBase reports only the net amount and details on gross spending amounts can be found in the Budgetary Performance Summary table in our Departmental Results Report)."
412,"program","CGC-AAZ00","2017-18","2017-18","PLANNED_EXP,DP_EXP","The quality assurance program is funded by revolving fund revenue."
413,"program","CGC-ABB00","2016-17","2016-17","EXP,DRR_EXP","The 2016-17 Planned Spending and 2016-17 Difference columns are blank due to the net and gross spending amounts that are presented, where the InfoBase reports only the net amount and details on gross spending amounts can be found in the Budgetary Performance Summary table in our Departmental Results Report)."
414,"program","CGC-ABB00","2017-18","2017-18","PLANNED_EXP,DP_EXP","The quantity assurance program is funded by revolving fund revenue."
415,"program","CGC-ABD00","2016-17","2016-17","EXP,DRR_EXP","The 2016-17 Planned Spending and 2016-17 Difference columns are blank due to the net and gross spending amounts that are presented, where the InfoBase reports only the net amount and details on gross spending amounts can be found in the Budgetary Performance Summary table in our Departmental Results Report)."
416,"program","CGC-ABD00","2017-18","2017-18","PLANNED_EXP,DP_EXP","The producer protection program is funded by revolving fund revenue."
417,"program","CGC-ISC00","2016-17","2016-17","FTE,DRR_FTE","2016-17 total actual full-time equivalents (FTEs) is 18 more than 2016-17 planned FTEs in Internal Services. The increase is primarily due to temporary support required for investing in infrastructure and technology, and addressing pay issues arising from the Phoenix pay system."
418,"program","CGC-ISC00","2017-18","2017-18","PLANNED_EXP,DP_EXP","Internal services are funded by a combination of revolving fund revenue and appropriations."
419,"program","CGC-ISC00","2016-17","2016-17","EXP,DRR_EXP","The 2016-17 Planned Spending and 2016-17 Difference columns are blank due to the net and gross spending amounts that are presented, where the InfoBase reports only the net amount and details on gross spending amounts can be found in the Budgetary Performance Summary table in our Departmental Results Report)."
420,"program","CH-ACR00","2016-17","2016-17","FTE,DRR_FTE","The difference is mainly due to delays in staffing vacant positions."
421,"program","CH-ACS00","2016-17","2016-17","FTE,DRR_FTE","The difference is mainly due to new hirees for the new social infrastructure projects (Budget 2016)."
422,"program","CH-ACS00","2016-17","2016-17","EXP,DRR_EXP","The difference is mainly due to the $83.4M in new in-year funding for social infrastructure projects (Budget 2016) and to the transfer of responsibility for Harbourfront Centre from the Departement of Finance."
423,"program","CH-ADM00","2016-17","2016-17","FTE,DRR_FTE","The difference is mainly due to the additional support required for Canada 150 Federal Secretariat."
424,"program","CH-ADM00","2016-17","2016-17","EXP,DRR_EXP","The difference is mainly due to the combination of the wind down of the Court Challenges Program as it will only be fully reinstated in fiscal year 2017-18 (Budget 2016), reallocations to a variety of programs for emerging priorities and the non-monetary funding received for the Canada 150 Federal Secretariat that was lapsed."
425,"program","CH-AFQ00","2016-17","2016-17","EXP,DRR_EXP","Funding for the Multiculturalism Program was received through Supplementary Estimates A and B, therefore the financial and FTE information was not included in the 2016-2017 Report on Plans and Priorities planned items."
426,"program","CH-AFQ00","2016-17","2016-17","FTE,DRR_FTE","Funding for the Multiculturalism Program was received through supplementary estimates A and B, therefore the financial and FTE information was not included in the 2016-2017 Report on Plans and Priorities planned items."
427,"program","CI-AFP00","2016-17","2016-17","EXP,DRR_EXP","The variance is explained by funding received for additional resources required to reduce processing times and achieve higher admission as per the 2016 Annual Immigration Plan  which was not yet approved at the time of the planning  and to the realigment of resources to meet operational requirements."
428,"program","CI-AFP00","2016-17","2016-17","FTE,DRR_FTE","The variance is explained by funding received for additional resources required to reduce processing times and achieve higher admission as per the 2016 Annual Immigration Plan  which was not yet approved at the time of the planning  and to the realigment of resources to meet operational requirements."
429,"program","CI-AFV00","2016-17","2016-17","EXP,DRR_EXP","Funding received for the Interim Federal Health program  due to increase in asylum seekers, who required health-care benefits until their status is determinated, and or they leave the country. This funding was not yet approved at the time of the planning cycle.  IFH is a quasi-statutory authority and is managed in an SPA."
430,"program","CI-AFW00","2016-17","2016-17","EXP,DRR_EXP","The variance is mainly explained by the realigment of resources that took place during 2016-17 to meet operational requirements.  The variance is also explained by the fact that less contribution payments were required as less triggering events related to irregular migrant took place during 2016-17."
431,"program","CI-COA00","2017-18","2017-18","PLANNED_FTE,DP_FTE","Increase in Investment spending starting in 2017-2018 combined with decrease in revenues, starting in 2018-2019, due to lower volume of passport issuance as a result of the introduction of the 10-year passport.   2018-19 due to the 10-year passport policy. These decreases will be offset by amounts in the Accumulated Net Charges Against the Funds Authority (ANCAFA)."
432,"program","CI-COA00","2017-18","2017-18","PLANNED_EXP,DP_EXP","Increase in Investment spending starting in 2017-2018 combined with decrease in revenues, starting in 2018-2019, due to lower volume of passport issuance as a result of the introduction of the 10-year passport.   2018-19 due to the 10-year passport policy. These decreases will be offset by the Accumulated Net Charges Against the Funds Authority (ANCAFA)."
433,"program","CI-COA00","2016-17","2016-17","EXP,DRR_EXP","The surplus is due to less spending in modernization and unused contingency which was offset by a slight reduction in planned revenues."
434,"program","CI-ISC00","2016-17","2016-17","EXP,DRR_EXP","Realigment of resources to meet operational requirements"
435,"program","CI-LJI00","2016-17","2016-17","EXP,DRR_EXP","Variance mainly explained by Application fee refund from previous years (Statutory)"
436,"program","CI-LJV00","2016-17","2016-17","EXP,DRR_EXP","The lapse is primarily due to: delays associated with privacy issues; the sharing of information between departments; delays in IT development; delays in staffing as well as overseas support inspections and legal services that did not materialize."
437,"program","CI-LJV00","2016-17","2016-17","FTE,DRR_FTE","The lapse is primarily due to: delays associated with privacy issues; the sharing of information between departments; delays in IT development; delays in staffing as well as overseas support inspections and legal services that did not materialize."
438,"program","CI-LJW00","2016-17","2016-17","EXP,DRR_EXP","The variance is explained by funding received for the following initiatives that were not yet approved at the planning stage: additional resources to process 10 000 government-assisted refugees announced by the government;  the response to the Syrian refugee crisis and resources for the protection of the in-Canada Asylum system.  The variance is also explained by the realigment of resources that took place during 2016-17 to meet operational requirements."
439,"program","CI-LJW00","2016-17","2016-17","FTE,DRR_FTE","The variance is explained by funding received for the following initiatives that were not yet approved at the planning stage: additional resources to process 10 000 government-assisted refugees announced by the government;  the response to the Syrian refugee crisis and resources for the protection of the in-Canada Asylum system.  The variance is also explained by the realigment of resources that took place during 2016-17 to meet operational requirements."
440,"program","CI-LJZ00","2016-17","2016-17","EXP,DRR_EXP","The variance is explained by the realigment of resources that took place during 2016-17 to meet operational requirements."
441,"program","CI-X0001","2016-17","2016-17","EXP,DRR_EXP","Program transferred to Canadian Heritage in 2015-16"
442,"program","CI-X0001","2016-17","2016-17","FTE,DRR_FTE","Program transferred to Canadian Heritage in 2015-16"
443,"program","CICS-AVS00","2016-17","2016-17","EXP,DRR_EXP","It is important to note that CICS does not convene intergovernmental meetings. The Secretariat responds to decisions taken by governments to meet on key national or specific issues. The location, number, timing and duration of meeting are factors that are beyond the control of the Secretariat. CICS does exercise due care and probity in the expenditure of its funds to meet its mandate."
444,"program","CICS-ISC00","2016-17","2016-17","FTE,DRR_FTE","Unplanned employee departures in 2016-17 accounted for vacancies that were not fully staffed until the beginning of the 2017-18 fiscal year."
445,"program","CIHR-BDW00","2016-17","2016-17","FTE,DRR_FTE","The variance between the 2016-17 planned and actual FTE is mainly due to CIHR being allocated 12 FTEs through Budget 2016 to support early career investigators, of which 10 of those FTEs were directly allocated to programs.  In response to CIHR's July 2016 meeting with the health research community, CIHR also created 3 FTEs to coordinate and manage the multi-staged peer review process."
446,"program","CIHR-BDX00","2016-17","2016-17","EXP,DRR_EXP","The variance between planned and actual spending of $34.0M is due to the receipt of additional funding to expand the Strategy for Patient-Oriented Research as well as address antimicrobial resistance and to fund research proposals selected in the second competition of the Canada First Research Excellence Fund (CFREF) tri-agency program."
447,"program","CIHR-ISC00","2016-17","2016-17","EXP,DRR_EXP","The variance between planned and actual Internal Services spending is 11% ($3.2M). CIHR received funding for internal services stemming from both  Budget 2016  to support early career investigators, and the vote transfer to address the recommendations stemming from CIHR's July 2016 meeting with the health research community.  During 2016-17, CIHR also created positions within internal services to better support its programs."
448,"program","CPCC-DAT00","2016-17","2016-17","FTE,DRR_FTE","Following circumstances beyond POLAR’s control, the organization had to postpone the staffing processes to fiscal year 2017-18."
449,"program","CPCC-DAT00","2016-17","2016-17","EXP,DRR_EXP","Relocation of employees to Cambridge Bay, Nunavut delayed to the following year (2017-18). Request to carry forward transfer payment funds from 2016-17 to 2017-18 in order to fulfill POLAR's commitments. Redistribution of funds between the Science and Technology for the North program and Internal Services to meet the needs of the organization."
450,"program","CPCC-DAU00","2016-17","2016-17","FTE,DRR_FTE","Following circumstances beyond POLAR’s control, the organization had to postpone the staffing processes to fiscal year 2017-18."
451,"program","CPCC-ISC00","2016-17","2016-17","FTE,DRR_FTE","Workforce adjustments had to be made in order to meet the needs of the organization."
452,"program","CPCC-ISC00","2016-17","2016-17","EXP,DRR_EXP","Workforce adjustments had to be made in order to meet the needs of the organization. Furthermore,  operational requirements and the relocation of our facilities resulted in additional fees."
453,"program","CRTC-CAB00","2016-17","2016-17","FTE,DRR_FTE","The actual full time equivalents (FTEs) were less than what was originally planned by a total of 15 FTEs.  This reduction is attributable to a decrease in salary expenditures, to the benefit of the sub-program Safety-Enhancing Communication Services, and delays in staffing processes resulting in vacant positions over the course of the fiscal year."
454,"program","CRTC-CAB00","2016-17","2016-17","EXP,DRR_EXP","The actual spending has been below the planned spending by $1.9M.  This reduction is attributable to a $1M decrease in salary expenditures mainly allocated to the sub-program Safety-Enhancing Communication Services.  The expenditure reduction of employee benefits plan (EBP) has been $0.5M due to the decrease in salary expenditures and a lower EBP rate at year-end, in comparison to the rate used at the planning stage.  The operating and maintenance expenditures have decreased by $0.4M."
455,"program","CRTC-ISC00","2016-17","2016-17","EXP,DRR_EXP","The actual spending has exceeded the planned spending by $1.0M.  This increase is due to a $1.2M increase in salary expenditures for the creation of positions in classification, to finalize the pay transformation project, to support employees dealing with issues resulting from the implementation of the Pay Centre and the new Government of Canada pay system as well as to strengthen financial management governance.  This amount is offset by a $0.2M reduction in operating and maintenance expenses."
456,"program","CSA-ANW00","2017-18","2017-18","PLANNED_EXP,DP_EXP","The difference in planned spending for FY 2017–18, 2018–19 and 2019–20 is mainly attributable to the following factors: In line with Budget 2015 and Budget 2016 announcements, additional funding was received for Canada’s continued participation in the European Space Agency’s Advanced Research in Telecommunications Systems program and the reprofiling of funds from 2016–17 to FY 2017–18 for the David Florida Laboratory (DFL) Anechoic Test Facility 2 (ATF2)."
457,"program","CSA-ANW00","2016-17","2016-17","EXP,DRR_EXP","The variance of $12.9 million is mainly attributable to a $7.6 million increase in payments under the cooperation agreement with ESA following the implementation of Budget 2016 under the sub-saub-program International Market Access and $5.8 million of additional funds allocated to the Space Technology Development Program (STDP) following the amendment of contracts previously awarded under the Enabling Technology Development sub-sub-program."
458,"program","CSA-ANW00","2016-17","2016-17","FTE,DRR_FTE","The variance of 14.3 FTEs is mainly due to an internal reallocation of activities and resources from the Space Exploration program and the allocation of additional resources for the delivery of new capability demonstration opportunities as well as additional innovation planning efforts required for building the future space capacity of the Canadian space sector."
459,"program","CSA-ANX00","2017-18","2017-18","PLANNED_EXP,DP_EXP","The difference in planned spending for FY 2017–18, 2018–19 and 2019–20 is mainly attributable to the cumulative effect of the reprofiling of funds to develop the RADARSAT Constellation Mission (RCM)."
460,"program","CSA-ANX00","2016-17","2016-17","EXP,DRR_EXP","The variance of $44.5 million between Planned Spending and Actual Spending is mainly due to variations in the payment schedules in the implementation cycle for the RADARSAT Constellation Mission (RCM), which are an inherent implementation characteristic of the Canadian Space Program."
461,"program","CSA-ANY00","2017-18","2017-18","PLANNED_EXP,DP_EXP","The difference in planned spending for FY 2017–18, 2018–19 and 2019–20 is mainly attributable to the reprofiling of funds of different International Space Station projects in FY 2017–18 and 2018–19. Starting FY 2019–20 the Space Exploration Program will be solely funded by its A-Base budget."
462,"program","CSA-ISC00","2017-18","2017-18","PLANNED_EXP,DP_EXP","The difference in planned spending for FY 2017–18, 2018–19 and 2019–20 is mainly attributable to the following factors: In line with the 2016 Federal Infrastructure Initiative, additional funding will be received in 2017–18 for the CSA’s infrastructure upgrades and security enhancement projects. Starting FY 2018–19 the Internal Services Program will be solely funded by its A-Base budget."
463,"program","CSA-ISC00","2016-17","2016-17","EXP,DRR_EXP","The variance of $5.4 million is mainly attributable to the re-profiling of funds in order to meet revised schedule of real-property projects such as John-H. Chapman Space Center roof refurbishment and DFL infrastructure refit."
464,"program","CSC-BET00","2016-17","2016-17","EXP,DRR_EXP","Explanations provided in the sub-sub level below - see Community Management and Security & Community –Based Residential Facilities."
