Year,Department or agency,Age band,Number of employees
2018,National Defence,50-54,4651
2018,National Defence,55-59,4482
2018,National Defence,60-64,2140
2018,National Defence,65+,792
2018,National Defence Total,Total,24024
2018,National Film Board,20-24,*
2018,National Film Board,25-29,15
2018,National Film Board,30-34,42
2018,National Film Board,35-39,66
2018,National Film Board,40-44,63
2018,National Film Board,45-49,65
2018,National Film Board,50-54,60
2018,National Film Board,55-59,58
2018,National Film Board,60-64,18
2018,National Film Board,65+,*
2018,National Film Board Total,Total,399
2018,National Research Council Canada,<20,8
2018,National Research Council Canada,20-24,80
2018,National Research Council Canada,25-29,174
2018,National Research Council Canada,30-34,291
2018,National Research Council Canada,35-39,458
2018,National Research Council Canada,40-44,585
2018,National Research Council Canada,45-49,625
2018,National Research Council Canada,50-54,704
2018,National Research Council Canada,55-59,567
2018,National Research Council Canada,60-64,268
2018,National Research Council Canada,65+,111
2018,National Research Council Canada Total,Total,3871
2018,Natural Resources Canada,<20,14
2018,Natural Resources Canada,20-24,211
2018,Natural Resources Canada,25-29,332
2018,Natural Resources Canada,30-34,414
2018,Natural Resources Canada,35-39,558
2018,Natural Resources Canada,40-44,619
2018,Natural Resources Canada,45-49,579
2018,Natural Resources Canada,50-54,581
2018,Natural Resources Canada,55-59,580
2018,Natural Resources Canada,60-64,326
2018,Natural Resources Canada,65+,144
2018,Natural Resources Canada Total,Total,4358
2018,Natural Sciences and Engineering Research Canada,<20,*
2018,Natural Sciences and Engineering Research Canada,20-24,15
2018,Natural Sciences and Engineering Research Canada,25-29,35
2018,Natural Sciences and Engineering Research Canada,30-34,53
2018,Natural Sciences and Engineering Research Canada,35-39,70
2018,Natural Sciences and Engineering Research Canada,40-44,68
2018,Natural Sciences and Engineering Research Canada,45-49,59
2018,Natural Sciences and Engineering Research Canada,50-54,68
2018,Natural Sciences and Engineering Research Canada,55-59,56
2018,Natural Sciences and Engineering Research Canada,60-64,15
2018,Natural Sciences and Engineering Research Canada,65+,*
2018,Natural Sciences and Engineering Research Canada Total,Total,447
2018,Office of the Auditor General of Canada,<20,*
2018,Office of the Auditor General of Canada,20-24,28
2018,Office of the Auditor General of Canada,25-29,75
2018,Office of the Auditor General of Canada,30-34,92
2018,Office of the Auditor General of Canada,35-39,94
2018,Office of the Auditor General of Canada,40-44,94
2018,Office of the Auditor General of Canada,45-49,73
2018,Office of the Auditor General of Canada,50-54,83
2018,Office of the Auditor General of Canada,55-59,41
2018,Office of the Auditor General of Canada,60-64,19
2018,Office of the Auditor General of Canada,65+,*
2018,Office of the Auditor General of Canada Total,Total,603
2018,Office of the Commissioner for Federal Judicial Affairs Canada,25-29,*
2018,Office of the Commissioner for Federal Judicial Affairs Canada,30-34,9
2018,Office of the Commissioner for Federal Judicial Affairs Canada,35-39,11
2018,Office of the Commissioner for Federal Judicial Affairs Canada,40-44,8
2018,Office of the Commissioner for Federal Judicial Affairs Canada,45-49,8
2018,Office of the Commissioner for Federal Judicial Affairs Canada,50-54,17
2018,Office of the Commissioner for Federal Judicial Affairs Canada,55-59,*
2018,Office of the Commissioner for Federal Judicial Affairs Canada,60-64,*
2018,Office of the Commissioner for Federal Judicial Affairs Canada Total,Total,62
2018,Office of the Commissioner of Lobbying of Canada,30-34,*
2018,Office of the Commissioner of Lobbying of Canada,35-39,*
2018,Office of the Commissioner of Lobbying of Canada,40-44,*
2018,Office of the Commissioner of Lobbying of Canada,45-49,*
2018,Office of the Commissioner of Lobbying of Canada,50-54,8
2018,Office of the Commissioner of Lobbying of Canada,55-59,*
2018,Office of the Commissioner of Lobbying of Canada Total,Total,22
2018,Office of the Commissioner of Official Languages,20-24,7
2018,Office of the Commissioner of Official Languages,25-29,12
2018,Office of the Commissioner of Official Languages,30-34,32
2018,Office of the Commissioner of Official Languages,35-39,25
2018,Office of the Commissioner of Official Languages,40-44,27
2018,Office of the Commissioner of Official Languages,45-49,21
2018,Office of the Commissioner of Official Languages,50-54,19
2018,Office of the Commissioner of Official Languages,55-59,13
2018,Office of the Commissioner of Official Languages,60-64,*
2018,Office of the Commissioner of Official Languages,65+,*
2018,Office of the Commissioner of Official Languages Total,Total,164
2018,Office of the Governor General's Secretary,20-24,8
2018,Office of the Governor General's Secretary,25-29,9
2018,Office of the Governor General's Secretary,30-34,16
2018,Office of the Governor General's Secretary,35-39,18
2018,Office of the Governor General's Secretary,40-44,26
2018,Office of the Governor General's Secretary,45-49,22
2018,Office of the Governor General's Secretary,50-54,18
2018,Office of the Governor General's Secretary,55-59,20
2018,Office of the Governor General's Secretary,60-64,*
2018,Office of the Governor General's Secretary,65+,*
2018,Office of the Governor General's Secretary Total,Total,148
2018,Office of the Public Sector Integrity Commissioner of Canada,25-29,*
2018,Office of the Public Sector Integrity Commissioner of Canada,30-34,*
2018,Office of the Public Sector Integrity Commissioner of Canada,35-39,*
2018,Office of the Public Sector Integrity Commissioner of Canada,40-44,*
2018,Office of the Public Sector Integrity Commissioner of Canada,45-49,*
2018,Office of the Public Sector Integrity Commissioner of Canada,50-54,*
2018,Office of the Public Sector Integrity Commissioner of Canada,55-59,*
2018,Office of the Public Sector Integrity Commissioner of Canada Total,Total,23
2018,Office of the Superintendent of Financial Institutions Canada,<20,*
2018,Office of the Superintendent of Financial Institutions Canada,20-24,15
2018,Office of the Superintendent of Financial Institutions Canada,25-29,31
2018,Office of the Superintendent of Financial Institutions Canada,30-34,78
2018,Office of the Superintendent of Financial Institutions Canada,35-39,105
2018,Office of the Superintendent of Financial Institutions Canada,40-44,112
2018,Office of the Superintendent of Financial Institutions Canada,45-49,136
2018,Office of the Superintendent of Financial Institutions Canada,50-54,95
2018,Office of the Superintendent of Financial Institutions Canada,55-59,87
2018,Office of the Superintendent of Financial Institutions Canada,60-64,49
2018,Office of the Superintendent of Financial Institutions Canada,65+,*
2018,Office of the Superintendent of Financial Institutions Canada Total,Total,721
2018,Offices of the Information and Privacy Commissioners of Canada,20-24,18
2018,Offices of the Information and Privacy Commissioners of Canada,25-29,23
2018,Offices of the Information and Privacy Commissioners of Canada,30-34,34
2018,Offices of the Information and Privacy Commissioners of Canada,35-39,42
2018,Offices of the Information and Privacy Commissioners of Canada,40-44,33
2018,Offices of the Information and Privacy Commissioners of Canada,45-49,31
2018,Offices of the Information and Privacy Commissioners of Canada,50-54,39
2018,Offices of the Information and Privacy Commissioners of Canada,55-59,27
2018,Offices of the Information and Privacy Commissioners of Canada,60-64,*
2018,Offices of the Information and Privacy Commissioners of Canada,65+,*
2018,Offices of the Information and Privacy Commissioners of Canada Total,Total,256
2018,Parks Canada,<20,11
2018,Parks Canada,20-24,199
2018,Parks Canada,25-29,358
2018,Parks Canada,30-34,437
2018,Parks Canada,35-39,587
2018,Parks Canada,40-44,630
2018,Parks Canada,45-49,582
2018,Parks Canada,50-54,552
2018,Parks Canada,55-59,537
2018,Parks Canada,60-64,239
2018,Parks Canada,65+,69
2018,Parks Canada,Unknown,1
2018,Parks Canada Total,Total,4202
2018,Parole Board of Canada,<20,*
2018,Parole Board of Canada,20-24,25
2018,Parole Board of Canada,25-29,35
2018,Parole Board of Canada,30-34,42
2018,Parole Board of Canada,35-39,54
2018,Parole Board of Canada,40-44,61
2018,Parole Board of Canada,45-49,61
2018,Parole Board of Canada,50-54,73
2018,Parole Board of Canada,55-59,58
2018,Parole Board of Canada,60-64,34
2018,Parole Board of Canada,65+,*
2018,Parole Board of Canada Total,Total,453
2018,Patented Medicine Prices Review Board Canada,25-29,*
2018,Patented Medicine Prices Review Board Canada,30-34,11
2018,Patented Medicine Prices Review Board Canada,35-39,9
2018,Patented Medicine Prices Review Board Canada,40-44,10
2018,Patented Medicine Prices Review Board Canada,45-49,10
2018,Patented Medicine Prices Review Board Canada,50-54,*
2018,Patented Medicine Prices Review Board Canada,55-59,8
2018,Patented Medicine Prices Review Board Canada,60-64,*
2018,Patented Medicine Prices Review Board Canada Total,Total,61
2018,Polar Knowledge Canada,20-24,6
2018,Polar Knowledge Canada,25-29,9
2018,Polar Knowledge Canada,30-34,9
2018,Polar Knowledge Canada,35-39,6
2018,Polar Knowledge Canada,40-44,8
2018,Polar Knowledge Canada,45-49,*
2018,Polar Knowledge Canada,50-54,*
2018,Polar Knowledge Canada,55-59,8
2018,Polar Knowledge Canada,60-64,*
2018,Polar Knowledge Canada,65+,*
2018,Polar Knowledge Canada Total,Total,61
2018,Privy Council Office,20-24,77
2018,Privy Council Office,25-29,77
2018,Privy Council Office,30-34,114
2018,Privy Council Office,35-39,153
2018,Privy Council Office,40-44,162
2018,Privy Council Office,45-49,147
2018,Privy Council Office,50-54,128
2018,Privy Council Office,55-59,103
2018,Privy Council Office,60-64,33
2018,Privy Council Office,65+,12
2018,Privy Council Office Total,Total,1006
2018,Public Health Agency of Canada,<20,*
2018,Public Health Agency of Canada,20-24,110
2018,Public Health Agency of Canada,25-29,163
2018,Public Health Agency of Canada,30-34,212
2018,Public Health Agency of Canada,35-39,311
2018,Public Health Agency of Canada,40-44,389
2018,Public Health Agency of Canada,45-49,330
2018,Public Health Agency of Canada,50-54,295
2018,Public Health Agency of Canada,55-59,217
2018,Public Health Agency of Canada,60-64,96
2018,Public Health Agency of Canada,65+,*
2018,Public Health Agency of Canada Total,Total,2159
2018,Public Prosecution Service of Canada,<20,*
2018,Public Prosecution Service of Canada,20-24,23
2018,Public Prosecution Service of Canada,25-29,65
2018,Public Prosecution Service of Canada,30-34,117
2018,Public Prosecution Service of Canada,35-39,165
2018,Public Prosecution Service of Canada,40-44,167
2018,Public Prosecution Service of Canada,45-49,161
2018,Public Prosecution Service of Canada,50-54,152
2018,Public Prosecution Service of Canada,55-59,88
2018,Public Prosecution Service of Canada,60-64,46
2018,Public Prosecution Service of Canada,65+,*
2018,Public Prosecution Service of Canada Total,Total,1005
2018,Public Safety Canada,<20,*
2018,Public Safety Canada,20-24,85
2018,Public Safety Canada,25-29,161
2018,Public Safety Canada,30-34,184
2018,Public Safety Canada,35-39,193
2018,Public Safety Canada,40-44,185
2018,Public Safety Canada,45-49,140
2018,Public Safety Canada,50-54,124
2018,Public Safety Canada,55-59,84
2018,Public Safety Canada,60-64,32
2018,Public Safety Canada,65+,*
2018,Public Safety Canada Total,Total,1205
2018,Public Service Commission of Canada,<20,7
2018,Public Service Commission of Canada,20-24,39
2018,Public Service Commission of Canada,25-29,56
2018,Public Service Commission of Canada,30-34,84
2018,Public Service Commission of Canada,35-39,116
2018,Public Service Commission of Canada,40-44,139
2018,Public Service Commission of Canada,45-49,111
2018,Public Service Commission of Canada,50-54,129
2018,Public Service Commission of Canada,55-59,84
2018,Public Service Commission of Canada,60-64,35
2018,Public Service Commission of Canada,65+,9
2018,Public Service Commission of Canada Total,Total,809
2018,Public Services and Procurement Canada,<20,47
2018,Public Services and Procurement Canada,20-24,755
2018,Public Services and Procurement Canada,25-29,1032
2018,Public Services and Procurement Canada,30-34,1460
2018,Public Services and Procurement Canada,35-39,1870
2018,Public Services and Procurement Canada,40-44,2054
2018,Public Services and Procurement Canada,45-49,1883
2018,Public Services and Procurement Canada,50-54,2127
2018,Public Services and Procurement Canada,55-59,1699
2018,Public Services and Procurement Canada,60-64,770
2018,Public Services and Procurement Canada,65+,291
2018,Public Services and Procurement Canada Total,Total,13988
2018,RCMP External Review Committee,35-39,*
2018,RCMP External Review Committee,40-44,*
2018,RCMP External Review Committee,45-49,*
2018,RCMP External Review Committee,55-59,*
2018,RCMP External Review Committee Total,Total,6
2018,Registrar of the Supreme Court of Canada,<20,*
2018,Registrar of the Supreme Court of Canada,20-24,18
2018,Registrar of the Supreme Court of Canada,25-29,42
2018,Registrar of the Supreme Court of Canada,30-34,24
2018,Registrar of the Supreme Court of Canada,35-39,26
2018,Registrar of the Supreme Court of Canada,40-44,23
2018,Registrar of the Supreme Court of Canada,45-49,31
2018,Registrar of the Supreme Court of Canada,50-54,24
2018,Registrar of the Supreme Court of Canada,55-59,27
2018,Registrar of the Supreme Court of Canada,60-64,12
2018,Registrar of the Supreme Court of Canada,65+,*
2018,Registrar of the Supreme Court of Canada Total,Total,230
2018,Royal Canadian Mounted Police,<20,8
2018,Royal Canadian Mounted Police,20-24,273
2018,Royal Canadian Mounted Police,25-29,510
2018,Royal Canadian Mounted Police,30-34,693
2018,Royal Canadian Mounted Police,35-39,1001
2018,Royal Canadian Mounted Police,40-44,1044
2018,Royal Canadian Mounted Police,45-49,1093
2018,Royal Canadian Mounted Police,50-54,1095
2018,Royal Canadian Mounted Police,55-59,907
2018,Royal Canadian Mounted Police,60-64,463
2018,Royal Canadian Mounted Police,65+,153
2018,Royal Canadian Mounted Police Total,Total,7240
2018,Security Intelligence Review Committee,<20,*
2018,Security Intelligence Review Committee,20-24,*
2018,Security Intelligence Review Committee,25-29,*
2018,Security Intelligence Review Committee,30-34,*
2018,Security Intelligence Review Committee,35-39,*
2018,Security Intelligence Review Committee,40-44,*
2018,Security Intelligence Review Committee,45-49,*
2018,Security Intelligence Review Committee,50-54,*
2018,Security Intelligence Review Committee,55-59,*
2018,Security Intelligence Review Committee,60-64,*
2018,Security Intelligence Review Committee Total,Total,25
2018,Shared Services Canada,<20,12
2018,Shared Services Canada,20-24,258
2018,Shared Services Canada,25-29,315
2018,Shared Services Canada,30-34,458
2018,Shared Services Canada,35-39,679
2018,Shared Services Canada,40-44,923
2018,Shared Services Canada,45-49,961
2018,Shared Services Canada,50-54,1021
2018,Shared Services Canada,55-59,777
2018,Shared Services Canada,60-64,329
2018,Shared Services Canada,65+,83
2018,Shared Services Canada Total,Total,5816
2018,Social Sciences and Humanities Research Council of Canada,20-24,*
2018,Social Sciences and Humanities Research Council of Canada,25-29,15
2018,Social Sciences and Humanities Research Council of Canada,30-34,17
2018,Social Sciences and Humanities Research Council of Canada,35-39,42
2018,Social Sciences and Humanities Research Council of Canada,40-44,39
2018,Social Sciences and Humanities Research Council of Canada,45-49,39
2018,Social Sciences and Humanities Research Council of Canada,50-54,29
2018,Social Sciences and Humanities Research Council of Canada,55-59,19
2018,Social Sciences and Humanities Research Council of Canada,60-64,6
2018,Social Sciences and Humanities Research Council of Canada,65+,*
2018,Social Sciences and Humanities Research Council of Canada Total,Total,210
2018,Statistical Survey Operations,<20,*
2018,Statistical Survey Operations,20-24,109
2018,Statistical Survey Operations,25-29,147
2018,Statistical Survey Operations,30-34,117
2018,Statistical Survey Operations,35-39,121
2018,Statistical Survey Operations,40-44,*
2018,Statistical Survey Operations,45-49,146
2018,Statistical Survey Operations,50-54,170
2018,Statistical Survey Operations,55-59,223
2018,Statistical Survey Operations,60-64,202
2018,Statistical Survey Operations,65+,161
2018,Statistical Survey Operations Total,Total,1504
2018,Statistics Canada,<20,16
2018,Statistics Canada,20-24,327
2018,Statistics Canada,25-29,467
2018,Statistics Canada,30-34,568
2018,Statistics Canada,35-39,679
2018,Statistics Canada,40-44,761
2018,Statistics Canada,45-49,792
2018,Statistics Canada,50-54,795
2018,Statistics Canada,55-59,536
2018,Statistics Canada,60-64,212
2018,Statistics Canada,65+,57
2018,Statistics Canada Total,Total,5210
2018,The Correctional Investigator Canada,20-24,*
2018,The Correctional Investigator Canada,25-29,*
2018,The Correctional Investigator Canada,30-34,6
2018,The Correctional Investigator Canada,35-39,*
2018,The Correctional Investigator Canada,40-44,*
2018,The Correctional Investigator Canada,45-49,9
2018,The Correctional Investigator Canada,50-54,*
2018,The Correctional Investigator Canada,55-59,*
2018,The Correctional Investigator Canada,60-64,*
2018,The Correctional Investigator Canada Total,Total,33
2018,Transport Canada,<20,13
2018,Transport Canada,20-24,205
2018,Transport Canada,25-29,342
2018,Transport Canada,30-34,483
2018,Transport Canada,35-39,685
2018,Transport Canada,40-44,698
2018,Transport Canada,45-49,772
2018,Transport Canada,50-54,875
2018,Transport Canada,55-59,729
2018,Transport Canada,60-64,398
2018,Transport Canada,65+,162
2018,Transport Canada Total,Total,5362
2018,Transportation Safety Board of Canada,20-24,*
2018,Transportation Safety Board of Canada,25-29,*
2018,Transportation Safety Board of Canada,30-34,12
2018,Transportation Safety Board of Canada,35-39,23
2018,Transportation Safety Board of Canada,40-44,28
2018,Transportation Safety Board of Canada,45-49,29
2018,Transportation Safety Board of Canada,50-54,37
2018,Transportation Safety Board of Canada,55-59,38
2018,Transportation Safety Board of Canada,60-64,24
2018,Transportation Safety Board of Canada,65+,7
2018,Transportation Safety Board of Canada Total,Total,210
2018,Treasury Board of Canada Secretariat,<20,6
2018,Treasury Board of Canada Secretariat,20-24,98
2018,Treasury Board of Canada Secretariat,25-29,185
2018,Treasury Board of Canada Secretariat,30-34,222
2018,Treasury Board of Canada Secretariat,35-39,312
2018,Treasury Board of Canada Secretariat,40-44,340
2018,Treasury Board of Canada Secretariat,45-49,281
2018,Treasury Board of Canada Secretariat,50-54,239
2018,Treasury Board of Canada Secretariat,55-59,181
2018,Treasury Board of Canada Secretariat,60-64,68
2018,Treasury Board of Canada Secretariat,65+,22
2018,Treasury Board of Canada Secretariat Total,Total,1954
2018,Veterans Affairs Canada,<20,11
2018,Veterans Affairs Canada,20-24,105
2018,Veterans Affairs Canada,25-29,170
2018,Veterans Affairs Canada,30-34,259
2018,Veterans Affairs Canada,35-39,317
2018,Veterans Affairs Canada,40-44,390
2018,Veterans Affairs Canada,45-49,456
2018,Veterans Affairs Canada,50-54,488
2018,Veterans Affairs Canada,55-59,390
2018,Veterans Affairs Canada,60-64,149
2018,Veterans Affairs Canada,65+,65
2018,Veterans Affairs Canada Total,Total,2800
2018,Veterans Review and Appeal Board,20-24,*
2018,Veterans Review and Appeal Board,25-29,*
2018,Veterans Review and Appeal Board,30-34,6
2018,Veterans Review and Appeal Board,35-39,*
2018,Veterans Review and Appeal Board,40-44,11
2018,Veterans Review and Appeal Board,45-49,8
2018,Veterans Review and Appeal Board,50-54,19
2018,Veterans Review and Appeal Board,55-59,23
2018,Veterans Review and Appeal Board,60-64,9
2018,Veterans Review and Appeal Board,65+,*
2018,Veterans Review and Appeal Board Total,Total,85
2018,Western Economic Diversification Canada,20-24,31
2018,Western Economic Diversification Canada,25-29,26
2018,Western Economic Diversification Canada,30-34,20
2018,Western Economic Diversification Canada,35-39,41
2018,Western Economic Diversification Canada,40-44,44
2018,Western Economic Diversification Canada,45-49,33
2018,Western Economic Diversification Canada,50-54,51
2018,Western Economic Diversification Canada,55-59,41
2018,Western Economic Diversification Canada,60-64,*
2018,Western Economic Diversification Canada,65+,*
2018,Western Economic Diversification Canada Total,Total,302
2018,Women and Gender Equality Canada,<20,*
2018,Women and Gender Equality Canada,20-24,13
2018,Women and Gender Equality Canada,25-29,12
2018,Women and Gender Equality Canada,30-34,13
2018,Women and Gender Equality Canada,35-39,15
2018,Women and Gender Equality Canada,40-44,21
2018,Women and Gender Equality Canada,45-49,20
2018,Women and Gender Equality Canada,50-54,9
2018,Women and Gender Equality Canada,55-59,10
2018,Women and Gender Equality Canada,60-64,6
2018,Women and Gender Equality Canada,65+,*
2018,Women and Gender Equality Canada Total,Total,121
2019,Administrative Tribunals Support Service of Canada,<20,*
2019,Administrative Tribunals Support Service of Canada,20-24,24
2019,Administrative Tribunals Support Service of Canada,25-29,55
2019,Administrative Tribunals Support Service of Canada,30-34,79
2019,Administrative Tribunals Support Service of Canada,35-39,92
2019,Administrative Tribunals Support Service of Canada,40-44,79
2019,Administrative Tribunals Support Service of Canada,45-49,62
2019,Administrative Tribunals Support Service of Canada,50-54,63
2019,Administrative Tribunals Support Service of Canada,55-59,67
2019,Administrative Tribunals Support Service of Canada,60-64,34
2019,Administrative Tribunals Support Service of Canada,65+,*
2019,Administrative Tribunals Support Service of Canada Total,Total,579
2019,Agriculture and Agri-Food Canada,<20,55
2019,Agriculture and Agri-Food Canada,20-24,405
2019,Agriculture and Agri-Food Canada,25-29,435
2019,Agriculture and Agri-Food Canada,30-34,405
2019,Agriculture and Agri-Food Canada,35-39,551
2019,Agriculture and Agri-Food Canada,40-44,734
2019,Agriculture and Agri-Food Canada,45-49,720
2019,Agriculture and Agri-Food Canada,50-54,736
2019,Agriculture and Agri-Food Canada,55-59,723
2019,Agriculture and Agri-Food Canada,60-64,384
2019,Agriculture and Agri-Food Canada,65+,144
2019,Agriculture and Agri-Food Canada Total,Total,5292
2019,Atlantic Canada Opportunities Agency,<20,*
2019,Atlantic Canada Opportunities Agency,20-24,20
2019,Atlantic Canada Opportunities Agency,25-29,25
2019,Atlantic Canada Opportunities Agency,30-34,29
2019,Atlantic Canada Opportunities Agency,35-39,58
2019,Atlantic Canada Opportunities Agency,40-44,110
2019,Atlantic Canada Opportunities Agency,45-49,112
2019,Atlantic Canada Opportunities Agency,50-54,121
2019,Atlantic Canada Opportunities Agency,55-59,79
2019,Atlantic Canada Opportunities Agency,60-64,28
2019,Atlantic Canada Opportunities Agency,65+,*
2019,Atlantic Canada Opportunities Agency Total,Total,588
2019,Canada Border Services Agency,<20,51
2019,Canada Border Services Agency,20-24,968
2019,Canada Border Services Agency,25-29,1165
2019,Canada Border Services Agency,30-34,1579
2019,Canada Border Services Agency,35-39,2501
2019,Canada Border Services Agency,40-44,2391
2019,Canada Border Services Agency,45-49,2002
2019,Canada Border Services Agency,50-54,1868
2019,Canada Border Services Agency,55-59,1296
2019,Canada Border Services Agency,60-64,492
2019,Canada Border Services Agency,65+,156
2019,Canada Border Services Agency Total,Total,14469
2019,Canada Economic Development for Quebec Regions,<20,*
2019,Canada Economic Development for Quebec Regions,20-24,12
2019,Canada Economic Development for Quebec Regions,25-29,20
2019,Canada Economic Development for Quebec Regions,30-34,32
2019,Canada Economic Development for Quebec Regions,35-39,45
2019,Canada Economic Development for Quebec Regions,40-44,62
2019,Canada Economic Development for Quebec Regions,45-49,43
2019,Canada Economic Development for Quebec Regions,50-54,50
2019,Canada Economic Development for Quebec Regions,55-59,41
2019,Canada Economic Development for Quebec Regions,60-64,15
2019,Canada Economic Development for Quebec Regions,65+,*
2019,Canada Economic Development for Quebec Regions Total,Total,324
2019,Canada Energy Regulator,20-24,*
2019,Canada Energy Regulator,25-29,21
2019,Canada Energy Regulator,30-34,32
2019,Canada Energy Regulator,35-39,87
2019,Canada Energy Regulator,40-44,70
2019,Canada Energy Regulator,45-49,85
2019,Canada Energy Regulator,50-54,65
2019,Canada Energy Regulator,55-59,62
2019,Canada Energy Regulator,60-64,37
2019,Canada Energy Regulator,65+,*
2019,Canada Energy Regulator Total,Total,479
2019,Canada Revenue Agency,<20,170
2019,Canada Revenue Agency,20-24,2493
2019,Canada Revenue Agency,25-29,3848
2019,Canada Revenue Agency,30-34,4340
2019,Canada Revenue Agency,35-39,5152
2019,Canada Revenue Agency,40-44,5669
2019,Canada Revenue Agency,45-49,5918
2019,Canada Revenue Agency,50-54,6604
2019,Canada Revenue Agency,55-59,5905
2019,Canada Revenue Agency,60-64,2721
2019,Canada Revenue Agency,65+,1087
2019,Canada Revenue Agency,Unknown,1
2019,Canada Revenue Agency Total,Total,43908
2019,Canada School of Public Service,<20,*
2019,Canada School of Public Service,20-24,45
2019,Canada School of Public Service,25-29,76
2019,Canada School of Public Service,30-34,55
2019,Canada School of Public Service,35-39,77
2019,Canada School of Public Service,40-44,97
2019,Canada School of Public Service,45-49,90
2019,Canada School of Public Service,50-54,79
2019,Canada School of Public Service,55-59,60
2019,Canada School of Public Service,60-64,32
2019,Canada School of Public Service,65+,*
2019,Canada School of Public Service Total,Total,620
2019,Canadian Dairy Commission,20-24,*
2019,Canadian Dairy Commission,25-29,10
2019,Canadian Dairy Commission,30-34,9
2019,Canadian Dairy Commission,35-39,13
2019,Canadian Dairy Commission,40-44,7
2019,Canadian Dairy Commission,45-49,7
2019,Canadian Dairy Commission,50-54,7
2019,Canadian Dairy Commission,55-59,7
2019,Canadian Dairy Commission,60-64,*
2019,Canadian Dairy Commission Total,Total,65
2019,Canadian Food Inspection Agency,<20,19
2019,Canadian Food Inspection Agency,20-24,179
2019,Canadian Food Inspection Agency,25-29,389
2019,Canadian Food Inspection Agency,30-34,526
2019,Canadian Food Inspection Agency,35-39,930
2019,Canadian Food Inspection Agency,40-44,1124
2019,Canadian Food Inspection Agency,45-49,942
2019,Canadian Food Inspection Agency,50-54,935
2019,Canadian Food Inspection Agency,55-59,703
2019,Canadian Food Inspection Agency,60-64,379
2019,Canadian Food Inspection Agency,65+,121
2019,Canadian Food Inspection Agency Total,Total,6247
2019,Canadian Grain Commission,20-24,*
2019,Canadian Grain Commission,25-29,26
2019,Canadian Grain Commission,30-34,52
2019,Canadian Grain Commission,35-39,56
2019,Canadian Grain Commission,40-44,63
2019,Canadian Grain Commission,45-49,67
2019,Canadian Grain Commission,50-54,61
2019,Canadian Grain Commission,55-59,62
2019,Canadian Grain Commission,60-64,24
2019,Canadian Grain Commission,65+,*
2019,Canadian Grain Commission Total,Total,429
2019,Canadian Heritage,<20,*
2019,Canadian Heritage,20-24,110
2019,Canadian Heritage,25-29,161
2019,Canadian Heritage,30-34,141
2019,Canadian Heritage,35-39,230
2019,Canadian Heritage,40-44,354
2019,Canadian Heritage,45-49,281
2019,Canadian Heritage,50-54,272
2019,Canadian Heritage,55-59,217
2019,Canadian Heritage,60-64,62
2019,Canadian Heritage,65+,*
2019,Canadian Heritage Total,Total,1862
2019,Canadian Human Rights Commission,20-24,*
2019,Canadian Human Rights Commission,25-29,15
2019,Canadian Human Rights Commission,30-34,18
2019,Canadian Human Rights Commission,35-39,28
2019,Canadian Human Rights Commission,40-44,29
2019,Canadian Human Rights Commission,45-49,25
2019,Canadian Human Rights Commission,50-54,28
2019,Canadian Human Rights Commission,55-59,24
2019,Canadian Human Rights Commission,60-64,16
2019,Canadian Human Rights Commission,65+,*
2019,Canadian Human Rights Commission Total,Total,199
2019,Canadian Institutes of Health Research,<20,*
2019,Canadian Institutes of Health Research,20-24,39
2019,Canadian Institutes of Health Research,25-29,47
2019,Canadian Institutes of Health Research,30-34,48
2019,Canadian Institutes of Health Research,35-39,88
2019,Canadian Institutes of Health Research,40-44,85
2019,Canadian Institutes of Health Research,45-49,83
2019,Canadian Institutes of Health Research,50-54,48
2019,Canadian Institutes of Health Research,55-59,37
2019,Canadian Institutes of Health Research,60-64,20
2019,Canadian Institutes of Health Research,65+,*
2019,Canadian Institutes of Health Research Total,Total,502
2019,Canadian Intergovernmental Conference Secretariat,20-24,*
2019,Canadian Intergovernmental Conference Secretariat,25-29,*
2019,Canadian Intergovernmental Conference Secretariat,30-34,*
2019,Canadian Intergovernmental Conference Secretariat,35-39,*
2019,Canadian Intergovernmental Conference Secretariat,45-49,*
2019,Canadian Intergovernmental Conference Secretariat,50-54,*
2019,Canadian Intergovernmental Conference Secretariat,55-59,*
2019,Canadian Intergovernmental Conference Secretariat,60-64,*
2019,Canadian Intergovernmental Conference Secretariat,65+,*
2019,Canadian Intergovernmental Conference Secretariat Total,Total,24
2019,Canadian Northern Economic Development Agency,<20,*
2019,Canadian Northern Economic Development Agency,20-24,*
2019,Canadian Northern Economic Development Agency,25-29,7
2019,Canadian Northern Economic Development Agency,30-34,7
2019,Canadian Northern Economic Development Agency,35-39,13
2019,Canadian Northern Economic Development Agency,40-44,12
2019,Canadian Northern Economic Development Agency,45-49,11
2019,Canadian Northern Economic Development Agency,50-54,9
2019,Canadian Northern Economic Development Agency,55-59,*
2019,Canadian Northern Economic Development Agency,60-64,8
2019,Canadian Northern Economic Development Agency Total,Total,76
2019,Canadian Nuclear Safety Commission,20-24,34
2019,Canadian Nuclear Safety Commission,25-29,106
2019,Canadian Nuclear Safety Commission,30-34,94
2019,Canadian Nuclear Safety Commission,35-39,87
2019,Canadian Nuclear Safety Commission,40-44,113
2019,Canadian Nuclear Safety Commission,45-49,129
2019,Canadian Nuclear Safety Commission,50-54,135
2019,Canadian Nuclear Safety Commission,55-59,107
2019,Canadian Nuclear Safety Commission,60-64,67
