original_name,standardized_name
Kuva Canada Inc,Kuva Canada Inc
Kw'umut Lelum,Kw'umut Lelum
Kwadacha First Nation,Kwadacha First Nation
Kwadacha Indian Band,Kwadacha Indian Band
Kwakiutl Band Council,Kwakiutl Band Council
Kwakiutl District Council,Kwakiutl District Council
Kwakiutl First Nation,Kwakiutl First Nation
Kwakiutl Indian Band,Kwakiutl Indian Band
Kwakiutl Nation Development Corpora Tion,Kwakiutl Nation Development Corpora Tion
Kwakiutl Nation Development Corporation,Kwakiutl Nation Development Corporation
Kwakiutl Nation development Corporation,Kwakiutl Nation Development Corporation
Kwality Labels Inc,Kwality Labels Inc
Kwanlin Dun First Nation,Kwanlin Dun First Nation
Kwanlin Du¨n Cultural Society,Kwanlin Du¨n Cultural Society
Kwanlin Dün First Nation,Kwanlin Dun First Nation
Kwantlen First Nation,Kwantlen First Nation Band
Kwantlen First Nation Band,Kwantlen First Nation Band
Kwantlen Lands Resources and Stewardship Ltd,"Kwantlen Lands, Resources and Stewardship Ltd"
"Kwantlen Lands, Resources and Stewardship Ltd","Kwantlen Lands, Resources and Stewardship Ltd"
Kwantlen Polytechnic University,Kwantlen Polytechnic University
Kwaw-Kwaw-Apilt Indian Band,Kwaw-kwaw-apilt Indian Band
Kwaw-kwaw-a-pilt First Nation,Kwaw-kwaw-a-pilt First Nation
Kwaw-kwaw-apilt Indian Band,Kwaw-kwaw-apilt Indian Band
Kwayaciiwin Education Resource Centre,Kwayaciiwin Education Resource Centre
Kwi Kunststoffwerk Industries Inc,Kwi Kunststoffwerk Industries Inc
Kwiakah First Nations,Kwiakah First Nations
Kwiakah Indian Band,Kwiakah Indian Band
Kwikwasut'Inuxw Haxwa'Mis,Kwikwasut'Inuxw Haxwa'Mis
Kwikwasut'inuxw Haxwa'mis,Kwikwasut'Inuxw Haxwa'Mis
Kwikwetlem First Nation,Kwikwetlem First Nation
Kwilm'uk Maw-Klusuaqn Negotiation office,Kwilmuk Maw-Klusuaqn Negotiation Office
Kwilmu'Kw Maw-Klusuaqn (Mi'Kmaq Rights Intitiative),Kwilmu'kw Maw-klusuaqn (Mi'kmaq Rights Intitiative)
Kwilmu'Kw Maw-Klusuaqn Negotiation,Kwilmu'Kw Maw-Klusuaqn Negotiation
Kwilmu'Kw Maw-Klusuaqn Negotiation Office,Kwilmu'Kw Maw-Klusuaqn Negotiation Office
Kwilmu'Kw Maw-Klusuaqn Negotiation office,Kwilmu'Kw Maw-Klusuaqn Negotiation office
Kwilmu'kw Maw-Klusuaqn,Kwilmu'kw Maw-klusuaqn
Kwilmu'kw Maw-Klusuaqn Negotiation,Kwilmu'kw Maw-Klusuaqn Negotiation
Kwilmu'kw Maw-klusuaqn,Kwilmu'kw Maw-klusuaqn
Kwilmu'kw Maw-klusuaqn (Mi'kmaq Rights Intitiative),Kwilmu'kw Maw-klusuaqn (Mi'kmaq Rights Intitiative)
Kwilmu'kw Maw-klusuaqn Negotiation,Kwilmu'kw Maw-klusuaqn
Kwilmu'kw Maw-klusuaqn Negotiation Office,Kwilmu'kw Maw-klusuaqn Negotiation Office
Kwilmuk Maw-Klusuaqn Negotiation Office,Kwilmuk Maw-Klusuaqn Negotiation Office
Kwilmuk Maw-Klusuaqn Negotiation office,Kwilmuk Maw-Klusuaqn Negotiation office
Kwilmuk Maw-klusuaqn Negotiation Office,Kwilmuk Maw-Klusuaqn Negotiation office
Kwumut Lelum Child And Family Services Society,Kwumut Lelum Child and Family Services Society
Kwumut Lelum Child and Family Services Society,Kwumut Lelum Child and Family Services Society
Kwusen Research & Media Ltd,Kwusen Research & Media Ltd
Kxeen Community Services Society,Kxeen Community Services Society
Kyah Wiget Education Society,Kyah Wiget Education Society
Kyoto Agencies Ltd,Kyoto Agencies Ltd
Kyoto University,Kyoto University
Kyra Inc,Kyra Inc
Kyuquot and Checleseht First Nations,Kyuquot and Checleseht First Nations
Kyuquot/Cheklesahht First Nation,Kyuquot/Cheklesahht First Nation
Kátl'odeeche First Nation,Katlodeeche First Nation
L I N C Society,L I N C Society
L J Pohto Fishing Co Ltd,L J Pohto Fishing Co Ltd
L J Robicheau and Son Fisheries Ltd,L J Robicheau and Son Fisheries Ltd
L Squared Holdings Inc,L Squared Holdings Inc
L Squared Networks Inc,L Squared Networks Inc
L Squared Networks Inc (L Squared Digital Signage),L Squared Networks Inc (L Squared Digital Signage)
L et G Cloutier Inc,L et G Cloutier Inc
L'ADOberge Chaudière-Appalaches,L'ADOberge Chaudière-Appalaches
L'Acadie de Chezzetcook Association,L'Acadie de Chezzetcook Association
L'Académie du Cinéma,L'Académie du cinéma
L'Académie du cinéma,L'Académie du cinéma
L'Agora de La Danse,Agora de la danse
L'Agora de la Danse,L'Agora de La Danse
L'Agora de la danse,L'Agora de la danse
L'Aiguillage,L'Aiguillage
L'Alliance Francaise de Vancouver,L'Alliance Francaise de Vancouver
L'Alliance des Femmes de La Francophonie canadienne (AFFC),L'Alliance des Femmes de La Francophonie canadienne
L'Alliance des Femmes de La Francophonie canadienne (Affc),L'Alliance des Femmes de La Francophonie canadienne
L'Alliance des Radios communautaires du Canada inc,L'Alliance des Radios communautaires du Canada inc
L'Alliance des caisses populaires de l'Ontario ltée,L'Alliance des caisses populaires de l'Ontario ltée
L'Alliance des femmes de la francophonie canadienne,L'Alliance des femmes de la francophonie canadienne
L'Alliance des femmes de la francophonie canadienne (Affc),L'Alliance des Femmes de La Francophonie canadienne
L'Alliance des maisons d'hébergement de 2e étape pour femmes et enfants victimes,L'Alliance des maisons d'hébergement de 2e étape pour femmes et enfants victimes de violence conjugale
L'Alliance des maisons d'hébergement de 2e étape pour femmes et enfants victimes de violence conjugale,L'Alliance des maisons d'hébergement de 2e étape pour femmes et enfants victimes de violence conjugale
L'Alliance des radios communautaires du Canada inc,L'Alliance des Radios communautaires du Canada inc
L'Antre-Hulloises Inc,L'Antre-Hulloises Inc
L'Antre-Temps,L'Antre-Temps
L'Arc-en-Ciel,L'Arc-en-Ciel
"L'Arc-en-Ciel, Regroupement de parents et de personnes handicapées","L'Arc-en-Ciel, Regroupement de parents et de personnes handicapées"
L'Arche Canada,L'Arche Canada
L'Art Culture Pour Tous,Culture pour tous
L'Association Co-opérative des pêcheurs de l'Île Ltée,L'Association Cooperative des Pêcheurs de L'Île Ltée
L'Association Communautaire Francophone de Saint-Jean inc,Association communautaire francophone de St-Jean Inc
L'Association Cooperative des Pêcheurs de L'Île Ltée,L'Association Cooperative des Pêcheurs de L'Île Ltée
L'Association Coopérative des Pêcheurs de L'Ile Ltée,L'Association Coopérative des Pêcheurs de L'Ile Ltée
L'Association Franco-Culturelle de Yellowknife,L'Association franco-culturelle de Yellowknife
L'Association Francophone du Labrador,Association francophone du Labrador
L'Association Touristique Acadie Î-P-É Limitée,L'Association Touristique Acadie Î-P-É Limitée
L'Association canadienne des Professeurs de Langues Secondes inc,L'Association canadienne des professeurs de langues secondes inc
L'Association canadienne des professeurs de langues secondes inc,L'Association canadienne des professeurs de langues secondes inc
L'Association communautaire francophone de Saint-Jean inc,L'Association Communautaire Francophone de Saint-Jean inc
L'Association de parents de l'enfance en difficulté,L'Association de parents de l'enfance en difficulté
L'Association des Radios Communautaires de l'Ouest et des Territoires (L'ARCOT),L'Association des Radios Communautaires de l'Ouest et des Territoires (L'ARCOT)
L'Association des enseignantes et enseignants franco-ontariens,L'Association des enseignantes et enseignants franco-ontariens
L'Association des francophones de Nanaimo,L'Association des francophones de Nanaimo
L'Association des pêcheurs professionnels crabiers acadiens,L'Association des pêcheurs professionnels crabiers acadiens
L'Association franco-culturelle de Yellowknife,L'Association franco-culturelle de Yellowknife
L'Association franco-yukonnaise,L'Association franco-yukonnaise
L'Association francophone du Labrador,L'Association Francophone du Labrador
L'Association la Girandole d'Edmonton,L'Association la Girandole d'Edmonton
L'Association pour la télédistribution et la radio La Minerve Inc,L'association pour la télédistribution et la radio La Minerve Inc
L'Atelier Fromagerie Inc,L'Atelier Fromagerie Inc
L'Atelier Märk Lumber Inc,L'Atelier Märk Lumber Inc
L'Atelier du Bronze Inc,L'Atelier du Bronze Inc
L'Auguste Théâtre,L'Auguste Théâtre
L'Auguste théâtre,L'auguste Theatre
L'Autorité Portuaire du Cap-de-Cocagne Inc,L'Autorité Portuaire du Cap-de-Cocagne Inc
L'Autre Chez-Soi,L'Autre Chez-Soi
L'Aviron Hébergement communautaire,L'Aviron Hébergement communautaire
L'Ecluse des Laurentides,L'Ecluse des Laurentides
L'Escale Madavic Inc,L'Escale Madavic Inc
L'Exposition agricole et le Festival acadien de la région Évangéline Inc,L'Exposition agricole et le Festival acadien de la région Évangéline Inc
L'Express Drummondville Inc.,L'Express Drummondville Inc
L'Illusion,L'Illusion
"L'Illusion, Théâtre de marionnettes","L'Illusion, Théâtre de marionnettes"
L'Office des congrès et du tourisme du Grand Montréal Inc,Office des congrès et du tourisme du Grand Montréal Inc
L'Ombre-Elle,L'Ombre-Elle
L'Organisme Kina8At,L'Organisme Kina8At
L'Organisme Kina8at,L'Organisme Kina8At
L'Original Packing Ltd,L'Original Packing Ltd
L'R des centres de femmes du Québec,L'R des centres de femmes du Québec
L'Union culturelle des Franco-Ontariennes,L'Union culturelle des Franco-Ontariennes
L'Union des Producteurs Agricoles,L'Union des producteurs agricoles
L'Union des producteurs agricoles,L'Union des producteurs agricoles
L'Union des producteurs agricoles -Développement international,L'Union des producteurs agricoles -Développement international
L'Université du Québec à Montréal,L'Université du Québec à Montréal
L'Usine Tac Tic Inc,L'Usine Tac Tic Inc
L'association canadienne française de l'Ontario,L'association canadienne française de l'Ontario
L'association des Résidents de la Pointe du Phare de Métis sur Mer Inc,L'association des Résidents de la Pointe du Phare de Métis sur Mer Inc
L'association des professionnels d'aventure et d'écotourisme du Québec,L'association des professionnels d'aventure et d'écotourisme du Québec
L'association des répresentants de l' industrie du sport Québec,L'association des répresentants de l' industrie du sport Québec
L'association franco-ténoise du Sud,L'association franco-ténoise du Sud
L'association la Girandole d'Edmonton,L'Association la Girandole d'Edmonton
L'association pour la télédistribution et la radio La Minerve Inc,L'association pour la télédistribution et la radio La Minerve Inc
L'association touristique de l'Outaouais,L'association touristique de l'Outaouais
L'institut Jane Goodall institute,L'institut Jane Goodall institute
L'institute de technologie agroalimentaire du Québec,L'institute de technologie agroalimentaire du Québec
L'union des Producteurs Agricoles,L'Union des producteurs agricoles
L'École supérieure de ballet du Québec,L'École Supérieure de Ballet du Québec
L'Équipe Formule,L'Équipe Formule
L'Équipe spectra Inc,L'Équipe spectra Inc
L'Érablière Boulay Inc,L'Érablière Boulay Inc
L'Érablière Morin et Fils Inc,L'Érablière Morin et Fils Inc
L'Étang Ruisseau Bar Limitée,L'Étang Ruisseau Bar Limitée
L'Étang Ruisseau Bar Ltd,L'Étang Ruisseau Bar Ltd
L'Étang Ruisseau Bar Ltée,L'Étang Ruisseau Bar Ltée
L-SPARK Corp,L-SPARK Corp
L. et G. Cloutier Inc,L. et G. Cloutier Inc
L.P. Royer Inc,LP Royer Inc
L.S. Bilodeau Inc,LS Bilodeau Inc
L.S.M. son et lumières Inc,L.S.M. son et lumières Inc
LA Metal Stamping Co,LA Metal Stamping Co
LA Renaissance des Îles Inc,La Renaissance des Iles Inc
LAG Auto,LAG Auto
LAMP Community Health Centre,LAMP Community Health Centre
LAUAK Canada Inc,LAUAK Canada Inc
LAVVAN Canada Inc,LAVVAN Canada Inc
LB Laser Inc,LB Laser Inc
LBMX Inc,LBMX Inc
LC Bakery Equipment Service Ltd,LC Bakery Equipment Service Ltd
LCPF Realty Inc,LCPF Realty Inc
LDN Catalytic 2 SECS,LDN Catalytic 2 SECS
LEAP Pecaut Centre for Social Impact,LEAP Pecaut Centre for Social Impact
LED Dental Inc,LED Dental Inc
LED Sign Supply Inc,LED Sign Supply Inc
LED Smart Inc,LED Smart Inc
LEVR Media Inc,LEVR Media Inc
LGBT+ Family Coalition,LGBT+ Family Coalition
LGM Canada Corp,LGM Canada Corp
LH Gray & Son Ltd,LH Gray & Son Ltd
LHAP Inc,LHAP Inc
LIFT Digital Inc,LIFT Digital Inc
LIFT Philanthropy Partners,LIFT Philanthropy Partners
LJ Welding Automation Ltd,LJ Welding Automation Ltd
LJL Mécanique Inc,LJL Mécanique Inc
LMC Healthcare,LMC Healthcare
LMP Publication Limited Partership,Lmp Publication Limited Partnership
LMP Publication Limited Partnership - Bowen Island Undercurrent,LMP Publication Limited Partnership
LNG Canada Development Inc,LNG Canada Development Inc
LP Royer Inc,LP Royer Inc
LVL Global Inc,LVL Global Inc
LVNDR Nordic Spa,Lvndr Nordic Spa Inc
LWF Hardball Association,LWF Hardball Association
La Base de Plein-Air Air-Eau-Bois Inc,La base de plein air Air-Eau-Bois Inc
"La Boussole, Centre Communautaire Societe","La Boussole, Centre Communautaire Societe"
La Brasserie Nonsuch Brewing,La Brasserie Nonsuch Brewing
La Brasserie Nonsuch Brewing Co Ltd,La Brasserie Nonsuch Brewing Co Ltd
La Cafétéria MultiCaf,La Cafétéria MultiCaf
La Chaudronnée de l'Estrie Inc,La Chaudronnée de l'Estrie Inc
La Cie Matériaux De Construction BP Canada,La Cie Matériaux De Construction BP Canada
La Cie Matériaux de Construction BP Canada,La Cie Matériaux De Construction BP Canada
La Cité Collegiale,Cite Collegiale (La)
La Cité Collégiale,La Cité Collégiale
La Cité collégiale,La Cité Collégiale
La Cité de l'Énergie Inc,La Cité de l'Énergie Inc
La Cité des métiers,La Cité des métiers
La Classique des Appalaches,La Classique des Appalaches
La Clé D'La Baie en Huronie - Association Culturelle Francophone,Clé d'la Baie en Huronie Association Culturelle Francophone
La Clé d'La Baie en Huronie - Association Culturelle Francophone,La clé d'la Baie en Huronie - Association culturelle francophone
La Clé d'la Baie,La Clé d'la Baie
La Coccinelle,La Coccinelle
La Commission des Sports et Loisirs de Lac-Mégantic,La Commission des Sports et Loisirs de Lac-Mégantic
La Commission nationale des Parents francophones inc,La Commission nationale des Parents francophones inc
La Commission nationale des parents francophones,La Commission nationale des parents francophones
La Commission nationale des parents francophones inc,La Commission nationale des Parents francophones inc
La Communauté des Africains Francophones de la Saskatchewan Inc,La Communauté des Africains Francophones de la Saskatchewan inc
La Communauté des Africains Francophones de la Saskatchewan inc,La Communauté des Africains Francophones de la Saskatchewan inc
La Compagnie Larivée Cabot Champagne,Compagnie Larivée Cabot Champagne
La Compagnie Électrique Lion,La Compagnie Électrique Lion
La Coopérative de Théâtre l'Escaouette Ltéé,La Coopérative de Théâtre l'Escaouette Ltéé
La Coopérative de transport de Chéticamp Ltée (L'Acabie),La Coopérative de transport de Chéticamp Ltée (L'Acabie)
La Coopérative des Arcadiens Limitée,La Coopérative des Arcadiens Limitée
La Coopérative des publications Fransaskoises limitée,La Coopérative des publications Fransaskoises limitée
La Coopérative des publications fransaskoises,La Coopérative des publications fransaskoises
La Corporation de L'école des Hautes Études Commerciales de Montréal,La Corporation de L'école des Hautes Études Commerciales de Montréal
La Corporation de Solidarité en Sécurité Alimentaire de Lotbinière,La Corporation de Solidarité en Sécurité Alimentaire de Lotbinière
La Corporation de gestion des marchés publics de Montréal,La Corporation de gestion des marchés publics de Montréal
La Corporation du Musée du Saguenay-Lac-St-Jean et du site de La Pulperie,La Corporation du Musée du Saguenay-Lac-St-Jean et du site de La Pulperie
La Corporation du Quartier de la débâcle de Beauceville,La Corporation du Quartier de la débâcle de Beauceville
La Croisée de Longueuil Inc,La Croisée de Longueuil Inc
La Cuisine Collective Hochelaga-Maisonneuve,La Cuisine Collective Hochelaga-Maisonneuve
La Danse sur les routes du Québec,Danse sur les routes du Québec
La Fabrique de Ia Paroisse de Sainte-Perpétue,La Fabrique de Ia Paroisse de Sainte-Perpétue
La Fabrique de la Paroisse Notre-Dame de Montréal,La Fabrique de la Paroisse Notre-Dame de Montréal
La Fabrique de la paroisse de Saint-Pierre-de-Lavernière,La Fabrique de la paroisse de Saint-Pierre-de-Lavernière
La Federation des francophones de La Colombie-Britannique,La Fédération des francophones de la Colombie-Britannique
La Ferme Bazin Inc,La Ferme Bazin Inc
La Ferme Beau-Lac Inc,La Ferme Beau-Lac Inc
La Ferme Bryhill Inc,La Ferme Bryhill Inc
La Ferme Jeunes au Travail,La Ferme Jeunes au Travail
La Ferme Pittet Inc,La Ferme Pittet Inc
La Ferme Raymond Bégin Inc,La Ferme Raymond Bégin Inc
La Ferme des 4 Saisons Ltee,La Ferme des 4 Saisons Ltee
La Financière agricole du Québec,La Financière agricole du Québec
"La Fondation François Lamy, Inc","La Fondation François Lamy, Inc"
La Fondation Musicaction,Fondation Musicaction
La Fondation du Théâtre du Nouveau Monde,La Fondation du Théâtre du Nouveau Monde
La Francoderole,La Francoderole
La Frenz Estate Winery Ltd,La Frenz Estate Winery Ltd
La Fromagerie Champêtre Inc,La Fromagerie Champêtre Inc
La Fromagerie Coopérative St Albert Inc,La Fromagerie Coopérative St Albert Inc
La Fromagerie Polyethnique Inc,La Fromagerie Polyethnique Inc
La Fromagerie Victoria Inc,La Fromagerie Victoria Inc
La Fromagerie du Terroir de Bellechasse Inc,La Fromagerie du Terroir de Bellechasse Inc
La Fédération Culturelle de L'Île du Prince-Édouard Inc,La Fédération Culturelle de L'Île du Prince-Édouard Inc
La Fédération Culturelle de L'Île-du-Prince-Édouard Inc,La Fédération Culturelle de L'Île-du-Prince-Édouard Inc
La Fédération Franco-Ténoise,La Fédération Franco-Ténoise
La Fédération culturelle canadienne-française,La Fédération culturelle canadienne-française
La Fédération des Chambres de Commerce de la Province de Québec,Province of Quebec
La Fédération des Communautés francophones et acadiennes du Canada Inc,La Fédération des Communautés francophones et acadiennes du Canada Inc
La Fédération des Communautés francophones et acadiennes du Canada inc,Fédération des communautés francophones et acadiennes du Canada
La Fédération des Communautés francophones et acadiennes du Canada inc.,La Fédération des communautés francophones et acadiennes du Canada inc
La Fédération des Jeunes francophones du Nouveau-Brunswick inc,Fédération des jeunes francophones du Nouveau-Brunswick Inc
La Fédération des Parents francophones de Terre-Neuve et du Labrador inc,Fédération des parents francophones de Terre-Neuve et du Labrador Inc
La Fédération des associations de juristes d'expression française de common law Inc,La Fédération des associations de juristes d'expression française de common law inc
La Fédération des associations de juristes d'expression française de common law inc,La Fédération des associations de juristes d'expression française de common law inc
La Fédération des aînés de la francophonie manitobaine Inc,La fédération des aînés Franco-Manitobains Inc
La Fédération des chambres de commerce de la province de Québec,Province of Quebec
La Fédération des chambres de commerce de la province du Québec,Province of Quebec
La Fédération des communautés francophones et acadiennes du Canada inc,La Fédération des communautés francophones et acadiennes du Canada inc
La Fédération des francophones de Terre-Neuve et du Labrador inc,Fédération des francophones de Terre-Neuve et du Labrador Inc
La Fédération des francophones de la Colombie-Britannique,Fédération des francophones de la Colombie-Britannique
La Fédération des jeunes francophones du Nouveau-Brunswick inc,La Fédération des jeunes francophones du Nouveau-Brunswick inc
La Fédération des parents de L'Île du Prince-Édouard Inc,La Fédération des parents de L'Île du Prince-Édouard Inc
La Fédération des parents de L'Île-Du-Prince-Édouard Inc,La Fédération des parents de L'Île-Du-Prince-Édouard Inc
La Fédération des parents francophones de Terre-Neuve et du Labrador inc,Fédération des parents francophones de Terre-Neuve et du Labrador Inc
La Fédération du sport francophone de l'Alberta,La Fédération du sport francophone de l'Alberta
La Gantoise Inc,La Gantoise Inc
La Grande Porte,La Grande Porte
La Gîtée,La Gîtée
La Loche Friendship Centre,La Loche Friendship Centre
La Loche Preschool Association Inc,La Loche Preschool Association Inc
La Lutinerie de Montréal,La Lutinerie de Montréal
La Légumière Y C Inc,La Légumière Y C Inc
La Maison Beausoleil (2010) Inc,La Maison Beausoleil Inc
La Maison Carignan Inc,La Maison Carignan Inc
La Maison Chrysler de Charlesbourg Ltd,La Maison Chrysler de Charlesbourg Ltd
La Maison Dauphinelle,La Maison Dauphinelle
La Maison Des Arts De Russell Inc,La Maison Des Arts De Russell Inc
La Maison Grandi-Ose,La Maison Grandi-Ose
La Maison ISA-CALACS,La Maison ISA-CALACS
La Maison Parent-Roback,La Maison Parent-Roback
La Maison d'Haiti,Maison d'Haïti
La Maison d'accueil pour sans-abri de Chicoutimi,La Maison d'accueil pour sans-abri de Chicoutimi
La Maison d'aide et d'hébergement Blanche-Morin,La Maison d'aide et d'hébergement Blanche-Morin
La Maison de Marthe,La Maison de Marthe
La Maison de Mathilde,La Maison de Mathilde
La Maison des Jeunes de Farnham Inc,La maison des Jeunes de Farnham
La Maison des parents d'enfants handicapés de Laurentides-Lanaudière,La Maison des parents d'enfants handicapés de Laurentides-Lanaudière
La Maison du Bleuet Inc,La Maison du Bleuet Inc
La Maison du Père,La Maison du Père
La Maison sous les arbres,La Maison sous les arbres
La Marie Debout,La Marie Debout
La Mie de l'Entraide,La Mie de l'Entraide
La Mirage Lodging Corporation,La Mirage Lodging Corporation
La Moule du Large Inc,La Moule du Large Inc
La Municipalité de la Paroisse de Saint-Louis-de-Gonzague,La Municipalité de la Paroisse de Saint-Louis-de-Gonzague
La Municipalité du Mont-Saint-Michel,La Municipalité du Mont-Saint-Michel
La Nation Micmac de Gespeg,Nation Micmac de Gespeg
La Normandinoise Inc,La Normandinoise Inc
La Passe-R-Elle,La Passerelle
La Passerelle,La Passerelle
La Passerelle Intégration Développement Économique,La Passerelle Intégration Développement Économique
La Passerelle Intégration et Développement Économique,La Passerelle Intégration et Développement Économique
La Petite Bretonne Inc,La Petite Bretonne Inc
La Picasse,La Picasse
"La Picasse, Centre Communautaire Culturel","La Picasse, Centre Communautaire Culturel"
"La Picasse, centre communautaire culturel","La Picasse, Centre Communautaire Culturel"
La Place Des Arts du Grand Sudbury,La Place des Arts du Grand Sudbury
La Place Rendezvous,La Place Rendezvous
La Place des Arts du Grand Sudbury,La Place des Arts du Grand Sudbury
La Place des arts du Grand Sudbury,La Place des Arts du Grand Sudbury
La Porte ouverte Montréal,La Porte ouverte Montréal
La Pourvoirie du Cap au Leste Inc,La Pourvoirie du Cap au Leste Inc
La Pourvoirie du lac Oscar Inc,La Pourvoirie du lac Oscar Inc
La Rabita Mohammedia des Oulemas,La Rabita Mohammedia des Oulemas
La Relance Outaouais Inc,La Relance Outaouais Inc
La Renaissance des Iles Inc,La Renaissance des Iles Inc
La Renaissance des Îles-de-la-Madeleine,La Renaissance des Îles-de-la-Madeleine
La Revue Notre-Dame Du Cap,La Revue Notre-Dame Du Cap
La Revue Notre-Dame du Cap,La Revue Notre-Dame Du Cap
La Rocca Creative Cakes Inc,La Rocca Creative Cakes Inc
La Ronge Native Women'S Council Inc,La Ronge Native Women's Council Inc
La Ronge Native Women's Council Inc,La Ronge Native Women's Council Inc
La Ronge Native Women's Council Inc.,La Ronge Native Women's Council Inc
La Ronge Native Women's Council Inc. Entity# 290472,La Ronge Native Women's Council Inc
La Rubrique Inc.,La Rubrique Inc
La Ruche Solution de Financement,La Ruche Solution de Financement
La Societe Francophone de Victoria,Societe Francophone de Victoria
La Societe Historique de La Saskatchewan inc,La Societe Historique de la Saskatchewan inc
La Societe Historique de la Saskatchewan inc,La Societe Historique de la Saskatchewan inc
La Societe de developpement economique de la Colombie-Britannique,La Societe de developpement economique de la Colombie-Britannique
La Societe historique de la Saskatchewan Inc,La Societe historique de la Saskatchewan Inc
La Société Culturelle de Vanier,La Société Culturelle de Vanier
La Société D'expansion de Clair Ltée,La Société D'expansion de Clair Ltée
La Société Dataperformers Inc,La Société Dataperformers Inc
La Société Francophone de Victoria,La Société Francophone de Victoria
La Société Musée Laurier Inc,La Société Musée Laurier inc
La Société Musée Laurier inc,La Société Musée Laurier inc
La Société Nationale de L'Acadie inc,La Société Nationale de l'Acadie inc
La Société Nationale de l'Acadie inc,La Société Nationale de l'Acadie inc
La Société Saint-Pierre,La Société Saint-Pierre
La Société Saint-Thomas D'Aquin,La Société Saint-Thomas D'Aquin
La Société Saint-Thomas d'Aquin,La Société Saint-Thomas D'Aquin
La Société acadienne de Clare,La Société acadienne de Clare
La Société canadienne pour la conservation de la nature,Société Canadienne pour la Conservation de la Nature
La Société d'Agriculture de Bonaventure Division A Inc,La Société d'Agriculture de Bonaventure Division A Inc
La Société d'Expansion de Clair Ltée,La Société d'Expansion de Clair Ltée
La Société d'aide au développement des collectivités de Gaspé,Société d'aide au développement des collectivités de Gaspé
La Société d'aide au développement des collectivités des Basques Inc,Société d'aide au développement des collectivités des Basques Inc
La Société d'aide au développement des collectivités du Haut-Saguenay,Société d'aide au développement des collectivités du Haut-Saguenay
La Société de Protection des Forêts Contre les Insectes et Maladies,Société de protection des forêts contre les insectes et maladies
La Société de développement économique de la Colombie-Britannique,Société de développement économique de la Colombie-Britannique
La Société des Arts Libres et Actuels,La Société des arts libres et actuels
La Société des Jeux de L'Acadie inc,La Société des Jeux de L'Acadie inc
La Société des Jeux de l'Acadie inc,La Société des Jeux de L'Acadie inc
La Société des arts libres et actuels,La Société des arts libres et actuels
La Société des jeux de l'Acadie inc,La Société des jeux de l'Acadie inc
La Société du centre scolaire communautaire de Calgary,La Société du centre scolaire communautaire de Calgary
La Société francophone de Victoria,La Société Francophone de Victoria
La Société économique de l'Ontario,La Société économique de l'Ontario
La Société éducative de l'Île du Prince-Édouard Inc,La Société éducative de l'Île du Prince-Édouard Inc
La Sortie,La Sortie
La Soyarie Inc,La Soyarie Inc
La Tablée des Chefs,La Tablée des Chefs
La base de plein air Air-Eau-Bois Inc,La base de plein air Air-Eau-Bois Inc
La boîte interculturelle,La boîte interculturelle
La boîte rouge vif,La boîte Rouge Vif
La boîte à livres éditions inc,La boîte à livres éditions inc
La casa Bernard-Hubert,La casa Bernard-Hubert
La chambre de commerce et d'industrie de Laval,La chambre de commerce et d'industrie de Laval
La cité de L'énergie Inc,La Cité de l'énergie Inc
La clé d'la Baie en Huronie - Association culturelle francophone,La clé d'la Baie en Huronie - Association culturelle francophone
La compagnie D'édition André Paquette inc,La compagnie D'édition André Paquette inc
La coopérative d'immigration Le Relais Francophone de la Colombie-Britannique,La coopérative d'immigration Le Relais Francophone de la Colombie-Britannique
La corporation de L'École Polytechnique de Montréal,La corporation de L'École Polytechnique de Montréal
La corporation du Centre du Sablon,La corporation du centre du sablon
La corporation du centre culturel et communautaire Thérèse de Blainville Inc,La corporation du centre culturel et communautaire Thérèse de Blainville Inc
La corporation du centre du sablon,La corporation du centre du sablon
La danse sur les routes du Québec,La danse sur les routes du Québec
La fabrique de la paroisse Notre-Dame de Montréal,La Fabrique de la Paroisse Notre-Dame de Montréal
La fondation du théâtre du nouveau monde,La Fondation du Théâtre du Nouveau Monde
La fédération culturelle de l'Île-du-Prince-Édouard Inc,La fédération culturelle de l'Île-du-Prince-Édouard Inc
La fédération des Jeunes francophones du Nouveau-Brunswick inc,La Fédération des jeunes francophones du Nouveau-Brunswick inc
La fédération des aînés Franco-Manitobains Inc,La fédération des aînés Franco-Manitobains Inc
La fédération des parents de l'Île-du-Prince-Édouard Inc,La fédération des parents de l'Île-du-Prince-Édouard Inc
La fédération des parents francophones de Terre-Neuve et du Labrador inc,Fédération des parents francophones de Terre-Neuve et du Labrador Inc
La fédération du sport francophone de l'Alberta,La fédération du sport francophone de l'Alberta
La maison bleue: milieu de vie préventif à l'enfance,La maison bleue: milieu de vie préventif à l'enfance
La maison d'hébergement pour femmes francophones de Toronto,Maison d'hébergement pour femmes francophones
La maison de la Francophonie de Toronto,La maison de la Francophonie de Toronto
La maison de paille S.E.N.C.,La maison de paille S.E.N.C.
La maison des artistes visuels francophones Inc,La maison des artistes visuels francophones Inc
La pourvoirie du lac Diana Inc,La pourvoirie du lac Diana Inc
La revue Notre-Dame du Cap,La Revue Notre-Dame du Cap
La rue des Femmes,La rue des Femmes
La rue des Femmes de Montréal,La rue des femmes de Montréal
La rue des femmes de Montréal,La rue des femmes de Montréal
La serre arts vivants,La serre arts vivants
