Year,Department or agency,Province or territory of work,Number of employees
2016,National Research Council Canada,Quebec (minus the NCR),630
2016,National Research Council Canada,Saskatchewan,128
2016,Natural Resources Canada,Alberta,321
2016,Natural Resources Canada,British Columbia,256
2016,Natural Resources Canada,Manitoba,6
2016,Natural Resources Canada,National Capital Region (NCR),2640
2016,Natural Resources Canada,New Brunswick,64
2016,Natural Resources Canada,Newfoundland and Labrador,25
2016,Natural Resources Canada,Northwest Territories,7
2016,Natural Resources Canada,Nova Scotia,68
2016,Natural Resources Canada,Nunavut,10
2016,Natural Resources Canada,Ontario (minus the NCR),304
2016,Natural Resources Canada,Prince Edward Island,1
2016,Natural Resources Canada,Quebec (minus the NCR),423
2016,Natural Resources Canada,Saskatchewan,8
2016,Natural Resources Canada,Unknown,52
2016,Natural Resources Canada,Yukon,6
2016,Natural Sciences and Engineering Research Canada,British Columbia,4
2016,Natural Sciences and Engineering Research Canada,Manitoba,4
2016,Natural Sciences and Engineering Research Canada,National Capital Region (NCR),420
2016,Natural Sciences and Engineering Research Canada,New Brunswick,6
2016,Natural Sciences and Engineering Research Canada,Ontario (minus the NCR),6
2016,Natural Sciences and Engineering Research Canada,Quebec (minus the NCR),4
2016,Office of the Auditor General of Canada,Alberta,11
2016,Office of the Auditor General of Canada,British Columbia,19
2016,Office of the Auditor General of Canada,National Capital Region (NCR),531
2016,Office of the Auditor General of Canada,Nova Scotia,9
2016,Office of the Auditor General of Canada,Ontario (minus the NCR),1
2016,Office of the Auditor General of Canada,Quebec (minus the NCR),16
2016,Office of the Auditor General of Canada,Saskatchewan,1
2016,Office of the Commissioner for Federal Judicial Affairs Canada,National Capital Region (NCR),59
2016,Office of the Commissioner of Lobbying of Canada,National Capital Region (NCR),26
2016,Office of the Commissioner of Official Languages,Alberta,2
2016,Office of the Commissioner of Official Languages,Manitoba,4
2016,Office of the Commissioner of Official Languages,National Capital Region (NCR),142
2016,Office of the Commissioner of Official Languages,New Brunswick,6
2016,Office of the Commissioner of Official Languages,Ontario (minus the NCR),3
2016,Office of the Commissioner of Official Languages,Quebec (minus the NCR),6
2016,Office of the Commissioner of Official Languages,Saskatchewan,1
2016,Office of the Governor General's Secretary,National Capital Region (NCR),163
2016,Office of the Governor General's Secretary,Quebec (minus the NCR),2
2016,Office of the Governor General's Secretary,Unknown,1
2016,Office of the Public Sector Integrity Commissioner of Canada,National Capital Region (NCR),26
2016,Office of the Superintendent of Financial Institutions Canada,British Columbia,13
2016,Office of the Superintendent of Financial Institutions Canada,National Capital Region (NCR),306
2016,Office of the Superintendent of Financial Institutions Canada,Ontario (minus the NCR),328
2016,Office of the Superintendent of Financial Institutions Canada,Quebec (minus the NCR),19
2016,Office of the Superintendent of Financial Institutions Canada,Unknown,1
2016,Offices of the Information and Privacy Commissioners of Canada,National Capital Region (NCR),252
2016,Offices of the Information and Privacy Commissioners of Canada,Ontario (minus the NCR),7
2016,Parks Canada,Alberta,735
2016,Parks Canada,British Columbia,380
2016,Parks Canada,Manitoba,202
2016,Parks Canada,National Capital Region (NCR),595
2016,Parks Canada,New Brunswick,96
2016,Parks Canada,Newfoundland and Labrador,136
2016,Parks Canada,Northwest Territories,77
2016,Parks Canada,Nova Scotia,311
2016,Parks Canada,Nunavut,40
2016,Parks Canada,Ontario (minus the NCR),580
2016,Parks Canada,Prince Edward Island,66
2016,Parks Canada,Quebec (minus the NCR),452
2016,Parks Canada,Saskatchewan,135
2016,Parks Canada,Yukon,81
2016,Parole Board of Canada,Alberta,43
2016,Parole Board of Canada,British Columbia,45
2016,Parole Board of Canada,National Capital Region (NCR),154
2016,Parole Board of Canada,New Brunswick,40
2016,Parole Board of Canada,Ontario (minus the NCR),57
2016,Parole Board of Canada,Quebec (minus the NCR),69
2016,Parole Board of Canada,Saskatchewan,37
2016,Parole Board of Canada,Unknown,2
2016,Patented Medicine Prices Review Board Canada,National Capital Region (NCR),69
2016,Polar Knowledge Canada,National Capital Region (NCR),26
2016,Polar Knowledge Canada,Northwest Territories,1
2016,Polar Knowledge Canada,Nunavut,2
2016,Privy Council Office,National Capital Region (NCR),703
2016,Privy Council Office,Unknown,9
2016,Public Health Agency of Canada,Alberta,34
2016,Public Health Agency of Canada,British Columbia,47
2016,Public Health Agency of Canada,Manitoba,489
2016,Public Health Agency of Canada,National Capital Region (NCR),1302
2016,Public Health Agency of Canada,New Brunswick,5
2016,Public Health Agency of Canada,Newfoundland and Labrador,6
2016,Public Health Agency of Canada,Northwest Territories,2
2016,Public Health Agency of Canada,Nova Scotia,32
2016,Public Health Agency of Canada,Nunavut,3
2016,Public Health Agency of Canada,Ontario (minus the NCR),167
2016,Public Health Agency of Canada,Prince Edward Island,1
2016,Public Health Agency of Canada,Quebec (minus the NCR),81
2016,Public Health Agency of Canada,Saskatchewan,13
2016,Public Health Agency of Canada,Unknown,37
2016,Public Health Agency of Canada,Yukon,4
2016,Public Prosecution Service of Canada,Alberta,111
2016,Public Prosecution Service of Canada,British Columbia,99
2016,Public Prosecution Service of Canada,Manitoba,40
2016,Public Prosecution Service of Canada,National Capital Region (NCR),259
2016,Public Prosecution Service of Canada,New Brunswick,10
2016,Public Prosecution Service of Canada,Newfoundland and Labrador,8
2016,Public Prosecution Service of Canada,Northwest Territories,49
2016,Public Prosecution Service of Canada,Nova Scotia,47
2016,Public Prosecution Service of Canada,Nunavut,33
2016,Public Prosecution Service of Canada,Ontario (minus the NCR),175
2016,Public Prosecution Service of Canada,Quebec (minus the NCR),81
2016,Public Prosecution Service of Canada,Saskatchewan,28
2016,Public Prosecution Service of Canada,Unknown,1
2016,Public Prosecution Service of Canada,Yukon,29
2016,Public Safety Canada,Alberta,6
2016,Public Safety Canada,British Columbia,19
2016,Public Safety Canada,Manitoba,11
2016,Public Safety Canada,National Capital Region (NCR),1014
2016,Public Safety Canada,New Brunswick,8
2016,Public Safety Canada,Newfoundland and Labrador,2
2016,Public Safety Canada,Northwest Territories,1
2016,Public Safety Canada,Nova Scotia,23
2016,Public Safety Canada,Ontario (minus the NCR),9
2016,Public Safety Canada,Prince Edward Island,3
2016,Public Safety Canada,Quebec (minus the NCR),14
2016,Public Safety Canada,Saskatchewan,6
2016,Public Safety Canada,Unknown,9
2016,Public Service Commission of Canada,British Columbia,8
2016,Public Service Commission of Canada,National Capital Region (NCR),639
2016,Public Service Commission of Canada,Nova Scotia,10
2016,Public Service Commission of Canada,Ontario (minus the NCR),14
2016,Public Service Commission of Canada,Quebec (minus the NCR),67
2016,Public Service Commission of Canada,Unknown,3
2016,Public Services and Procurement Canada,Alberta,354
2016,Public Services and Procurement Canada,British Columbia,462
2016,Public Services and Procurement Canada,Manitoba,160
2016,Public Services and Procurement Canada,National Capital Region (NCR),7364
2016,Public Services and Procurement Canada,New Brunswick,1446
2016,Public Services and Procurement Canada,Newfoundland and Labrador,84
2016,Public Services and Procurement Canada,Northwest Territories,21
2016,Public Services and Procurement Canada,Nova Scotia,402
2016,Public Services and Procurement Canada,Nunavut,9
2016,Public Services and Procurement Canada,Ontario (minus the NCR),515
2016,Public Services and Procurement Canada,Outside of Canada,3
2016,Public Services and Procurement Canada,Prince Edward Island,46
2016,Public Services and Procurement Canada,Quebec (minus the NCR),1122
2016,Public Services and Procurement Canada,Saskatchewan,50
2016,Public Services and Procurement Canada,Unknown,20
2016,Public Services and Procurement Canada,Yukon,3
2016,RCMP External Review Committee,National Capital Region (NCR),7
2016,Registrar of the Supreme Court of Canada,National Capital Region (NCR),212
2016,Royal Canadian Mounted Police (Civilian Staff),Alberta,632
2016,Royal Canadian Mounted Police (Civilian Staff),British Columbia,1228
2016,Royal Canadian Mounted Police (Civilian Staff),Manitoba,363
2016,Royal Canadian Mounted Police (Civilian Staff),National Capital Region (NCR),1966
2016,Royal Canadian Mounted Police (Civilian Staff),New Brunswick,469
2016,Royal Canadian Mounted Police (Civilian Staff),Newfoundland and Labrador,188
2016,Royal Canadian Mounted Police (Civilian Staff),Northwest Territories,34
2016,Royal Canadian Mounted Police (Civilian Staff),Nova Scotia,272
2016,Royal Canadian Mounted Police (Civilian Staff),Nunavut,11
2016,Royal Canadian Mounted Police (Civilian Staff),Ontario (minus the NCR),255
2016,Royal Canadian Mounted Police (Civilian Staff),Outside of Canada,1
2016,Royal Canadian Mounted Police (Civilian Staff),Prince Edward Island,38
2016,Royal Canadian Mounted Police (Civilian Staff),Quebec (minus the NCR),259
2016,Royal Canadian Mounted Police (Civilian Staff),Saskatchewan,770
2016,Royal Canadian Mounted Police (Civilian Staff),Unknown,48
2016,Royal Canadian Mounted Police (Civilian Staff),Yukon,37
2016,Security Intelligence Review Committee,National Capital Region (NCR),20
2016,Shared Services Canada,Alberta,81
2016,Shared Services Canada,British Columbia,128
2016,Shared Services Canada,Manitoba,87
2016,Shared Services Canada,National Capital Region (NCR),3860
2016,Shared Services Canada,New Brunswick,141
2016,Shared Services Canada,Newfoundland and Labrador,24
2016,Shared Services Canada,Northwest Territories,3
2016,Shared Services Canada,Nova Scotia,98
2016,Shared Services Canada,Ontario (minus the NCR),253
2016,Shared Services Canada,Prince Edward Island,69
2016,Shared Services Canada,Quebec (minus the NCR),353
2016,Shared Services Canada,Saskatchewan,21
2016,Shared Services Canada,Unknown,39
2016,Social Sciences and Humanities Research Council of Canada,National Capital Region (NCR),210
2016,Statistical Survey Operations,Alberta,272
2016,Statistical Survey Operations,British Columbia,84
2016,Statistical Survey Operations,Manitoba,232
2016,Statistical Survey Operations,New Brunswick,41
2016,Statistical Survey Operations,Newfoundland and Labrador,32
2016,Statistical Survey Operations,Northwest Territories,6
2016,Statistical Survey Operations,Nova Scotia,213
2016,Statistical Survey Operations,Nunavut,1
2016,Statistical Survey Operations,Ontario (minus the NCR),423
2016,Statistical Survey Operations,Prince Edward Island,21
2016,Statistical Survey Operations,Quebec (minus the NCR),312
2016,Statistical Survey Operations,Saskatchewan,53
2016,Statistical Survey Operations,Unknown,1
2016,Statistical Survey Operations,Yukon,10
2016,Statistics Canada,Alberta,152
2016,Statistics Canada,British Columbia,142
2016,Statistics Canada,Manitoba,46
2016,Statistics Canada,National Capital Region (NCR),4704
2016,Statistics Canada,New Brunswick,16
2016,Statistics Canada,Newfoundland and Labrador,19
2016,Statistics Canada,Nova Scotia,80
2016,Statistics Canada,Ontario (minus the NCR),311
2016,Statistics Canada,Prince Edward Island,2
2016,Statistics Canada,Quebec (minus the NCR),203
2016,Statistics Canada,Saskatchewan,35
2016,Statistics Canada,Unknown,6
2016,Statistics Canada,Yukon,1
2016,The Correctional Investigator Canada,National Capital Region (NCR),37
2016,Transport Canada,Alberta,178
2016,Transport Canada,British Columbia,527
2016,Transport Canada,Manitoba,277
2016,Transport Canada,National Capital Region (NCR),2732
2016,Transport Canada,New Brunswick,195
2016,Transport Canada,Newfoundland and Labrador,90
2016,Transport Canada,Northwest Territories,4
2016,Transport Canada,Nova Scotia,114
2016,Transport Canada,Ontario (minus the NCR),451
2016,Transport Canada,Outside of Canada,3
2016,Transport Canada,Prince Edward Island,6
2016,Transport Canada,Quebec (minus the NCR),558
2016,Transport Canada,Saskatchewan,14
2016,Transport Canada,Unknown,1
2016,Transport Canada,Yukon,4
2016,Transportation Safety Board of Canada,Alberta,9
2016,Transportation Safety Board of Canada,British Columbia,14
2016,Transportation Safety Board of Canada,Manitoba,9
2016,Transportation Safety Board of Canada,National Capital Region (NCR),141
2016,Transportation Safety Board of Canada,Nova Scotia,13
2016,Transportation Safety Board of Canada,Ontario (minus the NCR),12
2016,Transportation Safety Board of Canada,Quebec (minus the NCR),17
2016,Treasury Board of Canada Secretariat,National Capital Region (NCR),1721
2016,Treasury Board of Canada Secretariat,Ontario (minus the NCR),2
2016,Treasury Board of Canada Secretariat,Unknown,5
2016,Veterans Affairs Canada,Alberta,71
2016,Veterans Affairs Canada,British Columbia,168
2016,Veterans Affairs Canada,Manitoba,73
2016,Veterans Affairs Canada,National Capital Region (NCR),188
2016,Veterans Affairs Canada,New Brunswick,63
2016,Veterans Affairs Canada,Newfoundland and Labrador,30
2016,Veterans Affairs Canada,Nova Scotia,125
2016,Veterans Affairs Canada,Ontario (minus the NCR),368
2016,Veterans Affairs Canada,Outside of Canada,16
2016,Veterans Affairs Canada,Prince Edward Island,1169
2016,Veterans Affairs Canada,Quebec (minus the NCR),1094
2016,Veterans Affairs Canada,Saskatchewan,11
2016,Veterans Affairs Canada,Unknown,37
2016,Western Economic Diversification Canada,Alberta,126
2016,Western Economic Diversification Canada,British Columbia,58
2016,Western Economic Diversification Canada,Manitoba,34
2016,Western Economic Diversification Canada,National Capital Region (NCR),36
2016,Western Economic Diversification Canada,Saskatchewan,38
2016,Women and Gender Equality Canada,Alberta,3
2016,Women and Gender Equality Canada,British Columbia,1
2016,Women and Gender Equality Canada,National Capital Region (NCR),79
2016,Women and Gender Equality Canada,New Brunswick,5
2016,Women and Gender Equality Canada,Quebec (minus the NCR),3
2017,Administrative Tribunals Support Service of Canada,British Columbia,2
2017,Administrative Tribunals Support Service of Canada,Manitoba,1
2017,Administrative Tribunals Support Service of Canada,National Capital Region (NCR),538
2017,Administrative Tribunals Support Service of Canada,Nova Scotia,2
2017,Administrative Tribunals Support Service of Canada,Ontario (minus the NCR),5
2017,Administrative Tribunals Support Service of Canada,Quebec (minus the NCR),7
2017,Administrative Tribunals Support Service of Canada,Unknown,15
2017,Agriculture and Agri-Food Canada,Alberta,505
2017,Agriculture and Agri-Food Canada,British Columbia,209
2017,Agriculture and Agri-Food Canada,Manitoba,641
2017,Agriculture and Agri-Food Canada,National Capital Region (NCR),2029
2017,Agriculture and Agri-Food Canada,New Brunswick,139
2017,Agriculture and Agri-Food Canada,Newfoundland and Labrador,31
2017,Agriculture and Agri-Food Canada,Nova Scotia,120
2017,Agriculture and Agri-Food Canada,Ontario (minus the NCR),365
2017,Agriculture and Agri-Food Canada,Prince Edward Island,91
2017,Agriculture and Agri-Food Canada,Quebec (minus the NCR),503
2017,Agriculture and Agri-Food Canada,Saskatchewan,579
2017,Agriculture and Agri-Food Canada,Unknown,21
2017,Agriculture and Agri-Food Canada,Yukon,1
2017,Atlantic Canada Opportunities Agency,National Capital Region (NCR),25
2017,Atlantic Canada Opportunities Agency,New Brunswick,301
2017,Atlantic Canada Opportunities Agency,Newfoundland and Labrador,93
2017,Atlantic Canada Opportunities Agency,Nova Scotia,124
2017,Atlantic Canada Opportunities Agency,Prince Edward Island,50
2017,Canada Border Services Agency,Alberta,504
2017,Canada Border Services Agency,British Columbia,1811
2017,Canada Border Services Agency,Manitoba,458
2017,Canada Border Services Agency,National Capital Region (NCR),4380
2017,Canada Border Services Agency,New Brunswick,380
2017,Canada Border Services Agency,Newfoundland and Labrador,74
2017,Canada Border Services Agency,Northwest Territories,2
2017,Canada Border Services Agency,Nova Scotia,248
2017,Canada Border Services Agency,Ontario (minus the NCR),3566
2017,Canada Border Services Agency,Outside of Canada,27
2017,Canada Border Services Agency,Prince Edward Island,3
2017,Canada Border Services Agency,Quebec (minus the NCR),1960
2017,Canada Border Services Agency,Saskatchewan,150
2017,Canada Border Services Agency,Unknown,125
2017,Canada Border Services Agency,Yukon,19
2017,Canada Economic Development for Quebec Regions,National Capital Region (NCR),21
2017,Canada Economic Development for Quebec Regions,Quebec (minus the NCR),314
2017,Canada Economic Development for Quebec Regions,Unknown,1
2017,Canada Energy Regulator,Alberta,449
2017,Canada Energy Regulator,British Columbia,3
2017,Canada Energy Regulator,Northwest Territories,1
2017,Canada Energy Regulator,Quebec (minus the NCR),3
2017,Canada Revenue Agency,Alberta,2513
2017,Canada Revenue Agency,British Columbia,4309
2017,Canada Revenue Agency,Manitoba,2696
2017,Canada Revenue Agency,National Capital Region (NCR),11337
2017,Canada Revenue Agency,New Brunswick,642
2017,Canada Revenue Agency,Newfoundland and Labrador,1329
2017,Canada Revenue Agency,Nova Scotia,681
2017,Canada Revenue Agency,Ontario (minus the NCR),10046
2017,Canada Revenue Agency,Prince Edward Island,1107
2017,Canada Revenue Agency,Quebec (minus the NCR),4992
2017,Canada Revenue Agency,Saskatchewan,523
2017,Canada Revenue Agency,Unknown,48
2017,Canada School of Public Service,Alberta,8
2017,Canada School of Public Service,British Columbia,13
2017,Canada School of Public Service,Manitoba,8
2017,Canada School of Public Service,National Capital Region (NCR),522
2017,Canada School of Public Service,New Brunswick,8
2017,Canada School of Public Service,Newfoundland and Labrador,2
2017,Canada School of Public Service,Nova Scotia,10
2017,Canada School of Public Service,Ontario (minus the NCR),16
2017,Canada School of Public Service,Quebec (minus the NCR),15
2017,Canada School of Public Service,Unknown,7
2017,Canada School of Public Service,Yukon,1
2017,Canadian Dairy Commission,National Capital Region (NCR),57
2017,Canadian Dairy Commission,Unknown,4
2017,Canadian Food Inspection Agency,Alberta,530
2017,Canadian Food Inspection Agency,British Columbia,499
2017,Canadian Food Inspection Agency,Manitoba,265
2017,Canadian Food Inspection Agency,National Capital Region (NCR),1969
2017,Canadian Food Inspection Agency,New Brunswick,269
2017,Canadian Food Inspection Agency,Newfoundland and Labrador,103
2017,Canadian Food Inspection Agency,Nova Scotia,189
2017,Canadian Food Inspection Agency,Ontario (minus the NCR),993
2017,Canadian Food Inspection Agency,Prince Edward Island,121
2017,Canadian Food Inspection Agency,Quebec (minus the NCR),1015
2017,Canadian Food Inspection Agency,Saskatchewan,222
2017,Canadian Food Inspection Agency,Unknown,5
2017,Canadian Grain Commission,Alberta,4
2017,Canadian Grain Commission,British Columbia,103
2017,Canadian Grain Commission,Manitoba,249
2017,Canadian Grain Commission,National Capital Region (NCR),1
2017,Canadian Grain Commission,Ontario (minus the NCR),25
2017,Canadian Grain Commission,Quebec (minus the NCR),39
2017,Canadian Grain Commission,Saskatchewan,9
2017,Canadian Grain Commission,Unknown,5
2017,Canadian Heritage,Alberta,10
2017,Canadian Heritage,British Columbia,39
2017,Canadian Heritage,Manitoba,24
2017,Canadian Heritage,National Capital Region (NCR),1407
2017,Canadian Heritage,New Brunswick,25
2017,Canadian Heritage,Newfoundland and Labrador,7
2017,Canadian Heritage,Northwest Territories,1
2017,Canadian Heritage,Nova Scotia,11
2017,Canadian Heritage,Ontario (minus the NCR),54
2017,Canadian Heritage,Prince Edward Island,4
2017,Canadian Heritage,Quebec (minus the NCR),54
2017,Canadian Heritage,Saskatchewan,8
2017,Canadian Heritage,Unknown,114
2017,Canadian Heritage,Yukon,1
2017,Canadian Human Rights Commission,Alberta,5
2017,Canadian Human Rights Commission,Manitoba,4
2017,Canadian Human Rights Commission,National Capital Region (NCR),174
2017,Canadian Human Rights Commission,Quebec (minus the NCR),4
2017,Canadian Human Rights Commission,Unknown,4
2017,Canadian Institutes of Health Research,National Capital Region (NCR),461
2017,Canadian Institutes of Health Research,Unknown,1
2017,Canadian Intergovernmental Conference Secretariat,National Capital Region (NCR),22
2017,Canadian Northern Economic Development Agency,National Capital Region (NCR),16
2017,Canadian Northern Economic Development Agency,Northwest Territories,19
2017,Canadian Northern Economic Development Agency,Nunavut,26
2017,Canadian Northern Economic Development Agency,Unknown,6
2017,Canadian Northern Economic Development Agency,Yukon,11
2017,Canadian Nuclear Safety Commission,Alberta,8
2017,Canadian Nuclear Safety Commission,National Capital Region (NCR),734
2017,Canadian Nuclear Safety Commission,New Brunswick,5
2017,Canadian Nuclear Safety Commission,Ontario (minus the NCR),42
2017,Canadian Nuclear Safety Commission,Quebec (minus the NCR),6
2017,Canadian Nuclear Safety Commission,Saskatchewan,10
2017,Canadian Nuclear Safety Commission,Unknown,54
2017,Canadian Radio-television and Telecommunications Commission,Alberta,2
2017,Canadian Radio-television and Telecommunications Commission,British Columbia,5
2017,Canadian Radio-television and Telecommunications Commission,Manitoba,1
2017,Canadian Radio-television and Telecommunications Commission,National Capital Region (NCR),444
2017,Canadian Radio-television and Telecommunications Commission,Nova Scotia,3
2017,Canadian Radio-television and Telecommunications Commission,Ontario (minus the NCR),2
2017,Canadian Radio-television and Telecommunications Commission,Quebec (minus the NCR),3
2017,Canadian Radio-television and Telecommunications Commission,Saskatchewan,1
2017,Canadian Radio-television and Telecommunications Commission,Unknown,1
2017,Canadian Space Agency,National Capital Region (NCR),1
2017,Canadian Space Agency,Ontario (minus the NCR),59
2017,Canadian Space Agency,Quebec (minus the NCR),591
2017,Canadian Space Agency,Unknown,4
2017,Canadian Transportation Agency,National Capital Region (NCR),221
2017,Canadian Transportation Agency,Unknown,2
2017,Civilian Review and Complaints Commission for the RCMP,British Columbia,3
2017,Civilian Review and Complaints Commission for the RCMP,National Capital Region (NCR),52
2017,Civilian Review and Complaints Commission for the RCMP,Unknown,12
2017,Communications Security Establishment,Unknown,2209
2017,Copyright Board Canada,National Capital Region (NCR),13
2017,Copyright Board Canada,Unknown,1
2017,Correctional Service Canada,Alberta,2046
2017,Correctional Service Canada,British Columbia,2616
2017,Correctional Service Canada,Manitoba,645
2017,Correctional Service Canada,National Capital Region (NCR),1296
2017,Correctional Service Canada,New Brunswick,1110
2017,Correctional Service Canada,Newfoundland and Labrador,43
2017,Correctional Service Canada,Northwest Territories,3
2017,Correctional Service Canada,Nova Scotia,628
2017,Correctional Service Canada,Nunavut,3
2017,Correctional Service Canada,Ontario (minus the NCR),3512
2017,Correctional Service Canada,Prince Edward Island,6
2017,Correctional Service Canada,Quebec (minus the NCR),3626
2017,Correctional Service Canada,Saskatchewan,1477
2017,Correctional Service Canada,Unknown,98
2017,Courts Administration Service,Alberta,11
2017,Courts Administration Service,British Columbia,30
2017,Courts Administration Service,Manitoba,3
2017,Courts Administration Service,National Capital Region (NCR),459
2017,Courts Administration Service,New Brunswick,2
2017,Courts Administration Service,Newfoundland and Labrador,2
2017,Courts Administration Service,Nova Scotia,4
2017,Courts Administration Service,Ontario (minus the NCR),70
2017,Courts Administration Service,Quebec (minus the NCR),49
2017,Courts Administration Service,Unknown,6
2017,Crown-Indigenous Relations and Northern Affairs Canada,Alberta,224
2017,Crown-Indigenous Relations and Northern Affairs Canada,British Columbia,422
2017,Crown-Indigenous Relations and Northern Affairs Canada,Manitoba,216
2017,Crown-Indigenous Relations and Northern Affairs Canada,National Capital Region (NCR),2176
2017,Crown-Indigenous Relations and Northern Affairs Canada,Newfoundland and Labrador,1
2017,Crown-Indigenous Relations and Northern Affairs Canada,Northwest Territories,84
2017,Crown-Indigenous Relations and Northern Affairs Canada,Nova Scotia,122
2017,Crown-Indigenous Relations and Northern Affairs Canada,Nunavut,91
2017,Crown-Indigenous Relations and Northern Affairs Canada,Ontario (minus the NCR),417
2017,Crown-Indigenous Relations and Northern Affairs Canada,Quebec (minus the NCR),165
2017,Crown-Indigenous Relations and Northern Affairs Canada,Saskatchewan,306
2017,Crown-Indigenous Relations and Northern Affairs Canada,Unknown,410
2017,Crown-Indigenous Relations and Northern Affairs Canada,Yukon,74
2017,Department of Finance Canada,National Capital Region (NCR),738
2017,Department of Finance Canada,Unknown,9
2017,Department of Justice Canada,Alberta,219
2017,Department of Justice Canada,British Columbia,446
2017,Department of Justice Canada,Manitoba,83
2017,Department of Justice Canada,National Capital Region (NCR),2636
2017,Department of Justice Canada,New Brunswick,5
2017,Department of Justice Canada,Newfoundland and Labrador,2
2017,Department of Justice Canada,Northwest Territories,16
2017,Department of Justice Canada,Nova Scotia,99
2017,Department of Justice Canada,Nunavut,1
2017,Department of Justice Canada,Ontario (minus the NCR),515
2017,Department of Justice Canada,Prince Edward Island,8
2017,Department of Justice Canada,Quebec (minus the NCR),328
2017,Department of Justice Canada,Saskatchewan,73
2017,Department of Justice Canada,Unknown,20
2017,Department of Justice Canada,Yukon,10
2017,Elections Canada,National Capital Region (NCR),583
2017,Elections Canada,Unknown,1
2017,Employment and Social Development Canada,Alberta,1687
2017,Employment and Social Development Canada,British Columbia,2149
2017,Employment and Social Development Canada,Manitoba,807
2017,Employment and Social Development Canada,National Capital Region (NCR),6857
2017,Employment and Social Development Canada,New Brunswick,1112
2017,Employment and Social Development Canada,Newfoundland and Labrador,601
2017,Employment and Social Development Canada,Northwest Territories,18
2017,Employment and Social Development Canada,Nova Scotia,523
2017,Employment and Social Development Canada,Nunavut,12
2017,Employment and Social Development Canada,Ontario (minus the NCR),5543
2017,Employment and Social Development Canada,Prince Edward Island,117
2017,Employment and Social Development Canada,Quebec (minus the NCR),3530
2017,Employment and Social Development Canada,Saskatchewan,512
2017,Employment and Social Development Canada,Unknown,253
2017,Employment and Social Development Canada,Yukon,8
2017,Environment and Climate Change Canada,Alberta,383
2017,Environment and Climate Change Canada,British Columbia,518
2017,Environment and Climate Change Canada,Manitoba,134
2017,Environment and Climate Change Canada,National Capital Region (NCR),2772
2017,Environment and Climate Change Canada,New Brunswick,145
2017,Environment and Climate Change Canada,Newfoundland and Labrador,69
2017,Environment and Climate Change Canada,Northwest Territories,57
2017,Environment and Climate Change Canada,Nova Scotia,234
2017,Environment and Climate Change Canada,Nunavut,13
2017,Environment and Climate Change Canada,Ontario (minus the NCR),1232
2017,Environment and Climate Change Canada,Prince Edward Island,3
2017,Environment and Climate Change Canada,Quebec (minus the NCR),843
2017,Environment and Climate Change Canada,Saskatchewan,152
2017,Environment and Climate Change Canada,Unknown,16
2017,Environment and Climate Change Canada,Yukon,30
2017,Federal Economic Development Agency for Southern Ontario,National Capital Region (NCR),24
2017,Federal Economic Development Agency for Southern Ontario,Ontario (minus the NCR),166
2017,Federal Economic Development Agency for Southern Ontario,Unknown,27
2017,Federal Judges not part of any department,Unknown,1128
2017,Financial Consumer Agency of Canada,National Capital Region (NCR),99
2017,Financial Transactions and Reports Analysis Centre of Canada,British Columbia,13
2017,Financial Transactions and Reports Analysis Centre of Canada,National Capital Region (NCR),295
2017,Financial Transactions and Reports Analysis Centre of Canada,Ontario (minus the NCR),22
2017,Financial Transactions and Reports Analysis Centre of Canada,Quebec (minus the NCR),10
2017,Financial Transactions and Reports Analysis Centre of Canada,Unknown,38
2017,Fisheries and Oceans Canada,Alberta,9
2017,Fisheries and Oceans Canada,British Columbia,2343
2017,Fisheries and Oceans Canada,Manitoba,199
2017,Fisheries and Oceans Canada,National Capital Region (NCR),1582
2017,Fisheries and Oceans Canada,New Brunswick,598
2017,Fisheries and Oceans Canada,Newfoundland and Labrador,1556
2017,Fisheries and Oceans Canada,Northwest Territories,51
2017,Fisheries and Oceans Canada,Nova Scotia,1428
2017,Fisheries and Oceans Canada,Nunavut,21
2017,Fisheries and Oceans Canada,Ontario (minus the NCR),814
2017,Fisheries and Oceans Canada,Prince Edward Island,111
2017,Fisheries and Oceans Canada,Quebec (minus the NCR),1300
2017,Fisheries and Oceans Canada,Saskatchewan,2
2017,Fisheries and Oceans Canada,Unknown,191
2017,Fisheries and Oceans Canada,Yukon,25
2017,Global Affairs Canada,Alberta,11
2017,Global Affairs Canada,British Columbia,14
2017,Global Affairs Canada,Manitoba,4
2017,Global Affairs Canada,National Capital Region (NCR),4882
2017,Global Affairs Canada,New Brunswick,1
2017,Global Affairs Canada,Newfoundland and Labrador,1
2017,Global Affairs Canada,Nova Scotia,6
2017,Global Affairs Canada,Ontario (minus the NCR),31
2017,Global Affairs Canada,Outside of Canada,1057
2017,Global Affairs Canada,Prince Edward Island,1
2017,Global Affairs Canada,Quebec (minus the NCR),18
2017,Global Affairs Canada,Saskatchewan,1
2017,Global Affairs Canada,Unknown,34
2017,Health Canada,Alberta,417
2017,Health Canada,British Columbia,184
2017,Health Canada,Manitoba,723
2017,Health Canada,National Capital Region (NCR),6331
2017,Health Canada,New Brunswick,19
2017,Health Canada,Newfoundland and Labrador,12
2017,Health Canada,Northwest Territories,6
2017,Health Canada,Nova Scotia,216
2017,Health Canada,Ontario (minus the NCR),618
2017,Health Canada,Prince Edward Island,1
2017,Health Canada,Quebec (minus the NCR),477
2017,Health Canada,Saskatchewan,247
2017,Health Canada,Unknown,62
