measure_id,parent_measure_id,measure_en,chapter_key,id_en,description_en
79,,Modernizing the Canadian Transportation Agency,oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),"Funding proposed for the Canadian Transportation Agency to support its modernization initiative. Over the next three years, the Agency will develop a cost recovery mechanism for its services."
80,,Modernizing VIA Rail Passenger Service,oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),Funding proposed for Transport Canada to support the continued in-depth assessment of VIA Rail's high-frequency rail proposal for the Toronto-Quebec City corridor. 
81,,More Women and Girls in Sport,adv,More-Women-and-Girls-in-Sport,"Canada’s women and girl athletes do us proud at high-performance sport events, and regularly achieve podium success at Senior World Championships, and Olympic and Paralympic Games. However, fewer Canadian women and girls participate in sport and physical activity than men and boys—Statistics Canada estimates that in 2010 approximately one-third of Canadian men and one-sixth of Canadian women regularly participated in sport. Men are also approximately two to three times more likely to be coaches, officials or in other leadership positions than women.

We need to create an environment where women and girls feel comfortable engaging in physical activity and sport—at all ages and all levels. To do so, we need to better understand why women and girls choose not to participate in sport, or move into the senior ranks of coaching or management of sports, and then work to remove the barriers that exist. 

This is why through Budget 2018, the Government is setting a target to achieve gender equality in sport at every level by 2035, and proposes to provide an initial $30 million over three years to support data and research and innovative practices to promote women and girls’ participation in sport, and provide support to national sports organizations to promote the greater inclusion of women and girls in all facets of sport. 
"
82,,National Human Trafficking Hotline,adv,National-Human-Trafficking-Hotline,"Human trafficking is a heinous crime that disproportionately affects women and girls, particularly Indigenous, newcomer and low-income individuals. The Government is committed to putting an end to gender-based violence and proposes to provide $14.51 million over five years, beginning in 2018–19, and $2.89 million per year ongoing, to Public Safety Canada to combat human trafficking by establishing a National Human Trafficking Hotline, including an online portal and a referral mechanism to social services and law enforcement. This hotline will help protect those vulnerable to being trafficked and enable victims to access the necessary social and law enforcement services they need. As this initiative proceeds, the Government will work with provinces and territories to ensure effective implementation."
83,,National Research Council,prg,strongStronger-and-More-Collaborative-Federal-Science-strong,"
As the National Research Council re-imagines itself to deliver on the Innovation and Skills Plan, it will be taking targeted action to include more women, youth, Indigenous Peoples, persons with disabilities and visible minorities among its researchers. Targeted actions include ensuring there are no unintended barriers to the participation of women researchers and entrepreneurs in the National Research Council’s programs, as well as increased outreach to diverse groups of Canadians so they are fully aware of its programs and the opportunity to participate.

Governments around the world leverage their own research assets and talent to help businesses undertake commercially relevant but high-risk research, which can in turn lead to successful global companies. The National Research Council has the facilities, expertise and networks to convene strategic, large-scale national teams committed to cutting-edge innovation. Budget 2018 announces a “re-imagined” National Research Council and proposes to provide $540 million over five years, starting in 2018–19, and $108 million annually for measures that will reinforce its research strengths and role as a trusted collaboration partner of industry.
•To catalyze transformative, high-risk, high-reward research with the potential for game-changing scientific discoveries and technological breakthroughs, the Government proposes to provide $150 million over five years with $30 million per year ongoing, to the National Research Council to fund its scientists to work with innovators from post-secondary institutions and businesses on multi-party research and development programs. This research will be modelled on the highly successful Defense Advanced Research Projects Agency in the United States.
•To encourage, test and validate transformative research ideas generated by the National Research Council’s world-class scientists, the Government proposes to provide $30 million over five years with $6 million per year ongoing, to the National Research Council to establish an ideation fund to target breakthrough research ideas through a competitive peer-reviewed process. 
•To enhance collaboration with businesses and improve access to the National Research Council’s specialized facilities and equipment, scientists and technical services, the Government proposes to provide $62 million over five years with $12.4 million per year ongoing, to lower access fees charged to small and medium-sized enterprises and universities and colleges.
•To allow for better long-term research planning and delivery, the Government will convert the National Research Council's longstanding temporary funding into ongoing permanent funding by providing $298 million over five years and $59.6 million per year ongoing. Total funding proposed under Budget 2018 will raise the National Research Council’s total annual budget to $1.1 billion.

The National Research Council is only one of the Government’s science-based organizations. The Government has recently announced significant new funds in support of activities in other science-based federal departments and agencies.
"
84,,New Fiscal Relationship – Strengthening First Nations Institutions and Community Capacity,rec,New-Fiscal-Relationship-Strengthening-First-Nations-Institutions-and-Community-Capacity,"The Government recognizes that in order to advance reconciliation with Indigenous Peoples and facilitate greater self-determination—including self-government—a new fiscal relationship is needed. 

The Government and the Assembly of First Nations have worked together to articulate a vision for a new fiscal relationship for First Nations communities. To better support First Nations communities, to support strong Indigenous institutions and to advance the new fiscal relationship with First Nations, Budget 2018 proposes to invest $188.6 million over five years, starting in 2018–19, in the following ways:
•$127.4 million over two years to directly support First Nations communities in building internal fiscal and administrative capacity. This includes $87.7 million over two years to ensure that communities under default management are able to move forward on projects that form part of their management action plans, and to support pilot projects in order to strengthen governance and community planning capacity in First Nations.
•$50 million over five years, and $11 million per year ongoing, to strengthen the First Nations Financial Management Board, the First Nations Finance Authority and the First Nations Tax Commission. 
•$2.5 million over three years to support the First Nations Information Governance Centre’s design of a national data governance strategy and coordination of efforts to establish regional data governance centres.
•$8.7 million over two years to continue and broaden work with First Nations leadership, technical experts, researchers and community representatives on the new fiscal relationship. 

The Government, with First Nations partners, will also undertake a comprehensive and collaborative review of current federal government programs and funding that support First Nations governance. The purpose of the review will be to ensure that these programs provide communities with sufficient resources to hire and retain the appropriate financial and administrative staff to support good governance, plan for the future and advance their vision of self-determination.
"
85,,New Fiscal Relationship: Collaboration with Self-Governing Indigenous Governments,rec,New-Fiscal-Relationship-Collaborating-With-Self-Governing-Indigenous-Governments,"Through Budget 2018, the Government proposes to provide $189.2 million in 2018–19 to begin the implementation of new fiscal policy reforms that have been co-developed with self-governing Indigenous Peoples in Canada. This funding will support key priorities, including the closing of socio-economic gaps, infrastructure, data collection and governance."
86,,New Tri-Council Fund,prg,Granting-Councils,"Canada’s three granting councils are arm’s-length organizations that provide federal funding for the work of researchers at post-secondary institutions and research hospitals. In Budget 2018, the Government is proposing a historic investment to support this work—the most new funding for fundamental research through the granting councils in Canadian history.

The Government proposes to invest $925 million over five years, starting in 2018–19, and $235 million per year ongoing:
•$354.7 million over five years ($90.1 million per year ongoing) to the Natural Sciences and Engineering Research Council (NSERC). 
•$354.7 million over five years ($90.1 million per year ongoing) to the Canadian Institutes of Health Research (CIHR).
•$215.5 million over five years ($54.8 million per year ongoing) to the Social Sciences and Humanities Research Council (SSHRC). 

To accelerate Canada’s transition to a more modern approach to research, Budget 2018 also proposes to create a new tri-council fund to support research that is international, interdisciplinary, fast-breaking and higher-risk. The Government proposes to provide $275 million over five years, starting in 2018–19, and $65 million per year ongoing, for this innovative approach, which will be administered by SSHRC on behalf of the granting councils.
These two proposed investments would increase the granting councils’ annual budgets for fundamental research by over 25 per cent when they reach their peak in three years time. The proposed funding would provide increased support and training opportunities for about 21,000 researchers, students and high-quality personnel across Canada every year by 2021–22, including: 6,000 top-tier researchers and principal investigators; 3,500 early-career researchers; 8,000 undergraduate, master’s and doctoral students; 1,300 postdoctoral students; and 2,000 research assistants and technicians.

With this investment, the granting councils will be tasked with developing new plans, strategies and targets to ensure greater collaboration between NSERC, CIHR and SSHRC and support for interdisciplinary research, as well as plans to achieve greater diversity among research funding recipients, including improved support for women, underrepresented groups and early-career researchers. To support these goals, the Government proposes to provide $6 million over five years ($0.5 million ongoing) for surveys to collect improved data on researchers, and $15 million over five years to implement programs that support improved equality and diversity in academia at post-secondary institutions.
"
87,,Pay Transparency,grw,Pay-Transparency,"The Government will provide Canadians with more information on pay practices of employers in the federally regulated sector. This would include converting existing pay information filed by federally regulated employers under the Employment Equity Actinto more user-friendly online content, with specific attention paid to making existing wage gaps more evident. This will help to highlight employers who lead in equitable pay practices, while holding employers accountable for wage gaps that affect women, Indigenous Peoples, persons with disabilities and visible minorities. Experience in other jurisdictions has shown it to be helpful in raising awareness about the wage gap. The Government will commit $3 million over five years, starting in 2018–19, to implement pay transparency. 

Recognizing that barriers to women’s labour market participation can be complex and slow to move, the Government will also host a major symposium on women and the workplace in the spring of 2019. This symposium will bring together leaders in the private and public sectors to discuss and share best practices. The objective of the symposium would be to encourage and provide tools for Canadian employers to address issues faced by women in the workplace, from wage gaps to harassment. The Government will provide $1.5 million over 2018–19 and 2019–20 for this symposium. 

Closing the wage gap between men and women requires action on many fronts. Investing in affordable and accessible child care and family leave, increasing women’s participation in traditionally male-dominated occupations, encouraging men to work in traditionally female-dominated occupations, implementing family-friendly workplace policies and challenging gender stereotypes that reinforce notions of “appropriate” work for men and women are some of these areas. Through Budget 2018, the Government will take targeted action to advance these goals—recognizing the significant work that remains to be done. 
"
88,,Permanent Bilateral Mechanisms,rec,Permanent-Bilateral-Mechanisms,"In December 2016, the Prime Minister announced that the Government would establish Permanent Bilateral Mechanisms with First Nations, Inuit and the Métis Nation to identify each community’s distinct priorities and help the Government and Indigenous Peoples work together to develop solutions. While Budget 2017 provided interim funding to support these Permanent Bilateral Mechanisms, Budget 2018 proposes to invest $74.9 million over five years, with $15.5 million per year ongoing, to provide ongoing support to these policy co-development forums. "
89,,Placing Evidence at the Centre of Program Evaluation and Design,prg,Placing-Evidence-at-the-Centre-of-Program-Evaluation-and-Design,"With these ambitious reforms, to ensure business innovation programing is investing in the right place, supporting high-performing businesses and meeting economic objectives, the Government proposes to provide:
•$1 million per year ongoing, starting in 2018–19, to Statistics Canada to improve performance evaluations for innovation-related programs. 
•$2 million per year ongoing, starting in 2018–19 to the Treasury Board Secretariat to establish a central performance evaluation team to undertake innovation performance evaluations on an ongoing basis, including using the data developed by Statistics Canada. 

To ensure that business innovation programming is also contributing to improved diversity outcomes, a national strategy will be developed outlining ways to boost the participation of underrepresented groups in an innovation-driven economy.
"
90,,POLAR Knowledge Canada,oth,strongStronger-and-More-Collaborative-Federal-Science-strong,"This funding will support the Canadian High Arctic Research Station (CHARS) campus and enable world-class cutting-edge research strengthening Canadian leadership in polar science and technology. In addition, the Government proposes to amend the Canadian High Arctic Research Station Act to support the transfer of the CHARS campus to POLAR Knowledge Canada."
91,,Pre-apprenticeship Program,grw,Pre-Apprenticeship-Program,"Understanding the value and promise of careers in the skilled trades, and the importance of these professions to Canada as a whole, the Government of Canada is also proposing to introduce a new Pre-Apprenticeship Program. This program will encourage underrepresented groups—including but not limited to women, Indigenous Peoples, newcomers and persons with disabilities–to explore careers in the skilled trades. Working in partnership with provinces, territories, post-secondary institutions, training providers, unions and employers, the Pre-Apprenticeship Program will help Canadians explore the trades, gain work experience, make informed career choices and develop the skills needed to find and keep good, well-paying jobs in the trades. The Government will provide $46 million over five years, starting in 2018–19, and $10 million per year thereafter, for the Pre-Apprenticeship Program. "
92,,Predictable Funding for Employment Insurance Service Delivery,adv,Predictable-Funding-for-Employment-Insurance-Service-Delivery,"Timely access to EI benefits is critical to help Canadians navigate a job loss or other life events. To meet the demands of increased EI claims volumes, the Government has increased funding for EI administration in the last two years. As a result, in 2016–17, 83 per cent of EI claimants received EI benefits or notification of their claim status within 28 days of filing. 

The Government proposes to make available up to $90 million over three years, starting in 2018–19, for EI claims processing and service delivery. Funding will be linked to EI claims volumes and will provide responsiveness to changing economic conditions. This will ensure that EI recipients continue to receive timely and accurate benefit payments.  
"
93,,Preserving Canada's Foreign Signals Intelligence Capability,adv,Safeguarding-the-Integrity-of-Our-Public-Safety-System,"The Communications Security Establishment is mandated to collect foreign signals intelligence to help inform the Government of Canada on matters of security, national defence and international affairs, reflecting the priorities set by the Government. In order to keep pace with rapid technological change that can challenge its ability to effectively collect foreign signals intelligence, the Government proposes to provide the Communications Security Establishment $225 million over four years, starting in 2020–21, and $62.1 million ongoing, to ensure this capability is preserved.  "
94,,Pricing Carbon Pollution and Supporting Clean Growth,adv,Pricing-Carbon-Pollution-and-Supporting-Clean-Growth,"Central to Canada’s plan to fight climate change and grow the economy is the understanding that pollution has a real, tangible cost. It puts stress on the health of our communities, our economy and on Canadians themselves. That is why the Government of Canada is committed to putting a price on carbon pollution. 

To ensure that a price on carbon pollution is in place across Canada, the Government is developing a federal carbon pollution pricing system that would apply in provinces and territories upon request, and in provinces and territories that do not have a pricing system in place that meets the federal standard by the end of 2018. The direct revenue from the carbon price on pollution under the federal system will be returned to the province or territory of origin.

Provinces and territories requesting that the federal system apply, in whole or in part, in their jurisdiction should confirm this by March 30, 2018. Provinces and territories establishing or maintaining their own system need to outline how they are implementing pricing on carbon pollution by September 1, 2018. The Government will review each system and implement the federal system in whole or in part on January 1, 2019 in any province or territory that does not have a carbon pollution pricing system that meets the minimum standard. 

The Government recently released draft legislative proposals on the federal carbon pollution pricing system, as well as a regulatory framework outlining the approach to carbon pollution pricing for large industrial facilities, and intends to introduce legislation to establish that system. 

To support the development and implementation of the federal carbon pollution pricing system, the Government will provide $109 million over five years, starting in 2017–18, to the Canada Revenue Agency and Environment and Climate Change Canada to implement, administer and enforce the federal carbon pollution pricing system.

In addition, to ensure that the actions established in the Pan-Canadian Framework on Clean Growth and Climate Change are transparent and informed by science and evidence, the Government proposes to make available $20 million over five years, starting in 2018–19, through Environment and Climate Change Canada to fulfill the Framework’s commitment to engage external experts to assess the effectiveness of its measures and identify best practices. 
. 
"
95,,Protecting Air Travelers,adv,Protecting-Air-Travellers,"To ensure consistent and effective security screening of travellers and workers, the Government proposes to provide $236.4 million in 2018–19, with $2.4 million in remaining amortization, to the Canadian Air Transport Security Authority (CATSA). This funding will also allow CATSA to add new lanes for U.S. Pre-clearance of passengers at the Billy Bishop Toronto City Airport and the Quebec City Jean Lesage International Airport. "
96,,"Protecting Canada's Nature, Parks and Wild Spaces",adv,Protecting-Canadas-Nature-Parks-and-Wild-Spaces,"Canadian history—a true legacy for our children and grandchildren. 

This investment will contribute $500 million from the federal government to create a new $1 billion Nature Fund in partnership with corporate, not-for-profit, provincial, territorial and other partners. In collaboration with partners, the Nature Fund will make it possible to secure private land, support provincial and territorial species protection efforts, and help build Indigenous capacity to conserve land and species, for our benefit and the benefit of future generations. 

The remaining funding will:
Increase the federal capacity to protect species at risk and put in place new recovery initiatives for priority species, areas and threats to our environment; expand national wildlife areas and migratory bird sanctuaries.Increase the federal capacity to manage protected areas, including national parks; continue implementation of the Species at Risk Act by supporting assessment, listing, recovery planning and action planning activities and establish a coordinated network of conservation areas working with provincial, territorial and Indigenous partners.
"
97,,Protecting Jobs in Eastern Canada's Forestry Sector,prg,Protecting-Jobs-in-Eastern-Canada-s-Forestry-Sector,"The sustainable management of our natural resources leads to long-term economic opportunity. Research on the spruce budworm, one of the most damaging pests to spruce trees in Canada, has identified ways to protect forests against its cyclical outbreaks. This is critical to support the forest industry and, in turn, jobs in parts of the country—such as Atlantic Canada—where the forestry sector is an important part of the economy.

Through Budget 2018, the Government proposes to take action alongside Atlantic provinces and the forest industry, by making available up to $74.75 million over five years, starting in 2018–19, based on a 60:40 federal to provincial and industry cost-sharing basis, to prevent the spread of spruce budworm. Federal contributions will come from Natural Resources Canada. This will allow government, academia, industry and other stakeholders to continue to work together to protect our forests and support the economy.
"
98,,Protecting Marine Life,adv,Protecting-Marine-Life,"Whales are vital to healthy marine ecosystems, and an important part of eco-tourism in Canada’s Pacific and Atlantic coastal regions, and in the St. Lawrence Estuary.

A complex mix of threats—such as the availability of prey, increased noise levels from passing ships and pollution in the water—are endangering many whale populations, notably the southern resident killer whale, the North Atlantic right whale and the St. Lawrence Estuary beluga.  

To better protect, preserve and recover endangered whale species in Canada, the Government proposes to make available $167.4 million over five years, starting in 2018–19, to Fisheries and Oceans Canada, Transport Canada and Environment and Climate Change Canada. This includes funding for research to help us better understand the factors affecting the health of these whales, as well as actions that we can take now to help address threats arising from human activities. 
"
99,,Protecting Temporary Foreign Workers,adv,Protecting-Temporary-Foreign-Workers,"The Temporary Foreign Worker Program and the International Mobility Program are Canada's two programs that govern the entry of temporary foreign workers. Canada has an obligation to ensure these workers, who contribute to the labour market by providing the skills and expertise employers need when qualified Canadian workers are unavailable, are aware of their rights and are protected from abuse. The Government proposes to provide $194.1 million over five years, beginning in 2018–19, and $33.19 million per year ongoing, to ensure the rights of temporary foreign workers in Canada are protected and enforced through a robust compliance regime. Funding will support unannounced inspections under the Temporary Foreign Worker Program, the continued implementation of the International Mobility Program compliance regime, and the ongoing collection of labour market information related to open work permits.   

In addition, the Government proposes to invest $3.4 million over two years, beginning in 2018–19, from Employment and Social Development Canada's existing resources to establish, on a pilot basis, a network of support organizations for temporary foreign workers dealing with potential abuse by their employers. This network would support these workers in reporting wrongdoing and provide information on their rights to temporarily remain and work in Canada free from harassment and abuse.
"
100,,Protecting the Integrity of Transportation Infrastructure in Montreal,oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),Funding proposed for Jacques Cartier and Champlain Bridges Incorporated to support the ongoing maintenance and rehabilitation of federally-owned bridges and other transportation infrastructure in the Montreal area. 
101,,Protecting Vulnerable Women and Girls,adv,Protecting-Vulnerable-Women-and-Girls,"Half of the world’s 22.5 million refugee population is made up of women and girls, making this population a significant segment of those fleeing war, violence or persecution in their home countries. Refugee women and girls face increased risks due to their gender, and are at risk of, or have suffered from, sexual violence and exploitation, physical abuse and marginalization.

Since 2015, Canada has demonstrated global leadership in providing protection to the world’s most vulnerable refugees. As of January 2017, more than 40,000 Syrian refugees were welcomed in Canada, where they have built new lives for themselves and their families. In addition, Budget 2017 announced funding of $27.7 million over three years, beginning in 2017–18, to resettle Yazidi women and girls, who were being targeted for abduction and enslavement by Daesh fighters in northern Iraq and Syria.

Building on these efforts, the Government commits to increase the number of vulnerable refugee women and girls to be resettled in Canada as government-assisted refugees. Specifically, Budget 2018 proposes funding of $20.3 million over five years, beginning in 2018–19, to welcome an extra 1,000 refugee women and girls from various conflict zones around the world. Providing additional support to this particularly vulnerable group will allow Canada to continue to show global leadership in helping the world’s most at-risk people.
"
102,,Providing Legal Support to Victims of Sexual Harassment in the Workplace,adv,Taking-Action-to-Prevent-and-Address-Gender-Based-Violence-Harassment-and-Discrimination,"The Government proposes to invest $50.4 million over five years, starting in 2018–19, to address sexual harassment in the workplace. Of this amount, $25.4 million over five years will be dedicated to boosting legal aid funding across the country with a focus on supporting victims of sexual harassment in the workplace. The Government will work in partnership with provinces and territories but will not require them to match the proposed funding. In addition, the Government proposes to invest a further $25.0 million over five years to develop a pan-Canadian outreach program to better inform workers, particularly those most vulnerable, about their rights and how they can access help if they have been harassed in the workplace. "
103,,Public Service and Procurement Canada – Real Property Repairs and Maintenance,oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),Additional funding proposed for the Federal Accommodation Program to provide office accommodation and related real property services to federal departments and agencies.
104,,"Public Service Centre on Diversity, Inclusion and Wellness",oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),"Funding proposed for the President of the Treasury Board to establish a Public Service Centre on Diversity, Inclusion and Wellness, to support departments and agencies in creating safe, healthy, diverse and inclusive workplaces.  Proposed funding includes ongoing funding of $3.6 million."
105,,Pursuing New Markets,grw,Pursuing-New-Markets,"In addition to NAFTA, CETA and the CPTPP, the Government is continuing to pursue other opportunities for free trade agreements around the world, including ongoing exploratory talks with China, and discussions with a number of important partners, and regional groupings such as the Pacific Alliance (Chile, Colombia, Mexico and Peru), MERCOSUR (Argentina, Brazil, Paraguay and Uruguay) and the Association of Southeast Asian Nations (ASEAN). "
106,,RCMP Cannabis Labs Repurposing,oth,,
107,,Rebalancing Elections Canada's Expenditures,oth,23-Other-Budget-2018-Measures-(Not-Included-in-Previous-Chapters),Funding proposed to rebalance Elections Canada's funding mix by increasing its annual appropriations and reducing amounts charged to its statutory authority. 
108,,Regional Development Agencies,prg,The-Creation-of-Four-Flagship-Platforms,"To foster economic growth in communities across Canada, the Government proposes to provide an additional $400 million over five years on an accrual basis, $511 million over five years on a cash basis, starting in 2018–19, to the regional development agencies to support the Innovation and Skills Plan across all regions of Canada. Of this amount, $105 million will support nationally coordinated, regionally tailored support for women entrepreneurs as part of the new Women Entrepreneurship Strategy. In addition, $35 million of the funding will be dedicated to supporting skills development and economic diversification activities to help workers and communities in the West and in the Atlantic region adapt to Canada’s transition to a low-carbon economy. This will complement the work of the recently established federal task force that will report later this year.

The Government also proposes to extend core funding of the regional development agencies that is currently time-limited:
•$20 million per year on a cash basis, starting in 2018–19 and ongoing, to the Canadian Northern Economic Development Agency to continue its economic development programming. 
•$920 million over six years, on a cash basis, starting in 2018–19, to renew the funding for the Federal Economic Development Agency for Southern Ontario to support economic growth in southern Ontario through the delivery of federal programs and services. 

The Government will also introduce legislation to enable Western Economic Diversification Canada to collaborate more effectively with provinces in its region of activity.

As part of the broader review of innovation programs, over the next year, the Government will explore ways to simplify the existing suite of 22 programs offered by the regional development agencies. It is proposed that the agencies will place greater emphasis in helping firms scale up, develop new markets and expand, as well as assist with the adoption of new technologies and processes. The agencies could also become the main platform to support regional innovation ecosystems. Under any proposed change, the regional development agencies will also maintain their current functions that support communities in advancing and diversifying their economies.
"
109,,Renewal of Base Funding for the Federal Economic Development Agency for Southern Ontario,prg,The-Creation-of-Four-Flagship-Platforms,"To foster economic growth in communities across Canada, the Government proposes to provide an additional $400 million over five years on an accrual basis, $511 million over five years on a cash basis, starting in 2018–19, to the regional development agencies to support the Innovation and Skills Plan across all regions of Canada. Of this amount, $105 million will support nationally coordinated, regionally tailored support for women entrepreneurs as part of the new Women Entrepreneurship Strategy. In addition, $35 million of the funding will be dedicated to supporting skills development and economic diversification activities to help workers and communities in the West and in the Atlantic region adapt to Canada’s transition to a low-carbon economy. This will complement the work of the recently established federal task force that will report later this year.

The Government also proposes to extend core funding of the regional development agencies that is currently time-limited:
•$20 million per year on a cash basis, starting in 2018–19 and ongoing, to the Canadian Northern Economic Development Agency to continue its economic development programming. 
•$920 million over six years, on a cash basis, starting in 2018–19, to renew the funding for the Federal Economic Development Agency for Southern Ontario to support economic growth in southern Ontario through the delivery of federal programs and services. 

The Government will also introduce legislation to enable Western Economic Diversification Canada to collaborate more effectively with provinces in its region of activity.

As part of the broader review of innovation programs, over the next year, the Government will explore ways to simplify the existing suite of 22 programs offered by the regional development agencies. It is proposed that the agencies will place greater emphasis in helping firms scale up, develop new markets and expand, as well as assist with the adoption of new technologies and processes. The agencies could also become the main platform to support regional innovation ecosystems. Under any proposed change, the regional development agencies will also maintain their current functions that support communities in advancing and diversifying their economies.
"
110,,Renewal of Economic Development Funding for the Canadian Northern Economic Development Agency,prg,The-Creation-of-Four-Flagship-Platforms,"To foster economic growth in communities across Canada, the Government proposes to provide an additional $400 million over five years on an accrual basis, $511 million over five years on a cash basis, starting in 2018–19, to the regional development agencies to support the Innovation and Skills Plan across all regions of Canada. Of this amount, $105 million will support nationally coordinated, regionally tailored support for women entrepreneurs as part of the new Women Entrepreneurship Strategy. In addition, $35 million of the funding will be dedicated to supporting skills development and economic diversification activities to help workers and communities in the West and in the Atlantic region adapt to Canada’s transition to a low-carbon economy. This will complement the work of the recently established federal task force that will report later this year.

The Government also proposes to extend core funding of the regional development agencies that is currently time-limited:
•$20 million per year on a cash basis, starting in 2018–19 and ongoing, to the Canadian Northern Economic Development Agency to continue its economic development programming. 
•$920 million over six years, on a cash basis, starting in 2018–19, to renew the funding for the Federal Economic Development Agency for Southern Ontario to support economic growth in southern Ontario through the delivery of federal programs and services. 

The Government will also introduce legislation to enable Western Economic Diversification Canada to collaborate more effectively with provinces in its region of activity.

As part of the broader review of innovation programs, over the next year, the Government will explore ways to simplify the existing suite of 22 programs offered by the regional development agencies. It is proposed that the agencies will place greater emphasis in helping firms scale up, develop new markets and expand, as well as assist with the adoption of new technologies and processes. The agencies could also become the main platform to support regional innovation ecosystems. Under any proposed change, the regional development agencies will also maintain their current functions that support communities in advancing and diversifying their economies.
"
111,,Renewing and Enhancing the Federal Tobacco Control Strategy,adv,Renewing-and-Enhancing-the-Federal-Tobacco-Control-Strategy,"The Federal Tobacco Control Strategy is a comprehensive, integrated and sustained tobacco control program aimed at reducing tobacco-related disease and death.  

Building on existing funding, the Government will renew and enhance the Strategy by proposing to provide $80.5 million over five years, starting in 2018–19, with $17.7 million per year ongoing. Public Safety Canada will renew agreements with the Akwesasne Mohawk Police Service and the Kahnawake Peacekeepers to address organized crime activities at or near community lands, including contraband tobacco, and funding will also be provided to the Royal Canadian Mounted Police to support ongoing law enforcement efforts to reduce contraband tobacco. Funding will also be provided to Health Canada and the Public Health Agency of Canada to support targeted actions, including in Indigenous communities, to encourage the prevention of tobacco use and help Canadians quit smoking. This enhanced funding builds on the $43 million spent annually for the Federal Tobacco Control Strategy and will help to replace previous cuts in spending over the last decade so that Canada can remain a leader in tobacco control.
"
112,,Renewing and Modernizing Statistics Canada,adv,Renewing-and-Modernizing-Statistics-Canada,"Statistics Canada has a mandate to conduct the Census of Population and Census of  Agriculture every five years, both of which produce objective, high-quality statistical information that is vital to all levels of government, the private sector, academia and not-for-profit entities. Statistics Canada will conduct the next census in 2021, building on the successes of the 2016 Census of Population, which had the highest response in history to the long form component and set a world record for Internet response. The Government proposes to provide $767.3 million over 10 years, starting in 2018–19, to Statistics Canada to conduct the 2021 Census of Population. The Government also proposes to provide $49.4 million over six years, starting in 2018–19, to Statistics Canada to conduct the 2021 Census of Agriculture.   "
113,,Renewing Canada’s Network of Small Craft Harbours,prg,Renewing-Canada-s-Network-of-Small-Craft-Harbours,"Safe and accessible small craft harbours are essential to Canada’s fisheries industry as well as its coastal communities. Expanding fisheries operations and the increasing size of fishing vessels require deeper and wider harbours. Budget 2018 proposes to provide $250 million on a cash basis over two years, starting in 2018–19, to Fisheries and Oceans Canada to renew its network of small craft harbours and work with municipalities where investments and divestitures can enhance local communities. Budget 2018 investments allow the Government to support, for example:
•Building additional berthing space to help address overcrowding in Charlottetown in Southern Labrador. 
•Extending the seawall to protect the fisheries industry from the full force of waves at the entrance of the harbour in Sainte-Thérèse-de Gaspé, Quebec. 
•Rehabilitating the east and west piers of Port Dalhousie in St. Catharines, Ontario. 
•Making improvements to enhance the safety of moorage facilities for the fisheries industry and other harbour users in Port Hardy and Powell River in British Columbia. 
"
114,,Renewing Federal Laboratories,prg,strongStronger-and-More-Collaborative-Federal-Science-strong,"The Government will also build on this renewal of federal science by launching the first phase of an ambitious plan to renew federal laboratories. 
•Public Services and Procurement Canada will begin the process for the construction of multi?purpose, collaborative, federal science and technology facilities. Rather than work in silos, this new approach to federal science and discovery will look to bring together federal scientists and science facilities across government including Agriculture and Agri-Food Canada, Natural Resources Canada, Fisheries and Oceans Canada, Environment and Climate Change Canada, the National Research Council and others in order to advance interdisciplinary research on, among other things, climate change, ocean protection, and human health. The Government proposes to provide $2.8 billion on a cash basis ($58 million on an accrual basis) over five years, starting in 2018–19, with $4.5 million per year ongoing. The new facilities will be built to achieve a net zero carbon footprint, and funding will support a new science infrastructure program management office to support the renewal of federal laboratories. 
•Canada’s National Microbiology Laboratory, located in Winnipeg, is a world-leading facility that has helped advance critical work on infectious diseases, including helping to develop one of the world’s first vaccines to combat Ebola. To build on this expertise and deepen the cluster of expertise in infectious disease in Winnipeg, the Government proposes to provide $9.4 million over five years, starting in 2018–19, to establish a Centre for Innovation in Infectious Disease Diagnostics, funded from the Public Health Agency of Canada’s existing resource levels. 
•To advance our knowledge of the Canadian Arctic, the Government proposes to provide $20.6 million over four years, starting in 2019–20 with $5.1 million per year ongoing, to POLAR Knowledge Canada. This funding will support the Canadian High Arctic Research Station (CHARS) campus and enable world-class cutting-edge research strengthening Canadian leadership in polar science and technology. In addition, the Government proposes to amend the Canadian High Arctic Research Station Act to support the transfer of the CHARS campus to POLAR Knowledge Canada.

These investments will be carried out in a way that is more coordinated and agile, creating greater opportunity for collaboration across government and within the wider research system.

In addition, to ensure the Government continues to have access to world-class, independent scientific assessments to inform policy development in priority areas, the Government proposes to provide the Council of Canadian Academies, a not-for-profit research organization, with renewed funding of $9 million over three years, starting in 2020–21.
"
