Year,Universe,Department or agency,Number of employees
2023,CPA,Courts Administration Service,810
2023,CPA,Crown-Indigenous Relations and Northern Affairs Canada,2204
2023,CPA,Department of Finance Canada,908
2023,CPA,Department of Justice Canada,5378
2023,CPA,Elections Canada,1040
2023,CPA,Employment and Social Development Canada,38983
2023,CPA,Environment and Climate Change Canada,8411
2023,CPA,Federal Economic Development Agency for Southern Ontario,331
2023,CPA,Federal Judges not part of any department,1183
2023,CPA,Fisheries and Oceans Canada,14526
2023,CPA,Global Affairs Canada,7460
2023,CPA,Health Canada,10003
2023,CPA,Immigration and Refugee Board of Canada,2304
2023,CPA,"Immigration, Refugees and Citizenship Canada",12258
2023,CPA,Impact Assessment Agency of Canada,452
2023,CPA,Indigenous Services Canada,7722
2023,CPA,Infrastructure Canada,1350
2023,CPA,"Innovation, Science and Economic Development Canada",6331
2023,CPA,International Joint Commission,33
2023,CPA,Library and Archives Canada,1013
2023,CPA,Military Grievances External Review Committee,48
2023,CPA,Military Police Complaints Commission of Canada,32
2023,CPA,National Defence,27356
2023,CPA,Natural Resources Canada,5302
2023,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,68
2023,CPA,Office of the Commissioner of Lobbying of Canada,27
2023,CPA,Office of the Commissioner of Official Languages,167
2023,CPA,Office of the Governor General's Secretary,184
2023,CPA,Office of the Public Sector Integrity Commissioner of Canada,36
2023,CPA,Offices of the Information and Privacy Commissioners of Canada,304
2023,CPA,Parole Board of Canada,494
2023,CPA,Patented Medicine Prices Review Board Canada,83
2023,CPA,Privy Council Office,1212
2023,CPA,Public Health Agency of Canada,4211
2023,CPA,Public Prosecution Service of Canada,1173
2023,CPA,Public Safety Canada,1622
2023,CPA,Public Service Commission of Canada,975
2023,CPA,Public Services and Procurement Canada,18114
2023,CPA,RCMP External Review Committee,25
2023,CPA,Registrar of the Supreme Court of Canada,248
2023,CPA,Royal Canadian Mounted Police (Civilian Staff),9386
2023,CPA,Secretariat of the National Security and Intelligence Committee of Parliamentarians,9
2023,CPA,Shared Services Canada,8879
2023,CPA,Statistics Canada,6219
2023,CPA,Transport Canada,6366
2023,CPA,Transportation Safety Board of Canada,209
2023,CPA,Treasury Board of Canada Secretariat,2555
2023,CPA,Veterans Affairs Canada,3651
2023,CPA,Veterans Review and Appeal Board,113
2023,CPA,Western Economic Diversification Canada,518
2023,CPA,Women and Gender Equality Canada,468
2023,SA,Canada Energy Regulator,572
2023,SA,Canada Revenue Agency,59019
2023,SA,Canadian Food Inspection Agency,6929
2023,SA,Canadian Institutes of Health Research,614
2023,SA,Canadian Nuclear Safety Commission,930
2023,SA,Communications Security Establishment,3161
2023,SA,Financial Consumer Agency of Canada,216
2023,SA,Financial Transactions and Reports Analysis Centre of Canada,545
2023,SA,Indian Oil and Gas Canada,75
2023,SA,National Film Board,383
2023,SA,National Research Council Canada,4423
2023,SA,National Security Intelligence and Review Agency,92
2023,SA,Natural Sciences and Engineering Research Canada,543
2023,SA,Office of the Auditor General of Canada,793
2023,SA,Office of the Intelligence Commissioner,6
2023,SA,Office of the Superintendent of Financial Institutions Canada,1139
2023,SA,Parks Canada,4811
2023,SA,Polar Knowledge Canada,89
2023,SA,Social Sciences and Humanities Research Council of Canada,341
2023,SA,Statistical Survey Operations,1732
2023,SA,The Correctional Investigator Canada,36
2024,CPA,Accessibility Standards Canada,60
2024,CPA,Administrative Tribunals Support Service of Canada,706
2024,CPA,Agriculture and Agri-Food Canada,5774
2024,CPA,Atlantic Canada Opportunities Agency,602
2024,CPA,Canada Border Services Agency,17226
2024,CPA,Canada Economic Development for Quebec Regions,376
2024,CPA,Canada School of Public Service,679
2024,CPA,Canadian Dairy Commission,75
2024,CPA,Canadian Grain Commission,466
2024,CPA,Canadian Heritage,1929
2024,CPA,Canadian Human Rights Commission,300
2024,CPA,Canadian Intergovernmental Conference Secretariat,39
2024,CPA,Canadian Northern Economic Development Agency,115
2024,CPA,Canadian Radio-television and Telecommunications Commission,639
2024,CPA,Canadian Space Agency,948
2024,CPA,Canadian Transportation Agency,377
2024,CPA,Civilian Review and Complaints Commission for the RCMP,107
2024,CPA,Copyright Board Canada,19
2024,CPA,Correctional Service Canada,18990
2024,CPA,Courts Administration Service,861
2024,CPA,Crown-Indigenous Relations and Northern Affairs Canada,2088
2024,CPA,Department of Finance Canada,942
2024,CPA,Department of Justice Canada,5637
2024,CPA,Elections Canada,1250
2024,CPA,Employment and Social Development Canada,39089
2024,CPA,Environment and Climate Change Canada,8901
2024,CPA,Federal Economic Development Agency for Northern Ontario,89
2024,CPA,Federal Economic Development Agency for Southern Ontario,321
2024,CPA,Federal Judges not part of any department,1185
2024,CPA,Fisheries and Oceans Canada,14716
2024,CPA,Global Affairs Canada,7439
2024,CPA,Health Canada,10187
2024,CPA,Immigration and Refugee Board of Canada,2579
2024,CPA,"Immigration, Refugees and Citizenship Canada",13092
2024,CPA,Impact Assessment Agency of Canada,535
2024,CPA,Indigenous Services Canada,8637
2024,CPA,Infrastructure Canada,1506
2024,CPA,"Innovation, Science and Economic Development Canada",6531
2024,CPA,International Joint Commission,32
2024,CPA,Law Commission of Canada,5
2024,CPA,Library and Archives Canada,1173
2024,CPA,Military Grievances External Review Committee,52
2024,CPA,Military Police Complaints Commission of Canada,33
2024,CPA,National Defence,28740
2024,CPA,Natural Resources Canada,5751
2024,CPA,Office of the Commissioner for Federal Judicial Affairs Canada,65
2024,CPA,Office of the Commissioner of Lobbying of Canada,32
2024,CPA,Office of the Commissioner of Official Languages,178
2024,CPA,Office of the Governor General's Secretary,172
2024,CPA,Office of the Public Sector Integrity Commissioner of Canada,34
2024,CPA,Offices of the Information and Privacy Commissioners of Canada,323
2024,CPA,Parole Board of Canada,554
2024,CPA,Patented Medicine Prices Review Board Canada,81
2024,CPA,Privy Council Office,1288
2024,CPA,Public Health Agency of Canada,4251
2024,CPA,Public Prosecution Service of Canada,1177
2024,CPA,Public Safety Canada,1695
2024,CPA,Public Service Commission of Canada,892
2024,CPA,Public Services and Procurement Canada,18961
2024,CPA,RCMP External Review Committee,24
2024,CPA,Registrar of the Supreme Court of Canada,249
2024,CPA,Royal Canadian Mounted Police (Civilian Staff),10309
2024,CPA,Secretariat of the National Security and Intelligence Committee of Parliamentarians,7
2024,CPA,Shared Services Canada,9502
2024,CPA,Statistics Canada,7220
2024,CPA,Transport Canada,6714
2024,CPA,Transportation Safety Board of Canada,218
2024,CPA,Treasury Board of Canada Secretariat,2501
2024,CPA,Veterans Affairs Canada,3792
2024,CPA,Veterans Review and Appeal Board,161
2024,CPA,Western Economic Diversification Canada,511
2024,CPA,Women and Gender Equality Canada,443
2024,SA,Canada Energy Regulator,573
2024,SA,Canada Revenue Agency,59155
2024,SA,Canadian Food Inspection Agency,6833
2024,SA,Canadian Institutes of Health Research,618
2024,SA,Canadian Nuclear Safety Commission,969
2024,SA,Communications Security Establishment,3490
2024,SA,Financial Consumer Agency of Canada,231
2024,SA,Financial Transactions and Reports Analysis Centre of Canada,556
2024,SA,Indian Oil and Gas Canada,79
2024,SA,National Film Board,388
2024,SA,National Research Council Canada,4519
2024,SA,National Security Intelligence and Review Agency,85
2024,SA,Natural Sciences and Engineering Research Canada,522
2024,SA,Office of the Auditor General of Canada,836
2024,SA,Office of the Intelligence Commissioner,5
2024,SA,Office of the Superintendent of Financial Institutions Canada,1323
2024,SA,Parks Canada,4929
2024,SA,Polar Knowledge Canada,82
2024,SA,Social Sciences and Humanities Research Council of Canada,379
2024,SA,Statistical Survey Operations,9
2024,SA,The Correctional Investigator Canada,39
