measure_id,measure_en,measure_fr,chapter_key,id_en,id_fr,description_en,description_fr
73,Irregular Migration: Managing the Border,Migration irrégulière : Gestion de la frontière,adv,Irregular-Migration-Managing-the-Border,Migration-irreguliere-controle-de-la-frontiere,"The Government of Canada is committed to protecting the safety of Canadians and keeping our borders secure. At the same time, people seeking asylum must be treated with compassion and afforded due process under Canadian and international law, and in keeping with our values as an open and welcoming country. To that end, the Government proposes to provide $173.2 million to support security operations at the Canada-U.S. border and the processing of asylum claimants arriving in 2018–19. Funding would be used to manage the increased number of people seeking asylum in Canada this year, many of whom arrive with their families seeking quick, safe and compassionate processing. Funds would be used to provide short-term processing and security screening supports at the border, as well as to support decision-making capacity for the Immigration and Refugee Board. ","Le gouvernement du Canada est résolu à protéger la sécurité des Canadiens et à garder nos frontières sûres. En même temps, les personnes qui demandent l’asile doivent être traitées avec compassion et bénéficier d’un processus équitable en vertu du droit canadien et international et conformément aux valeurs que nous défendons comme pays ouvert et accueillant. À cette fin, le gouvernement propose d’accorder 173,2 millions de dollars afin de soutenir les opérations de sécurité à la frontière canado-américaine et le traitement des demandes d’asile présentées par des personnes arrivant en 2018-2019. Le financement servirait à gérer le nombre accru de personnes demandant l’asile au Canada cette année, qui sont nombreuses à arriver avec leur famille en quête d’un traitement rapide, sécuritaire et compatissant. Les fonds serviraient à offrir des mesures de soutien à court terme du traitement et des contrôles de sécurité à la frontière, ainsi qu’à soutenir la capacité décisionnelle de la Commission de l’immigration et du statut de réfugié. "
74,Long-Term Sustainability of the Coast Guard Fleet,Durabilité à long terme de la flotte de la Garde côtière,oth,,,,
75,Maintaining Rail Service to Remote Communities,Maintenir les services ferroviaires vers les communautés éloignées,oth,,,,
76,Maintaining Service Levels of the Controlled Goods Program,Maintenir les niveaux de service du Programme des marchandises contrôlées,oth,,,,
77,Making Employment Insurance More Responsive and Effective,Rendre l’assurance-emploi mieux adaptée et plus efficace,grw,Making-Employment-Insurance-More-Responsive-and-Effective,Allocation_canadienne_pour_les_travailleurs,"The Employment Insurance (EI) program is an important support for Canadian workers, providing temporary income support to people who have lost their job or have to be absent from work for an extended period of time. In addition to improving the design of parental benefits, Budget 2018 proposes a number of measures to make EI supports more responsive to the needs of Canadians who are dealing with major life events.  ","Le régime d’assurance-emploi représente une mesure de soutien importante pour les travailleurs canadiens, offrant un soutien du revenu temporaire aux personnes qui ont perdu leur emploi ou qui doivent s’absenter du travail durant une période prolongée. En plus d’améliorer la conception des prestations parentales, le budget de 2018 propose un certain nombre de mesures visant à rendre l’assurance-emploi mieux adaptées aux besoins des Canadiens qui traversent des événements de la vie majeurs.   "
78,Modernizing Canada’s Regulatory Framework,Moderniser le cadre réglementaire du Canada,prg,,,,
79,Modernizing the Canadian Transportation Agency,Modernisation de l’Office des transports du Canada,oth,,,,
80,Modernizing VIA Rail Passenger Service,Moderniser les services aux passagers de VIA Rail,oth,,,,
81,More Women and Girls in Sport,Plus de femmes et de filles dans les sports,adv,More-Women-and-Girls-in-Sport,Plus-de-femmes-et-de-filles-dans-les-sports,"Canada’s women and girl athletes do us proud at high-performance sport events, and regularly achieve podium success at Senior World Championships, and Olympic and Paralympic Games. However, fewer Canadian women and girls participate in sport and physical activity than men and boys—Statistics Canada estimates that in 2010 approximately one-third of Canadian men and one-sixth of Canadian women regularly participated in sport. Men are also approximately two to three times more likely to be coaches, officials or in other leadership positions than women.

We need to create an environment where women and girls feel comfortable engaging in physical activity and sport—at all ages and all levels. To do so, we need to better understand why women and girls choose not to participate in sport, or move into the senior ranks of coaching or management of sports, and then work to remove the barriers that exist. 

This is why through Budget 2018, the Government is setting a target to achieve gender equality in sport at every level by 2035, and proposes to provide an initial $30 million over three years to support data and research and innovative practices to promote women and girls’ participation in sport, and provide support to national sports organizations to promote the greater inclusion of women and girls in all facets of sport. 
","Les athlètes canadiennes nous font beaucoup d’honneur lors des événements sportifs de haute performance et elles montent régulièrement sur le podium lors des Championnats mondiaux séniors et des Jeux olympiques et paralympiques. Cependant, moins de femmes et de filles canadiennes participent aux sports et aux activités physiques que les hommes et les garçons canadiens. Statistique Canada estime qu’en 2010, environ un tiers des Canadiens et un sixième des Canadiennes participaient régulièrement aux sports. Les hommes sont également environ de deux à trois fois plus susceptibles d’être des entraîneurs, des officiels ou d’occuper un autre poste de leadership par rapport aux femmes. 

Nous devons créer un environnement où les femmes et les filles se sentent à l’aise de participer aux activités physiques et aux sports, peu importe leur âge et leur niveau. Pour y arriver, nous devons mieux comprendre pourquoi les femmes et les filles choisissent de ne pas participer aux sports ou de ne pas occuper les postes supérieurs d’entraînement ou de gestion des sports et nous efforcer ensuite d’éliminer les obstacles qui existent. 

C’est pourquoi, à l’aide du budget de 2018, le gouvernement établit une cible de réaliser l’égalité des sexes dans les sports à tous les niveaux, d’ici 2035, et il propose de fournir un financement initial de 30 millions de dollars sur trois ans en vue d’appuyer les pratiques en matière de données, de recherche et d’innovation pour promouvoir la participation des femmes et des filles aux sports et de fournir un soutien aux organisations sportives nationales pour promouvoir une inclusion accrue des femmes et des filles dans tous les aspects des sports. 
"
82,National Human Trafficking Hotline,Service national d’écoute téléphonique concernant la traite des personnes,adv,,,,
83,National Research Council,Conseil national de recherches Canada,prg,,,,
84,New Fiscal Relationship – Strengthening First Nations Institutions and Community Capacity,Nouvelle relation financière – Renforcer la capacité des institutions et des communautés des Premières Nations,rec,New-Fiscal-Relationship-Strengthening-First-Nations-Institutions-and-Community-Capacity,Nouvelle-relation-financiere-–-Renforcer-la-capacite-des-institutions-et-des-communautes-des-Premieres-Nations,"The Government recognizes that in order to advance reconciliation with Indigenous Peoples and facilitate greater self-determination—including self-government—a new fiscal relationship is needed. 

The Government and the Assembly of First Nations have worked together to articulate a vision for a new fiscal relationship for First Nations communities. To better support First Nations communities, to support strong Indigenous institutions and to advance the new fiscal relationship with First Nations, Budget 2018 proposes to invest $188.6 million over five years, starting in 2018–19, in the following ways:
•$127.4 million over two years to directly support First Nations communities in building internal fiscal and administrative capacity. This includes $87.7 million over two years to ensure that communities under default management are able to move forward on projects that form part of their management action plans, and to support pilot projects in order to strengthen governance and community planning capacity in First Nations.
•$50 million over five years, and $11 million per year ongoing, to strengthen the First Nations Financial Management Board, the First Nations Finance Authority and the First Nations Tax Commission. 
•$2.5 million over three years to support the First Nations Information Governance Centre’s design of a national data governance strategy and coordination of efforts to establish regional data governance centres.
•$8.7 million over two years to continue and broaden work with First Nations leadership, technical experts, researchers and community representatives on the new fiscal relationship. 

The Government, with First Nations partners, will also undertake a comprehensive and collaborative review of current federal government programs and funding that support First Nations governance. The purpose of the review will be to ensure that these programs provide communities with sufficient resources to hire and retain the appropriate financial and administrative staff to support good governance, plan for the future and advance their vision of self-determination.
","Le gouvernement reconnaît que, pour faire progresser la réconciliation avec les peuples autochtones et assurer une autodétermination accrue, y compris une meilleure autonomie gouvernementale, une nouvelle relation financière est nécessaire.

Le gouvernement et l'Assemblée des Premières Nations ont collaboré afin de formuler une vision pour une nouvelle relation financière destinée aux communautés des Premières Nations. Dans le but de mieux soutenir les communautés des Premières Nations, d'appuyer des institutions autochtones fortes et de faire progresser la nouvelle relation financière avec les Premières Nations, le gouvernement propose d'investir 188,6 millions de dollars sur cinq ans, à compter de 2018-2019, comme suit :
•127,4 millions de dollars sur deux ans pour soutenir directement les communautés des Premières Nations dans le renforcement de leurs capacités internes financières et administratives. Cela comprend 87,7 millions sur deux ans afin de s'assurer que les communautés assujetties à la gestion des manquements sont en mesure de réaliser des progrès à l'égard de projets qui font partie de leurs plans d'action de gestion, et d'appuyer des projets pilotes visant à renforcer la gouvernance et la capacité de planification communautaire des Premières Nations.
•50 millions de dollars sur cinq ans, et 11 millions par année par la suite, afin de renforcer le Conseil de gestion financière des Premières Nations, l'Administration financière des Premières Nations et la Commission de la fiscalité des Premières Nations.
•2,5 millions de dollars sur trois ans pour appuyer la conception, par le Centre de gouvernance de l'information des Premières Nations, d'une stratégie nationale de gouvernance des données et la coordination des efforts pour mettre en place des centres régionaux de gouvernance des données.
•8,7 millions de dollars sur deux ans afin de poursuivre et d'élargir les travaux avec les dirigeants des Premières Nations, des experts techniques, des chercheurs et des représentants des communautés sur la nouvelle relation financière.

Le gouvernement entreprendra aussi, avec les partenaires des Premières Nations, un examen exhaustif et collaboratif des programmes fédéraux actuels et du financement qui appuient la gouvernance des Premières Nations. L'objectif de l'examen sera de veiller à ce que ces programmes offrent aux communautés suffisamment de ressources pour embaucher et maintenir en poste le personnel financier et administratif nécessaire pour appuyer la bonne gouvernance, planifier pour l'avenir et faire avancer leur vision d'autodétermination.
"
85,New Fiscal Relationship: Collaboration with Self-Governing Indigenous Governments,Nouvelle relation financière : collaborer avec les gouvernements autochtones autonomes,rec,New-Fiscal-Relationship-Collaborating-With-Self-Governing-Indigenous-Governments,Nouvelle-relation-financiere-–-Collaborer-avec-les-gouvernements-autochtones-autonomes,"Through Budget 2018, the Government proposes to provide $189.2 million in 2018–19 to begin the implementation of new fiscal policy reforms that have been co-developed with self-governing Indigenous Peoples in Canada. This funding will support key priorities, including the closing of socio-economic gaps, infrastructure, data collection and governance.","Dans le budget de 2018, le gouvernement propose de fournir 189,2 millions de dollars en 2018-2019 afin de commencer la mise en œuvre de nouvelles réformes à la politique financière qui ont été élaborées conjointement avec des peuples autochtones autonomes au Canada. Ce financement servira à soutenir des priorités clés, notamment les travaux visant à combler les écarts socioéconomiques, les infrastructures, la collecte de données et la gouvernance."
86,New Tri-Council Fund,Nouveau fonds pour les trois conseils,prg,,,,
87,Pay Transparency,Transparence salariale,grw,Pay-Transparency,Transparence-salariale,"The Government will provide Canadians with more information on pay practices of employers in the federally regulated sector. This would include converting existing pay information filed by federally regulated employers under the Employment Equity Actinto more user-friendly online content, with specific attention paid to making existing wage gaps more evident. This will help to highlight employers who lead in equitable pay practices, while holding employers accountable for wage gaps that affect women, Indigenous Peoples, persons with disabilities and visible minorities. Experience in other jurisdictions has shown it to be helpful in raising awareness about the wage gap. The Government will commit $3 million over five years, starting in 2018–19, to implement pay transparency. 

Recognizing that barriers to women’s labour market participation can be complex and slow to move, the Government will also host a major symposium on women and the workplace in the spring of 2019. This symposium will bring together leaders in the private and public sectors to discuss and share best practices. The objective of the symposium would be to encourage and provide tools for Canadian employers to address issues faced by women in the workplace, from wage gaps to harassment. The Government will provide $1.5 million over 2018–19 and 2019–20 for this symposium. 

Closing the wage gap between men and women requires action on many fronts. Investing in affordable and accessible child care and family leave, increasing women’s participation in traditionally male-dominated occupations, encouraging men to work in traditionally female-dominated occupations, implementing family-friendly workplace policies and challenging gender stereotypes that reinforce notions of “appropriate” work for men and women are some of these areas. Through Budget 2018, the Government will take targeted action to advance these goals—recognizing the significant work that remains to be done. 
","Le gouvernement fournira aux Canadiens plus de renseignements au sujet des pratiques des employeurs des secteurs assujettis à la réglementation fédérale. Cette transparence consistera à convertir les renseignements sur la rémunération existants produits par les employeurs sous réglementation fédérale en vertu de la Loi sur l'équité en matière d'emploi en un contenu plus convivial en ligne, en accordant une attention particulière à rendre les écarts salariaux exisants plus évidents. Cela aidera à mettre en lumière les employeurs qui sont des chefs de file dans les pratiques d’équité salariale, tout en tenant les employeurs responsables des écarts salariaux affectant les femmes, les Autochtones, les personnes handicapées et les minorités visibles. L’expérience vécue par d’autres administrations démontre que la transparence salariale contribue à accroître la sensibilisation à l’écart salarial. Le gouvernement investira 3 millions de dollars sur cinq ans, à compter de 2018-2019, dans la mise en œuvre de la transparence salariale.

En reconnaissant que ces obstacles liés à la participation des femmes au marché du travail peuvent être complexes et prendre du temps à éliminer, le gouvernement du Canada organisera également un symposium important sur les femmes et le milieu de travail au printemps 2019. Ce symposium regroupera des chefs de file des secteurs privé et public afin de discuter et de faire part de pratiques exemplaires. Il aura pour but d’encourager les employeurs canadiens à aborder les problèmes auxquels sont confrontées les femmes en milieu de travail, des écarts salariaux au harcèlement, et de leur fournir les outils nécessaires pour aborder de tels problèmes. Le gouvernement propose de fournir un financement de 1,5 million de dollars au cours de 2018-2019 et 2019-2020 aux fins de ce symposium. 

Afin de combler l’écart salarial entre les sexes, il faut prendre des mesures à bien des égards. Investir dans la garde abordable et accessible des jeunes enfants et dans les congés pour obligations familiales, augmenter le taux d’activité des femmes et des filles dans les emplois qui sont traditionnellement occupés par des hommes, encourager les hommes à travailler dans des domaines traditionnellement dominés par les femmes, mettre en œuvre des politiques qui favorisent les familles et la lutte contre les stéréotypes fondés sur le sexe en milieu de travai, qui renforcent les notions de ce qui constitue un travail approprié pour les hommes et pour les femmes ne sont que quelques-uns des domaines importants. Par l’entremise du budget de 2018, le gouvernement adoptera des mesures ciblées afin d’atteindre ces objectifs – en reconnaissant les travaux considérables qui doivent encore être accomplis.
"
88,Permanent Bilateral Mechanisms,Mécanismes bilatéraux permanents,rec,Permanent-Bilateral-Mechanisms,Mecanismes-bilateraux-permanents,"In December 2016, the Prime Minister announced that the Government would establish Permanent Bilateral Mechanisms with First Nations, Inuit and the Métis Nation to identify each community’s distinct priorities and help the Government and Indigenous Peoples work together to develop solutions. While Budget 2017 provided interim funding to support these Permanent Bilateral Mechanisms, Budget 2018 proposes to invest $74.9 million over five years, with $15.5 million per year ongoing, to provide ongoing support to these policy co-development forums. ","En décembre 2016, le premier ministre a annoncé que le gouvernement mettrait sur pied des mécanismes bilatéraux permanents avec les Premières Nations, les Inuits et la Nation métisse afin de cerner les priorités distinctes de chaque communauté et d'aider le gouvernement et les peuples autochtones à collaborer en vue de trouver des solutions. Alors que le budget de 2017 a fourni un financement provisoire pour appuyer ces mécanismes bilatéraux  permanents, le budget de 2018 propose un investissement de 74,9 millions de dollars sur cinq ans et de 15,5 millions par année par la suite, afin de fournir un soutien continu aux forums d'élaboration conjointe de politiques."
89,Placing Evidence at the Centre of Program Evaluation and Design,Une évaluation et une conception de programme axées sur des données probantes,prg,,,,
90,POLAR Knowledge Canada,Savoir polaire Canada,oth,,,,
91,Pre-apprenticeship Program,Programme de préparation à la formation d’apprenti,grw,Pre-Apprenticeship-Program,Programme-de,"Understanding the value and promise of careers in the skilled trades, and the importance of these professions to Canada as a whole, the Government of Canada is also proposing to introduce a new Pre-Apprenticeship Program. This program will encourage underrepresented groups—including but not limited to women, Indigenous Peoples, newcomers and persons with disabilities–to explore careers in the skilled trades. Working in partnership with provinces, territories, post-secondary institutions, training providers, unions and employers, the Pre-Apprenticeship Program will help Canadians explore the trades, gain work experience, make informed career choices and develop the skills needed to find and keep good, well-paying jobs in the trades. The Government will provide $46 million over five years, starting in 2018–19, and $10 million per year thereafter, for the Pre-Apprenticeship Program. ","Conscient de la valeur et de la promesse des carrières dans les métiers spécialisés et de l’importance de ces professions pour le Canada dans son ensemble, le gouvernement du Canada propose aussi de lancer un nouveau Programme de préparation à la formation d’apprenti. Ce programme encouragera les groupes sous-représentés – ce qui comprend, sans toutefois s’y limiter, les femmes, les peuples autochtones, les nouveaux arrivants et les personnes handicapées – à explorer l’idée de faire carrière dans le domaine des métiers spécialisés. En partenariat avec les provinces, les territoires, les institutions postsecondaires, les syndicats et les employeurs, le Programme de préparation à la formation d’apprenti aidera les Canadiens à explorer les métiers, à obtenir une expérience de travail, à prendre des décisions éclairées en matière de choix de carrière et à perfectionner les compétences dont ils ont besoin pour trouver et conserver de bons emplois bien rémunérés dans les métiers. Le gouvernement propose un financement de 46 millions de dollars sur cinq ans, à compter de 2018-2019, et de 10 millions chaque année par la suite, pour le Programme de préparation à la formation d’apprenti."
92,Predictable Funding for Employment Insurance Service Delivery,Financement prévisible pour la prestation de services liés à l’assurance-emploi,adv,Predictable-Funding-for-Employment-Insurance-Service-Delivery,Financement-previsible-pour-la-prestation-des-services-dassurance-emploi,"Timely access to EI benefits is critical to help Canadians navigate a job loss or other life events. To meet the demands of increased EI claims volumes, the Government has increased funding for EI administration in the last two years. As a result, in 2016–17, 83 per cent of EI claimants received EI benefits or notification of their claim status within 28 days of filing. 

The Government proposes to make available up to $90 million over three years, starting in 2018–19, for EI claims processing and service delivery. Funding will be linked to EI claims volumes and will provide responsiveness to changing economic conditions. This will ensure that EI recipients continue to receive timely and accurate benefit payments.  
","Un accès rapide aux prestations de l’assurance-emploi est essentiel pour aider les Canadiens à composer avec une perte d’emploi ou d’autres événements de la vie. Afin de répondre aux volumes accrus de demandes d’assurance-emploi, le gouvernement a augmenté le financement pour l’administration de l’assurance-emploi au cours des deux dernières années. Par conséquent, en 2016-2017, 83 % des demandeurs de l’assurance-emploi ont reçu des prestations d’assurance-emploi ou des notifications du statut de leur demande dans les 28 jours suivant la présentation de leur demande. 

Le gouvernement propose de rendre disponibles jusqu’à 90 millions de dollars sur trois ans à compter de 2018-2019, pour le traitement et la prestation de services visant les demandes d’assurance-emploi. Le financement sera relié au volume de demandes d’assurance-emploi et permettra au gouvernement de réagir aux variations des conditions économiques. On assurera ainsi que les prestataires d’assurance-emploi continueront de recevoir en temps opportun des paiements de prestation exacts.
"
94,Pricing Carbon Pollution and Supporting Clean Growth,Tarification de la pollution par le carbone et soutien d’une croissance propre et durable,adv,Safeguarding-the-Integrity-of-Our-Public-Safety-System,Proteger-l-integrite-de-notre-systeme-de-securite-publique,"The Communications Security Establishment is mandated to collect foreign signals intelligence to help inform the Government of Canada on matters of security, national defence and international affairs, reflecting the priorities set by the Government. In order to keep pace with rapid technological change that can challenge its ability to effectively collect foreign signals intelligence, the Government proposes to provide the Communications Security Establishment $225 million over four years, starting in 2020–21, and $62.1 million ongoing, to ensure this capability is preserved.  ","Le Centre de la sécurité des télécommunications a le mandat de recueillir des renseignements électromagnétiques étrangers afin d’aider le gouvernement du Canada à traiter les questions touchant la sécurité, la défense nationale et les affaires internationales qui s’inscrivent dans ses priorités. Afin de suivre le rythme de l’évolution technologique rapide qui met à l’épreuve sa capacité de recueillir efficacement des renseignements électromagnétiques étrangers sur les signaux étrangers, le gouvernement propose de fournir au Centre de la sécurité des télécommunications 225 millions de dollars sur quatre ans à compter de 2020-2021, et 62,1 millions par la suite, afin de garantir que cette capacité sera maintenue. "
93,Preserving Canada's Foreign Signals Intelligence Capability,Préserver la capacité du renseignement électromagnétique étranger du Canada,adv,,,,
95,Protecting Air Travelers,Protéger les passagers du transport aérien,adv,Protecting-Air-Travellers,Migration-irreguliere-controle-de-la-frontiere,"To ensure consistent and effective security screening of travellers and workers, the Government proposes to provide $236.4 million in 2018–19, with $2.4 million in remaining amortization, to the Canadian Air Transport Security Authority (CATSA). This funding will also allow CATSA to add new lanes for U.S. Pre-clearance of passengers at the Billy Bishop Toronto City Airport and the Quebec City Jean Lesage International Airport. ","Afin d’assurer un contrôle uniforme et efficace des voyageurs et des travailleurs, le gouvernement propose d’octroyer 236,4 millions de dollars en 2018-2019, avec 2,4 millions en amortissement restant, à l’Administration canadienne de la sûreté du transport aérien (ACSTA). Ce financement permettra aussi à l’ACSTA d’ajouter de nouvelles voies pour le précontrôle des passagers vers les États-Unis à l’Aéroport Billy-Bishop de Toronto et à l’Aéroport international Jean-Lesage de Québec. "
96,"Protecting Canada's Nature, Parks and Wild Spaces","Protéger la nature, les parcs et les espaces sauvages du Canada",adv,Protecting-Canadas-Nature-Parks-and-Wild-Spaces,Proteger-la-nature-les-parcs-et-les-espaces-sauvages-du-Canada,"Whether the place we call home is a city in Southern Ontario or a small community in Canada’s Far North, the beauty that is part of Canada’s natural landscape is a gift to us all. To ensure that our children and grandchildren can continue to hike in our majestic forests and swim in our beautiful lakes, rivers and streams, Canada has committed to conserving at least 17 per cent of its land and inland waters by 2020, through networks of protected areas and other effective area-based conservation measures. Both protected and conserved areas will ensure healthier habitats for species at risk and improve biodiversity.  

As almost 90 per cent of Canada’s land and inland waters are provincial and territorial Crown or Indigenous lands, achieving this goal requires open collaboration with other orders of government. To support Canada’s biodiversity and protect species at risk, the Government of Canada proposes to make historic investments totalling $1.3 billion over five years, one of the most significant investments in nature conservation in Canadian history—a true legacy for our children and grandchildren. 

This investment will contribute $500 million from the federal government to create a new $1 billion Nature Fund in partnership with corporate, not-for-profit, provincial, territorial and other partners. In collaboration with partners, the Nature Fund will make it possible to secure private land, support provincial and territorial species protection efforts, and help build Indigenous capacity to conserve land and species, for our benefit and the benefit of future generations. 

The remaining funding will:
Increase the federal capacity to protect species at risk and put in place new recovery initiatives for priority species, areas and threats to our environment; expand national wildlife areas and migratory bird sanctuaries.Increase the federal capacity to manage protected areas, including national parks; continue implementation of the Species at Risk Act by supporting assessment, listing, recovery planning and action planning activities and establish a coordinated network of conservation areas working with provincial, territorial and Indigenous partners.
","Que nous soyons chez nous dans une ville du Sud de l’Ontario ou dans une petite communauté du Grand Nord canadien, la beauté du paysage naturel du Canada est un don à nous tous. Pour garantir que nos enfants et petits-enfants puissent continuer de faire de la randonnée dans nos magnifiques forêts et de se baigner dans nos lacs, rivières et ruisseaux extraordinaires, le Canada s’est engagé à conserver au moins 17 % de ses terres et de ses eaux intérieures d’ici 2020 au moyen de réseaux d’aires protégées et d’autres mesures de conservation efficaces par zone. Tant les aires protégées que les zones conservées permettront d’assurer des habitats plus sains pour les espèces à risque et d’améliorer la biodiversité.

Puisque près de 90 % des terres et des eaux intérieures du Canada sont des terres de la Couronne provinciales ou territoriales ou des terres autochtones, l’atteinte de ce but nécessite une collaboration ouverte avec d’autres ordres de gouvernement. Afin de protéger la biodiversité du Canada et de protéger les espèces à risque, le gouvernement du Canada propose de réaliser des investissements historiques totalisant 1,3 milliard de dollars sur cinq ans, soit l’un des plus grands investissements de l’histoire canadienne dans la conservation de la nature, un véritable legs pour nos enfants et nos petits-enfants. 

Cet investissement représentera une contribution de 500 millions de dollars du gouvernement fédéral visant à créer un nouveau Fonds de la nature de 1 milliard de dollars en partenariat avec les entreprises, les organismes à but non lucratif, les provinces, les territoires et d’autres partenaires. En collaboration avec ces partenaires, le Fonds de la nature permettra au gouvernement de préserver des terres privées, de soutenir des efforts de protection des espèces des provinces et des territoires et de renforcer la capacité des peuples autochtones de conserver les terres et les espèces dans notre intérêt et dans celui des générations futures.

Le financement restant sera utilisé pour: augmenter la capacité fédérale de protéger les espèces à risque et de mettre en place de nouvelles initiatives de recouvrement visant les espèces, les zones et les menaces environnementales prioritaires; élargir les nouvelles réserves nationales de faune et les refuges d’oiseaux migratoires; accroître la capacité fédérale de gestion des aires protégées, y compris les parcs nationaux; poursuivre la mise en œuvre de la Loi sur les espèces en péril tout en s’assurant que les activités d’évaluation, d’inscription, de planification du recouvrement et de planification des mesures se poursuivent; mettre en place un réseau coordonné d’aires de conservation en travaillant avec les partenaires provinciaux, territoriaux et autochtones.
"
97,Protecting Jobs in Eastern Canada's Forestry Sector,Protéger les emplois dans le secteur forestier de l’Est du Canada,prg,Protecting-Jobs-in-Eastern-Canada-s-Forestry-Sector,Proteger-les-emplois-dans-le-secteur-forestier-de-l-Est-du-Canada,"The sustainable management of our natural resources leads to long-term economic opportunity. Research on the spruce budworm, one of the most damaging pests to spruce trees in Canada, has identified ways to protect forests against its cyclical outbreaks. This is critical to support the forest industry and, in turn, jobs in parts of the country—such as Atlantic Canada—where the forestry sector is an important part of the economy.

Through Budget 2018, the Government proposes to take action alongside Atlantic provinces and the forest industry, by making available up to $74.75 million over five years, starting in 2018–19, based on a 60:40 federal to provincial and industry cost-sharing basis, to prevent the spread of spruce budworm. Federal contributions will come from Natural Resources Canada. This will allow government, academia, industry and other stakeholders to continue to work together to protect our forests and support the economy.
","La gestion durable de nos ressources naturelles ouvre des possibilités économiques à long terme. La recherche sur la tordeuse des bourgeons de l’épinette, l’un des insectes nuisibles qui causent le plus de dommages aux épinettes au Canada, a cerné de possibles mécanismes permettant de protéger les forêts contre ses épidémies cycliques. Cela est essentiel pour soutenir l’industrie forestière et, par conséquent, les emplois dans certaines régions, comme le Canada atlantique, où le secteur forestier constitue un important rouage de l’économie.

Dans le budget de 2018, le gouvernement propose de prendre des mesures en collaboration avec les provinces de l’Atlantique et l’industrie forestière, en offrant jusqu’à 74,75 millions de dollars sur cinq ans, à compter de 2018-2019, selon un ratio de partage des coûts de 60:40 entre le gouvernement fédéral et les provinces et l’industrie, pour prévenir la propagation de la tordeuse des bourgeons de l’épinette. La contribution fédérale proviendra de Ressources naturelles Canada. Cela permettra au gouvernement, au milieu académique, à l’industrie et aux autres intervenants de continuer à travailler ensemble pour protéger nos forêts et soutenir l’économie.
"
98,Protecting Marine Life,Protéger la vie marine,adv,,,,
99,Protecting Temporary Foreign Workers,Protéger les travailleurs étrangers temporaires,adv,Protecting-Temporary-Foreign-Workers,Proteger-les-travailleurs-etrangers-temporaires,"The Temporary Foreign Worker Program and the International Mobility Program are Canada's two programs that govern the entry of temporary foreign workers. Canada has an obligation to ensure these workers, who contribute to the labour market by providing the skills and expertise employers need when qualified Canadian workers are unavailable, are aware of their rights and are protected from abuse. The Government proposes to provide $194.1 million over five years, beginning in 2018–19, and $33.19 million per year ongoing, to ensure the rights of temporary foreign workers in Canada are protected and enforced through a robust compliance regime. Funding will support unannounced inspections under the Temporary Foreign Worker Program, the continued implementation of the International Mobility Program compliance regime, and the ongoing collection of labour market information related to open work permits.   

In addition, the Government proposes to invest $3.4 million over two years, beginning in 2018–19, from Employment and Social Development Canada's existing resources to establish, on a pilot basis, a network of support organizations for temporary foreign workers dealing with potential abuse by their employers. This network would support these workers in reporting wrongdoing and provide information on their rights to temporarily remain and work in Canada free from harassment and abuse.
","Le Programme des travailleurs étrangers temporaires et le Programme de mobilité internationale sont les deux programmes du Canada qui régissent l’entrée des travailleurs étrangers temporaires. Le Canada a une obligation de s’assurer que ces travailleurs, qui contribuent au marché du travail grâce aux compétences et à l’expertise dont les employeurs ont besoin lorsque les travailleurs canadiens qualifiés sont indisponibles, sont conscients de leurs droits et sont protégés des abus. Le gouvernement propose de verser 194,1 millions de dollars sur cinq ans à compter de 2018-2019, et 33,19 millions par année par la suite, pour s’assurer que les droits des travailleurs étrangers au Canada sont protégés et appliqués par un régime de conformité solide. Le financement soutiendra des inspections surprises dans le cadre du Programme des travailleurs étrangers temporaires, la mise en œuvre continue du régime de conformité au Programme de mobilité internationale et la collecte continue de renseignements sur le marché du travail en lien avec les permis de travail ouverts. 

De plus, le gouvernement propose d’investir 3,4 millions de dollars sur deux ans à compter de 2018-2019, des ressources existantes d’Emploi et Développement social Canada, afin d’établir, dans le cadre d’un projet pilote, un réseau pour soutenir les organisations pour les travailleurs étrangers temporaires qui subissent de possibles abus de leurs employeurs. Ce réseau soutiendrait ces travailleurs pour rendre compte des actes répréhensibles et fournir aux travailleurs des renseignements sur leurs droits à rester temporairement au Canada sans harcèlement ni abus.
"
100,Protecting the Integrity of Transportation Infrastructure in Montreal,Protéger l’intégrité de l’infrastructure de transport à Montréal,oth,,,,
101,Protecting Vulnerable Women and Girls,Protéger les femmes et les filles vulnérables,adv,,,,
102,Providing Legal Support to Victims of Sexual Harassment in the Workplace,Offrir un soutien juridique aux victimes de harcèlement sexuel en milieu de travail,adv,,,,
103,Public Service and Procurement Canada – Real Property Repairs and Maintenance,Services publics et Approvisionnement Canada – Travaux de réparation et d’entretien de biens immobiliers,oth,,,,
104,"Public Service Centre on Diversity, Inclusion and Wellness","Centre de diversité, d’inclusion et de mieux-être de la fonction publique",oth,,,,
105,Pursuing New Markets,Chercher de nouveaux marchés,grw,,,,
106,RCMP Cannabis Labs Repurposing,Réaffectation des laboratoires de la GRC sur le cannabis,oth,,,,
107,Rebalancing Elections Canada's Expenditures,Rééquilibrer les dépenses d’Élections Canada,oth,,,,
