"dept_code","type","name_en","name_fr","pa_last_year_5_auth","pa_last_year_5_exp","pa_last_year_4_auth","pa_last_year_4_exp","pa_last_year_3_auth","pa_last_year_3_exp","pa_last_year_2_auth","pa_last_year_2_exp","pa_last_year_auth","pa_last_year_exp"
"HRSD","g","(S) Universal Child Care Benefit","(S) Prestation universelle pour la garde d'enfants",2724715150,2724715150,2740095187,2740095187,2738493220,2738493220,8758825034,8758825034,1976071992,1976071992
"HRSD","g","(S) Guaranteed Income Supplement Payments (R.S.C., 1985, c. O-9)","(S) Versements du Supplément de revenu garanti (L.R.C. 1985, ch, O-9)",9147435393,9147435393,9372773071,9372773071,10066152466,10066152466,9921659952,9921659952,10922423837,10922423837
"HRSD","g","(S) Old Age Security Payments (R.S.C., 1985, c. O-9)","(S) Versements de la Sécurité de la vieillesse (L.R.C. 1985, ch. O-9)",30589905671,30589905671,31911357696,31911357696,33535507278,33535507278,35050472599,35050472599,36749167282,36749167282
"HRSD","g","Grants to not for profit, for-profit, and aboriginal organizations, municipal, provincial and territorial governments for adult learning, literacy and essential skills","Subventions à des organismes sans but lucratif, à but lucratif, et autochtones, et aux gouvernements municipaux, provinciaux et territoriaux pour l’apprentissage, l’alphabétisation et l’acquisition de compétences essentielles pour les",3209000,125840,6816829,175881,9348335,0,13133194,0,2938819,0
"HRSD","c","Contributions to fund construction of capital projects enabling accessibility to all people of varying abilities across Canada, through the Enabling Accessibility Fund","Contributions pour la construction de projets d'immobilisation afin de favoriser l'accessibilité pour les personnes ayant des capacités variées partout au Canada grâce au Fonds pour l'accessibilité",7399262,7399262,0,0,0,0,0,0,0,0
"HRSD","c","Contributions to provincial/territorial governments, band councils, tribal councils, Aboriginal Skills and Employment Training Strategy agreement holders, municipal governments, not-for-profit or","Contributions aux gouvernements provinciaux et territoriaux, conseils de bande ou de tribu, détenteurs d'accord de la Stratégie pour la formation et les compétences des Autochtones, administrations municipales, organismes sans but luc",46013102,37730673,29144123,13076885,29144123,13515423,27144123,16576408,28370183,11823737
"HRSD","c","Contributions to voluntary sectors, non-profit organizations, registered charitable organizations, provincial/territorial governments and institutions, [...]to support the development and deliver","Contributions à l'intention des secteurs bénévoles, des organisations sans but lucratif, des organismes de bienfaisance enregistrés, [...] afin d'appuyer l'élaboration et la prestation d'activités de sensibilisation pour renseigner, e",1975000,1960334,1085871,1085871,0,0,0,0,0,0
"HRSD","g","(S) Pathways to Education Canada upfront multi-year funding to support their community-based early intervention programs which will help disadvantaged youth access post-secondary education in Can","(S) Financement pluriannuel initial à Passeport pour ma réussite Canada afin d'appuyer ses programmes d'intervention précoce communautaires qui aideront les jeunes défavorisés à accéder aux études postsecondaires au Canada",6000000,6000000,6000000,6000000,0,0,0,0,0,0
"HRSD","g","(S) Payments to the Canadian National Institute for the Blind for a national digital hub to improve library services for persons with a print disability (Budget 2013)","(S) Paiements à l'Institut national canadien pour les aveugles afin d'améliorer les services de bibliothèque pour les personnes ayant une déficience de lecture des imprimés (Budget fédéral de 2013)",0,0,3000000,3000000,0,0,0,0,0,0
"HRSD","g","(S) Payments related to the direct financing arrangement under the Apprentice Loans Act","(S) Paiements liés aux modalités de financement direct accordés en vertu de la Loi sur les prêts aux apprentis",0,0,0,0,0,0,27292,27292,665615,665615
"HRSD","g","Grants to voluntary sector organizations for adult literacy and essential skills","Subventions à des organismes bénévoles pour l'alphabétisation et l'acquisition de compétences essentielles pour les adultes",7678112,453221,0,0,0,0,0,0,0,0
"HRSD","o","(S) The provision of funds for the enhanced Employment Insurance benefits in accordance with the Budget Implementation Act, 2009","(S) Fonds pour l'amélioration des prestations de l'assurance-emploi conformément à la Loi d'exécution du budget de 2009",281087168,281087168,0,0,0,0,0,0,0,0
"HRSD","o","Payments to provinces and territories under labour market agreements to enhance the labour market participation among under-represented groups and low-skilled workers","Paiements aux provinces et aux territoires en vertu des ententes sur le marché du travail pour accroître la participation au marché du travail des membres des groupes sous-représentés et des travailleurs peu qualifiés",542461500,517796500,530778000,530713000,0,0,0,0,0,0
"INAC","c","Contribution for Inuit counselling in the South","Contribution au titre de services de consultation fournis aux Inuits dans le Sud",80000,80000,80000,80000,187000,187000,452000,452000,0,0
"INAC","c","Contributions for emergency management assistance for activities on reserves","Contributions pour appuyer la gestion des urgences dans le cadre des activités dans les réserves",56340393,56307352,77129658,77129658,106053321,105299211,112982013,111982318,117918260,115686700
"INAC","c","Contributions for Groups of Indian Residential School survivors who wish to resolve their claim as a group under the Independent Assessment Process","Contributions aux groupes de survivants des pensionnats indiens qui souhaitent régler leur réclamation de façon collective dans le cadre du processus d'évaluation indépendant",483000,483000,648475,648475,646426,646426,654500,654500,775842,775842
"INAC","c","Contributions for the purpose of consultation and policy development","Contributions au titre des consultations et de l'élaboration des politiques",29453287,28765065,23535348,23535348,17207802,15468247,17699751,16074751,25529251,24029251
"INAC","c","Contributions to First Nations for the management of contaminated sites","Contributions versées aux Premières Nations pour la gestion de sites contaminés",29879185,29879185,32497133,32497133,29438103,29434295,22882344,22882344,50504655,50504655
"INAC","c","Contributions to Indian bands for registration administration","Contributions aux bandes indiennes pour l'administration de l'inscription",4966385,4789056,4213627,4213627,4348969,4341747,4522379,4522379,4994071,4994071
"INAC","c","Contributions to support the Aboriginal Economic Development Strategic Partnerships Initiative","Contributions pour appuyer l'initiative sur les partenariats stratégiques pour le développement économique des Autochtones",15006269,15001321,13398857,13398857,24445092,24183110,30652147,30652147,42164171,39864171
"INAC","c","Contributions to support the basic organizational capacity of representative Aboriginal organizations","Contributions pour appuyer la capacité organisationnelle de base des organismes représentant les Autochtones",29471917,29435198,28443359,28443359,21132300,21108800,21172161,21172161,26446839,26446839
"INAC","c","Contribution to support access to healthy foods in isolated northern communities","Contribution pour appuyer l'accès aux aliments sains dans les collectivités isolées du Nord",62719627,62317423,63879237,63879237,65499766,65499766,68498325,68498325,72981181,71871143
"INAC","c","Federal Interlocutor's Contribution Program","Programme de contributions de l'Interlocuteur fédéral",13450850,13296301,10917592,10917592,7441474,7441474,14901192,14901192,21614187,21614187
"INAC","c","Transfer payments to the Government of Yukon for the care maintenance, remediation and management of the closure of contaminated sites in Yukon","Paiements de transfert au gouvernement du Yukon pour la préservation et l'entretien, l'assainissement et la gestion de la fermeture des sites contaminés au Yukon",34790193,34790193,41121323,41121323,51251987,51251987,42852121,42852121,43631877,32131877
"INAC","c","Transfer payments to the Government of Yukon for the remediation of the Marwell Tar Pit Site to support the Contaminated Sites Program","Paiements de transfert au gouvernement du Yukon pour la restauration de la fosse de bitume de Marwell dans le cadre du Programme des sites contaminés",129800,129800,250000,250000,90600,90600,1717900,1717900,1980100,1980100
"INAC","c","Contributions to support the Urban Aboriginal Strategy","Contributions à l'appui de la Stratégie pour les Autochtones vivant en milieu urbain",47980533,47888763,47710516,47710516,47543746,47494745,48999433,48999433,47798334,47798334
"INAC","c","Contribution for promoting the safe use, development, conservation and protection of the North's natural resources, and promoting scientific development","Contributions pour promouvoir l'utilisation, le développement, la conservation et la protection sécuritaires des ressources naturelles ainsi que le développement scientifique dans le Nord",0,0,0,0,17754579,14643024,11378185,11378185,18400307,18400307
"INAC","c","Contributions to promote social and political development in the North and for Northerers","Contributions pour promouvoir le développement social et politique dans le Nord et pour les résidents du Nord",0,0,0,0,4282355,3888846,3477265,3477265,4737856,4737856
"INAC","c","Contributions to provide income support to on-reserve residents","Contributions visant à fournir un soutien au revenu aux personnes qui habitent dans les réserves indiennes",0,0,0,0,1002158672,991939516,1032502927,1032502927,1055905261,1055905261
"INAC","c","Contributions to provide programming for low income reserve residents with children under the National Child Benefit Reinvestment Initiative","Contributions visant à offrir des programmes aux parents à faible revenu vivant dans les réserves dont les enfants sont admissibles à l'Initiative de réinvestissement de la prestation nationale pour enfants",0,0,0,0,37357835,37357835,0,0,0,0
"INAC","c","Contributions to provide women, children and families with Protection and Prevention Services","Contributions pour fournir des services de protection et de prévention aux femmes, aux enfants et aux familles",0,0,0,0,678553839,678553838,708789784,708789784,799489207,799489207
"INAC","c","Contributions to support First Nations and Inuit Post-Secondary Educational Advancement","Contributions pour favoriser l'essor du régime d'éducation postsecondaire des Premières Nations et des Inuits",0,0,0,0,331556650,331538650,335101393,335101393,350217704,350217704
"INAC","c","Contributions to support First Nations Elementary and Secondary Educational Advancement","Contributions pour favoriser l'essor du régime d'éducation primaire et secondaire des Premières Nations",0,0,0,0,1370683664,1370659613,1399815020,1399815020,1680325427,1680325427
"INAC","c","Contributions to support Land Management and Economic Development","Contributions pour appuyer la gestion des terres et le développement économique",0,0,0,0,177370271,177363950,180935241,180935241,219715253,219715253
"INAC","c","Contributions to support the Advancement of Northern Science and Technology","Contributions afin d’appuyer l’avancement de la science et de la technologie dans le Nord",0,0,0,0,2396741,2396736,2414758,2414758,0,0
"INAC","c","Contributions to support the construction and maintenance of community infrastructure","Contributions pour appuyer la construction et l'entretien des infrastructures communautaires",0,0,0,0,1150206541,1103841614,1126720346,1124511157,1702422689,1702422689
"INAC","c","Contributions to support the negotiation and implementation of Treaties, Claims and self-government agreements or initiatives","Contributions pour appuyer la négociation et la mise en œuvre d'ententes ou d'initiatives de traités, de revendications et d'autonomie gouvernementale",0,0,0,0,278174577,276299062,338726631,338726631,337134529,337134529
"INAC","c","Contribution to increase First Nations and Inuit Youth Participation in Education and Labour Market Opportunities","Contributions visant à accroître la participation des jeunes Inuits et des Premières Nations aux possibilités en éducation et sur le marché du travail",0,0,0,0,49688253,49660015,36390789,36390789,76217997,76217997
"INAC","c","Contribution to supply public services in Indian Government Support and to build strong governance, administrative and accountability systems","Contributions servant à la prestation de services publics dans le domaine du soutien aux gouvernements indiens et à l'établissement de systèmes solides de gouvernance, d'administration et de responsabilisation",0,0,0,0,223046550,219697456,222925961,222925961,247412053,247412053
"INAC","c","(S) Contributions in connection with the First Nations infrastructure","(S) Contributions relatives à l’infrastructure des Premières Nations",0,0,0,0,26502251,26502251,26730568,26730568,28067096,28067096
"INAC","g","(S) Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Claim Settlement Acts","(S) Subventions aux organismes autochtones identifiés pour recevoir des paiements à l'égard des revendications en vertu des lois sur le règlement des revendications territoriales globales",69488308,69488308,67664956,67664956,69051514,69051514,57412370,57412370,69236768,69236768
"INAC","g","(S) Grant to the Nunatsiavut Government for the implementation of the Labrador Inuit Land Claims Agreement pursuant to the Labrador Inuit Land Claims Agreement Act","(S) Subvention au gouvernement du Nunatsiavut pour la mise en œuvre de l'Accord sur les revendications territoriales des Inuits du Labrador en vertu de la Loi sur l'Accord sur les revendications territoriales des Inuits du Labrador",27342771,27342771,18357713,18357713,18357713,18357713,0,0,0,0
"INAC","g","(S) Indian Annuities Treaty payments","(S) Rentes versées aux Indiens – Paiements en vertu de traités",1943238,1943238,1540176,1540176,2124013,2124013,1853406,1853406,2242647,2242647
"INAC","g","Grant for Band Support Funding","Subvention pour le financement du soutien des bandes",151571905,151571905,152355432,152355432,154748328,154748327,157748998,157748998,160929272,160929272
"INAC","g","Grants for the Political Evolution of the Territories, particularly as it pertains to Devolution","Subvention pour l'évolution politique des territoires, particulièrement en ce qui concerne le transfert des responsabilités",4194774,3387331,26146842,26146842,8632697,8632697,7356558,7356558,8158688,8158688
"INAC","g","Grants to British Columbia Indian bands in lieu of a per capita annuity","Subventions aux bandes indiennes de la Colombie-Britannique tenant lieu d'une rente par habitant",300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
"INAC","g","Grants to participating First Nations and the First Education Authority pursuant to the First Nations Jurisdiction over Education in British Colombia Act","Subvention aux Premières Nations participantes et à l'Autorité scolaire des Premières Nations en vertu de la Loi sur la compétence des Premières Nations en matière d'éducation en Colombie-Britannique",0,0,0,0,367215,0,0,0,0,0
"INAC","g","Grants to provide income support to on-reserve residents","Subventions visant à fournir un soutien au revenu aux personnes qui habitent dans les réserves indiennes",10055511,10020338,10963536,10963536,9394617,9394115,7323654,7323654,8407419,8407419
"INAC","g","Grants to the Government of the Northwest Territories and the Government of Nunavut for health care of Indians and Inuit","Subventions au gouvernement des Territoires du Nord-Ouest et au gouvernement du Nunavut pour les services de santé dispensés aux Indiens et aux Inuits",50226000,50226000,51231000,51231000,52256000,52256000,53301000,53301000,54367000,54367000
"INAC","g","Grant to the First Nations Finance Authority pursuant to the First Nations Fiscal and Statistical Management Act","Subvention accordée à l'Administration financière des Premières Nations en vertu de la Loi sur la gestion financière et statistique des Première Nations",500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
"INAC","g","Grant to the Miawpukek Indian Band to support designated programs","Subvention à la bande indienne de Miawpukek pour appuyer des programmes désignés",10020000,10020000,10220400,10220400,10424808,10424808,10633304,10633304,10845970,10845970
"INAC","c","(S) Contributions to Indspire (Budget 2013)","(S) Contributions à Indspire (Budget fédéral de 2013)",0,0,5000000,5000000,0,0,0,0,0,0
"INAC","c","Contribution for promoting the safe use, development, conservation and protection of the North's natural resources","Contribution pour promouvoir l'utilisation sécuritaire, le développement, la conservation et la protection des ressources naturelles du Nord",20627921,20193156,21467524,21166785,0,0,0,0,0,0
"INAC","c","Contributions for eligible Aboriginal or other recipients for the purpose of providing advocacy and public education on a diverse range of issues related to the Indian Residential Schools Settlem","Contributions aux Autochtones ou autres bénéficiaires admissibles dans le but de faciliter la sensibilisation et l'information du public sur diverses questions liées à la Convention de règlement relative aux pensionnats indiens",3747000,3712794,2122484,2109144,0,0,0,0,0,0
"INAC","c","Contributions for enhancing the financial management capability and networking facilities of the Government of Nunavut","Contributions visant à améliorer la capacité de gestion financière et les installations de réseaux du gouvernement du Nunavut",1365000,1364996,800000,800000,0,0,0,0,0,0
"INAC","c","Contributions for former students, their families, communities and groups of individuals for the purpose of facilitating regional or national Commemoration projects that address the Indian Reside","Contributions aux anciens élèves, à leurs familles, à leurs collectivités et aux groupes dans le but de faciliter les projets de commémoration régionaux ou nationaux qui portent sur l'expérience dans les pensionnats indiens et qui per",17446857,11483638,6167385,6167384,0,0,0,0,0,0
"INAC","c","Contributions for promoting the political, social and scientific development of Canada's three territories","Contributions pour la promotion du développement politique, social et scientifique dans les trois territoires du Canada",2510987,2510987,5367263,5361597,0,0,0,0,0,0
"INAC","c","Contributions to beneficiaries and various implementing bodies for implementing comprehensive land claim agreements","Contributions aux bénéficiaires et à divers organismes de mise en oeuvre pour la mise en oeuvre d'ententes sur les revendications territoriales globales",213556359,213281787,215800473,215666360,0,0,0,0,0,0
"INAC","c","Contributions to First Nations, their organizations, provinces and third parties for Interim Measures and British Columbia Treaty Related Measures","Contributions aux Premières nations, à leurs organismes, aux provinces et aux tiers pour les mesures provisoires et les mesures couvertes par un traité de la Colombie-Britannique",6250505,4298005,5865921,5799421,0,0,0,0,0,0
"INAC","c","Contributions to First Nations Institutions for the purpose of enhancing good governance","Contribution versée aux institutions des Premières nations dans le but de favoriser une saine gestion publique",10129396,10129396,10376471,10376471,0,0,0,0,0,0
"INAC","c","Contributions to implement the First Nations Land Management Act","Contributions pour la mise en oeuvre de la Loi sur la gestion des terres des Premières nations",15469512,15459912,15580864,15508383,0,0,0,0,0,0
"INAC","c","Contributions to Indian bands for land and estates management","Contributions aux bandes indiennes pour la gestion de leurs terres et de leurs successions",9359754,9359754,9965392,9965391,0,0,0,0,0,0
"INAC","c","Contributions to Indian bands for Land Management Capacity Building","Contributions aux bandes indiennes pour le perfectionnement de capacités de gestion foncière",8523048,8523048,8621734,8621734,0,0,0,0,0,0
"INAC","c","Contributions to Indspire","Contributions à Indspire",0,0,817000,817000,0,0,0,0,0,0
"INAC","c","Contributions to support the building of strong governance, administrative and accountability systems","Contributions pour appuyer l'établissement de systèmes de gouvernement, d'administration et de responsabilisation solides",30062797,30043497,31172091,31101667,0,0,0,0,0,0
"INAC","c","Contributions to support the negotiation process for comprehensive, specific, and special claims and self-government initiatives","Contributions pour appuyer le processus de négociation visant les revendications globales, particulières et spéciales ainsi que les initiatives d'autonomie gouvernementale",44420947,43983808,42678596,42579575,0,0,0,0,0,0
"INAC","c","Contributions to the Inuit Art Foundation for the purpose of assisting Inuit artists and artisans from the Northwest Territories, Nunavut, Northern Quebec and Labrador in the development of their","Contributions à la Fondation de l'art inuit pour aider les artistes et les artisans Inuits des Territoires du Nord-Ouest, du Nunavut, du Nouveau-Québec et du Labrador à perfectionner leurs capacités professionnelles et à commercialise",114500,114500,458000,458000,0,0,0,0,0,0
"INAC","c","Contributions to the National Aboriginal Achievement Foundation","Contributions à la Fondation nationale des réalisations autochtones",817000,817000,0,0,0,0,0,0,0,0
"INAC","c","Contributions under the Aboriginal business Canada Program","Contributions en vertu du programme Entreprise autochtone Canada",46406770,46030136,36951609,36942985,0,0,0,0,0,0
"INAC","c","Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance","Paiements aux Indiens, Inuits et Innus devant servir à fournir des services publics dans les domaines des immobilisations et de l'entretien",1041162096,1040273035,1006967979,1006657819,0,0,0,0,0,0
"INAC","c","Payments to support Indians, Inuit and Innu for the purpose of supplying public services in economic development","Paiements aux Indiens, Inuits et Innus devant servir à fournir des services publics dans le domaine du développement économique",89454464,89453049,92470835,92420834,0,0,0,0,0,0
"INAC","c","Payments to support Indians, Inuit and Innu for the purpose of supplying public services in education","Paiements aux Indiens, Inuits et Innus devant servir à fournir des services publics dans le domaine de l'éducation",1696997532,1696709703,1733833362,1733575046,0,0,0,0,0,0
"INAC","c","Payments to support Indians, Inuit and Innu for the  purpose of supplying public services in Indian government support","Paiements aux Indiens, Inuits et Innus devant servir à fournir des services publics dans le domaine du soutien aux administrations indiennes",198359372,198356372,199015935,198973754,0,0,0,0,0,0
"INAC","c","Payments to support Indians, Inuit and Innu for the purpose of supplying public services in social development","Paiements aux Indiens, Inuits et Innus devant servir à fournir des services publics dans le domaine du développement social",1684288953,1684260414,1696809694,1695813973,0,0,0,0,0,0
"INAC","g","Grants to implement comprehensive land claims and self-government agreements","Subventions pour la mise en œuvre des ententes sur les revendications territoriales globales et l'autonomie gouvernementale",0,0,0,0,416126574,415905951,436540831,436540831,477415037,477415037
"INAC","g","Grants to increase First Nations and Inuit Youth Participation in Educational and Labour Market Opportunities","Subventions visant à accroitre la participation des jeunes Inuits et des Premières Nations aux possibilités en éducation et sur le marché du travail",0,0,0,0,35000,35000,45000,45000,45000,45000
"INAC","g","Grant for the advancement of scientific knowledge of the North","Subvention pour le perfectionnement des connaissances scientifiques sur le Nord",1076000,1076000,0,0,0,0,0,0,0,0
"INAC","g","Grants for Mi'kmaq education in Nova Scotia","Subvention pour l'éducation des Mi'kmaqs de la Nouvelle-Écosse",53842011,53842011,45574496,45574496,0,0,0,0,0,0
"INAC","g","Grants to First Nations to settle specific and special claims negotiated by Canada and/or awarded by the Specific Claims Tribunal","Subventions aux Premières nations pour le règlement de revendications particulières et spéciales négocié par le Canada ou imposé par le Tribunal des revendications particulières",723490069,556500759,865998925,369287077,704780061,36459354,703484036,29213199,589890018,393695147
"INAC","g","Grants to support First Nations Elementary and Secondary Educational Advancement","Subventions pour favoriser l'essor du régime d'éducation primaire et secondaire des Premières Nations",4946,4946,9362,9361,8007,8007,9258,9258,6594,6594
"INAC","g","Grants to support First Nations and Inuit Post-Secondary Educational Advancement","Subventions pour favoriser l'essor du régime d'éducation postsecondaire des Premières Nations et des Inuit",916718,914491,964759,956304,1058283,1047102,994120,994120,1092714,1092714
"INAC","g","Grants to Inuit to support their cultural advancement","Subventions accordées aux Inuits pour favoriser leur essor culturel",45000,45000,35000,35000,0,0,0,0,0,0
"INAC","g","Grants to students and their chaperons to promote fire protection awareness in band and federally operated schools","Subventions aux étudiants et à leurs chaperons pour promouvoir la sensibilisation à la protection contre les incendies dans les écoles dont les bandes et le gouvernement fédéral assurent le fonctionnement",2800,2800,2800,2800,0,0,0,0,0,0
"INAC","g","Grants to support First Nations, Inuit, Tribal Councils, Organizations or other levels of government for the implementation activities as stipulated in the various agreements","Subventions pour appuyer les Premières nations, les Inuits, les conseils tribaux, les organismes ou d'autres ordres de gouvernement pour les activités de mise en oeuvre stipulées dans les diverses ententes",124927596,124927320,127938223,127931899,0,0,0,0,0,0
"INAC","g","Grants to support the beneficiaries/organizations for the settlement of specific and special claims","Subventions pour appuyer les bénéficiaires/organismes pour le règlement de revendications particulières et spéciales",694688,694688,690170,690170,0,0,0,0,0,0
"INAC","g","Grants to the five First Nations who are signatory to the Manitoba Northern Flood Agreement Claim 138 Settlement Agreement","Subventions aux cinq Premières nations signataires de la Convention sur l'inondation des terres du nord du Manitoba Entente de règlement de la revendication 138",0,0,2000000,2000000,0,0,0,0,0,0
"INAC","g","Grants to the Sechelt Indian Band pursuant to the Sechelt Indian Band Self-Government Act","Subventions à la bande indienne Sechelte en vertu de la Loi relative à l'autonomie gouvernementale de la bande indienne Sechelte",6650159,6650159,6408497,6408497,0,0,0,0,0,0
"INAC","g","Grant to the Westbank First Nation to support the implementation of the Westbank First Nation Self-Government Agreement","Subvention à la Première nation de Westbank en vue de la mise en oeuvre de l'Entente d'autonomie gouvernementale de la Première nation de Westbank",4779976,4779976,4923375,4923375,0,0,0,0,0,0
"INAC","g","Payments to self-governing Aboriginal organizations, pursuant to comprehensive land claims agreements, self-government agreements or treaty legislation","Paiements aux organismes autochtones autonomes en vertu des ententes sur les revendications territoriales globales, sur l'autonomie gouvernementale ou en vertu d'une loi liée à un traité",123224449,123224449,132831721,132831721,0,0,0,0,0,0
"INAC","g","Payments to the Government of the Northwest Territories to facilitate the implementation of comprehensive land claim agreements","Paiements au gouvernement des Territoires du Nord-Ouest pour faciliter la mise en oeuvre des ententes sur les revendications territoriales globales",1298495,1298495,1322148,1322148,0,0,0,0,0,0
"INAC","g","Payments to Yukon First Nations pursuant to individual self-government agreements","Paiements aux Premières nations du Yukon aux termes des ententes individuelles d'autonomie gouvernementale",77434585,77434585,81463241,81463241,0,0,0,0,0,0
"IPC","c","The Personal Information Protection and Electronic Documents Act Class Contribution Program","Programme de contributions relatif à la Loi sur la protection des renseignements personnels et les documents électroniques",500000,499240,480999,480999,500000,481584,500000,468817,500000,489416
"ISC","c","Contributions to the Canada Foundation for Sustainable Development Technology","Contributions à la Fondation du Canada pour l’appui technologique au développement durable",0,0,0,0,0,0,0,0,57758760,57758760
"ISC","c","Contributions to the Stem Cell Network","Contributions au Réseau de cellules souches",0,0,0,0,0,0,0,0,6794532,6794532
"ISC","c","Contributions under the Post-Secondary Institutions Strategic Investment Fund","Contributions en vertu du Fonds d'investissement stratégique pour les établissements postsecondaires",0,0,0,0,0,0,0,0,740930030,740926765
"ISC","c","(S) Contributions to Genome Canada","(S) Contributions à Génome Canada",28300000,28300000,35400000,35400000,47100000,47100000,52500000,52500000,57400000,57400000
"ISC","c","(S) Contributions to the Canadian Youth Business Foundation","(S) Contributions à la Fondation canadienne des jeunes entrepreneurs",10000000,10000000,9000000,9000000,9000000,9000000,0,0,0,0
"ISC","c","(S) Liabilities under the Canada Small Business Financing Act","(S) Obligations contractées en vertu de la Loi sur le financement des petites entreprises du Canada",52081540,52081540,59184724,59184724,66374591,66374591,62699806,62699806,63079578,63079578
"ISC","c","Contributions to Genome Canada","Contributions à Génome Canada",3800000,3800000,21200000,21200000,22500000,22500000,7500000,7500000,5000000,5000000
"ISC","c","Contributions to the Institute for Quantum Computing","Contributions à l’Institut de l’informatique quantique",0,0,0,0,5000000,5000000,4975000,4975000,5000000,5000000
"ISC","c","Contributions under the Technology Demonstration Program","Contributions en vertu du Programme de démonstration de technologies",0,0,0,0,16181560,2578000,32084560,15067258,28397628,28397628
"ISC","c","Contributions to the Canadian Institute for Advanced Research","Contributions à l’Institut canadien de recherches avancées",5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000
"ISC","c","Contributions to the Perimeter Institute for Theoretical Physics","Contributions à l'Institut Perimeter pour la physique théorique",10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
"ISC","c","Contributions under the Automotive Innovation Fund","Contributions en vertu du Fonds d'innovation pour le secteur de l'automobile",108088750,55047399,55882771,55882771,64584802,60069858,92920000,92266600,65827599,22127500
"ISC","c","Contributions under the Canada Foundation for Innovation","Contributions à la Fondation canadienne pour l'innovation",147000000,147000000,85300000,85300000,168200000,168200000,177100000,177100000,198550000,198550000
"ISC","c","Contributions under the Community Futures Program","Contributions en vertu du Programme de développement des collectivités",8360008,8360008,8360008,8360008,8360008,8360008,8360008,8360008,8360008,8360008
"ISC","c","Contributions under the Computers for Schools program","Contributions dans le cadre du programme Ordinateurs pour les écoles",4000000,4000000,4000000,4000000,4663157,4629713,5714128,5523922,6238000,5684811
"ISC","c","Contributions under the Northern Ontario Development Program","Contributions en vertu du programme de développement du Nord de l'Ontario",33555470,32555470,28576221,28576221,35500400,35500400,35279600,35279600,31540000,31540000
"ISC","c","Contributions under the Program for Non-Profit Consumer and Voluntary Organizations","Contributions en vertu du Programme pour les organisations sans but lucratif de consommateurs et de bénévoles",1690000,1658827,1660466,1660466,1690000,1489929,1690000,1025158,1690000,1612403
"ISC","c","Contributions under the Strategic Activities Program","Contributions en vertu du Programme d'activités stratégiques",75000,75000,800000,800000,1091375,1091375,912166,769782,312206,312206
"ISC","c","Contributions under the Strategic Aerospace and Defence Initiative","Contributions en vertu de l'Initiative stratégique pour l'aérospatiale et la défense",200187136,199095292,182045487,182045487,174545184,147860478,176889742,122576689,155268923,152757470
"ISC","c","Contributions under the Technology Partnership Canada Program","Contributions en vertu du programme Partenariat Technologique Canada",43141177,17210177,1229775,1229775,975619,975619,1279265,1279245,334362,334362
"ISC","g","(S) Grant to the Canada Foundation for Sustainable Development Technology","(S) Subvention à la Fondation du Canada pour l'appui technologique au développement durable",0,0,0,0,0,0,0,0,27476242,27476242
"ISC","g","(S) Grant to Genome Canada","(S) Subvention à Génome Canada",35700000,35700000,0,0,200000,200000,7400000,7400000,4500000,4500000
"ISC","g","Grant to the Internal Trade Secretariat Corporation","Subvention pour la Corporation du secrétariat du commerce intérieur",550000,262500,337500,337500,550000,337500,550000,337500,550000,375000
"ISC","g","Grant to the Organization for Economic Co-operation and Development","Subvention à l'Organisation de coopération et de développement économiques",300000,20000,0,0,300000,300000,300000,300000,300000,300000
"ISC","g","Grant to the Radio Advisory Board of Canada","Subvention au Conseil consultatif canadien de la radio",85000,85000,85000,85000,85000,85000,85000,85000,85000,85000
"ISC","c","Contributions to Mitacs Inc.","Contributions à Mitacs Inc.",7000000,5000000,12975000,12975000,18975000,18975000,19000000,19000000,38900000,38900000
"ISC","c","Contributions to CANARIE Inc.","Contributions à CANARIE Inc.",12600000,12600000,23000000,23000000,26400000,26400000,21000000,15000000,20627923,20000000
"ISC","c","Contributions under the Bombardier C Series Program","Contributions en vertu du Programme C Series de Bombardier",0,0,0,0,0,0,0,0,55447443,55447443
"ISC","g","Grant to the International Telecommunication Union","Subvention à l'Union internationale des télécommunications",4808000,4808000,4808000,4808000,5420367,5420367,5725000,5725000,5608000,5608000
"ISC","c","Contributions under the Youth Employment Strategy—Youth Internships Program","Contributions en vertu de la Stratégie emploi jeunesse – Programme stages pour les jeunes",9479246,9324374,9479500,9400216,9479246,9185399,9407587,8960435,9738746,9030235
"ISC","c","Contributions under the Youth Employment Strategy—Computer for Schools Program","Contributions en vertu de la Stratégie emploi jeunesse – programme Ordinateurs pour les écoles",3200242,3176288,3200242,3173299,3537085,3479270,3654773,3625485,4149742,4008678
"ISC","c","Contributions under the Canada 150 Community Infrastructure Program","Contributions en vertu du Programme d’infrastructure communautaire de Canada 150",0,0,0,0,0,0,0,0,3400000,3272937
"ISC","c","(S) Contributions under the Knowledge Infrastructure Program","(S) Contributions en vertu du Programme d'infrastructure du savoir",49912858,49912858,0,0,0,0,0,0,0,0
